<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDVY.US,D,20140108,000000,17.1979,17.1979,17.1831,17.1831,526.66861182241,0
RDVY.US,D,20140109,000000,17.1831,17.1831,17.1831,17.1831,236.54597920623,0
RDVY.US,D,20140110,000000,18.012,18.012,17.1831,17.2632,4813.811764872,0
RDVY.US,D,20140113,000000,17.2701,17.2701,17.1405,17.1405,2952.7812190658,0
RDVY.US,D,20140114,000000,17.0871,17.1553,17.0871,17.1553,813.75860367954,0
RDVY.US,D,20140115,000000,17.2849,17.3107,17.2849,17.3107,3137.7723053681,0
RDVY.US,D,20140116,000000,17.2365,17.2365,17.186,17.2187,8023.3565682044,0
RDVY.US,D,20140117,000000,17.1405,17.2019,17.1405,17.2019,406.37386171326,0
RDVY.US,D,20140121,000000,17.2701,17.2701,17.1148,17.1831,16838.232374522,0
RDVY.US,D,20140122,000000,17.1405,17.1929,17.1306,17.1929,11015.562117138,0
RDVY.US,D,20140123,000000,17.1316,17.1405,16.8507,16.9169,6341.2518271823,0
RDVY.US,D,20140124,000000,16.7102,16.7102,16.5421,16.5589,5198.9571412719,0
RDVY.US,D,20140127,000000,16.4471,16.4491,16.4025,16.4491,4712.7237395702,0
RDVY.US,D,20140128,000000,16.4381,16.4381,16.4381,16.4381,581.25614548539,0
RDVY.US,D,20140129,000000,16.4213,16.4975,16.4025,16.4025,1048.2828223797,0
RDVY.US,D,20140130,000000,16.5757,16.5757,16.5757,16.5757,468.03755714736,0
RDVY.US,D,20140131,000000,16.4381,16.543,16.3759,16.4807,12468.197040725,0
RDVY.US,D,20140203,000000,16.4125,16.4125,16.0365,16.1285,9239.4455125851,0
RDVY.US,D,20140204,000000,16.1285,16.1285,16.1285,16.1285,2100.6091657715,0
RDVY.US,D,20140205,000000,16.0671,16.0671,16.0671,16.0671,294.16615362826,0
RDVY.US,D,20140206,000000,16.1533,16.2343,16.1533,16.2343,3540.1026460693,0
RDVY.US,D,20140207,000000,16.2917,16.2917,16.2917,16.2917,236.54597920623,0
RDVY.US,D,20140210,000000,16.3769,16.4817,16.3769,16.4817,1547.6576673707,0
RDVY.US,D,20140211,000000,16.4649,16.6785,16.4649,16.6785,3543.1352868283,0
RDVY.US,D,20140212,000000,16.7399,16.7399,16.6785,16.6865,8102.2052279398,0
RDVY.US,D,20140213,000000,16.6865,16.728,16.6231,16.728,2173.3925439888,0
RDVY.US,D,20140214,000000,16.8823,16.9001,16.8823,16.9001,2550.4508783646,0
RDVY.US,D,20140218,000000,16.9793,16.9881,16.9713,16.9733,1440.5043605507,0
RDVY.US,D,20140219,000000,16.9793,16.9793,16.8417,16.8417,1400.06915043,0
RDVY.US,D,20140220,000000,16.9535,16.9713,16.9535,16.9713,8633.9282410273,0
RDVY.US,D,20140221,000000,16.9881,17.0218,16.9635,16.9635,3838.3123207096,0
RDVY.US,D,20140224,000000,17.1237,17.1831,17.1049,17.1049,5678.1143812025,0
RDVY.US,D,20140225,000000,17.0307,17.0792,17.0307,17.0713,7070.0964896083,0
RDVY.US,D,20140226,000000,17.0792,17.0792,17.0792,17.0792,478.14635967754,0
RDVY.US,D,20140227,000000,17.0792,17.096,17.0396,17.096,5502.2212171773,0
RDVY.US,D,20140228,000000,17.0713,17.0713,17.0713,17.0713,1748.8228377213,0
RDVY.US,D,20140303,000000,17.1405,17.1405,16.9535,17.0643,189971.69330893,0
RDVY.US,D,20140305,000000,17.2948,17.3017,17.2701,17.2948,3030.6189985482,0
RDVY.US,D,20140306,000000,17.3839,17.3839,17.3562,17.3789,2450.3737333158,0
RDVY.US,D,20140307,000000,17.3997,17.4254,17.2849,17.3017,3545.1570473343,0
RDVY.US,D,20140310,000000,17.3364,17.3364,17.2275,17.2948,29056.741992751,0
RDVY.US,D,20140311,000000,17.3463,17.3463,17.2632,17.2632,2991.1946686805,0
RDVY.US,D,20140312,000000,17.0396,17.2275,17.0396,17.2187,3558.2984906236,0
RDVY.US,D,20140313,000000,17.2365,17.2365,17.0564,17.0564,5461.7860070566,0
RDVY.US,D,20140314,000000,17.1049,17.1237,16.9347,17.1237,7825.2240386128,0
RDVY.US,D,20140317,000000,17.1405,17.1831,17.0307,17.1643,3782.7139067936,0
RDVY.US,D,20140319,000000,17.1731,17.2889,17.1731,17.2019,3073.0759691749,0
RDVY.US,D,20140321,000000,17.2097,17.3562,17.2097,17.3562,4048.5754133373,0
RDVY.US,D,20140324,000000,17.1405,17.2097,17.1405,17.2097,2793.0621390889,0
RDVY.US,D,20140325,000000,17.282,17.282,17.2741,17.282,2392.7535588938,0
RDVY.US,D,20140326,000000,17.2671,17.2671,17.2592,17.2592,1980.3144156624,0
RDVY.US,D,20140327,000000,17.1365,17.1365,17.1365,17.1365,467.02667689435,0
RDVY.US,D,20140328,000000,17.2741,17.2741,17.2741,17.2741,358.86248982141,0
RDVY.US,D,20140331,000000,17.3957,17.4046,17.3799,17.3799,3612.8860242866,0
RDVY.US,D,20140401,000000,17.5313,17.6084,17.4808,17.6084,1912.5854387102,0
RDVY.US,D,20140402,000000,17.7311,17.7311,17.7311,17.7311,909.79222771626,0
RDVY.US,D,20140403,000000,17.6698,17.6698,17.6698,17.6698,236.54597920623,0
RDVY.US,D,20140404,000000,17.7133,17.741,17.7133,17.741,409.40650247232,0
RDVY.US,D,20140407,000000,17.4551,17.4551,17.3245,17.3245,1279.7744003209,0
RDVY.US,D,20140408,000000,17.3156,17.3423,17.282,17.3423,9332.4464958628,0
RDVY.US,D,20140409,000000,17.375,17.375,17.371,17.371,405.36298146024,0
RDVY.US,D,20140410,000000,17.4709,17.4709,17.189,17.189,5997.5525411562,0
RDVY.US,D,20140411,000000,17.2078,17.2078,17.2078,17.2078,1411.1888332132,0
RDVY.US,D,20140414,000000,17.1108,17.1108,17.0357,17.0357,456.91787436416,0
RDVY.US,D,20140417,000000,17.4709,17.4709,17.4709,17.4709,1051.3154631388,0
RDVY.US,D,20140421,000000,17.4709,17.4907,17.4709,17.4907,2384.6665168696,0
RDVY.US,D,20140422,000000,17.5807,17.5896,17.5718,17.5718,1431.4064382736,0
RDVY.US,D,20140423,000000,17.5402,17.5491,17.5303,17.5402,5513.3408999605,0
RDVY.US,D,20140424,000000,17.5085,17.5154,17.4551,17.5085,11383.522529237,0
RDVY.US,D,20140425,000000,17.4046,17.4135,17.3799,17.4096,1904.498396686,0
RDVY.US,D,20140430,000000,17.5085,17.555,17.5085,17.555,7828.2566793719,0
RDVY.US,D,20140501,000000,17.5402,17.6173,17.5402,17.5402,793.54099861918,0
RDVY.US,D,20140502,000000,17.6262,17.6886,17.4383,17.4383,1869.1175878304,0
RDVY.US,D,20140505,000000,17.5224,17.5313,17.5154,17.5224,3025.5645972831,0
RDVY.US,D,20140506,000000,17.4551,17.462,17.4551,17.462,437.71114955682,0
RDVY.US,D,20140507,000000,17.5718,17.5718,17.4046,17.5402,7905.0835786013,0
RDVY.US,D,20140508,000000,17.5243,17.5243,17.5243,17.5243,110.18594757897,0
RDVY.US,D,20140509,000000,17.4551,17.4996,17.4551,17.4798,2172.3816637358,0
RDVY.US,D,20140512,000000,17.7044,17.7133,17.7044,17.7133,344.71016627916,0
RDVY.US,D,20140513,000000,17.7133,17.7311,17.7044,17.7311,2329.0681029536,0
RDVY.US,D,20140515,000000,17.4709,17.4996,17.4709,17.4996,2090.5003632414,0
RDVY.US,D,20140516,000000,17.3799,17.5322,17.3799,17.5322,2465.5369371111,0
RDVY.US,D,20140519,000000,17.4224,17.4224,17.4224,17.4224,236.54597920623,0
RDVY.US,D,20140520,000000,17.5224,17.5224,17.5224,17.5224,110.18594757897,0
RDVY.US,D,20140522,000000,17.6519,17.6965,17.6519,17.6965,927.98807227058,0
RDVY.US,D,20140523,000000,17.7232,17.7311,17.6886,17.7044,1457.689324852,0
RDVY.US,D,20140527,000000,17.7994,17.7994,17.7301,17.7726,4073.8474196628,0
RDVY.US,D,20140528,000000,17.8567,17.8567,17.741,17.7726,1467.7981273822,0
RDVY.US,D,20140529,000000,17.8389,17.8389,17.8063,17.8063,2803.1709416191,0
RDVY.US,D,20140530,000000,17.831,17.8567,17.8241,17.8567,3540.1026460693,0
RDVY.US,D,20140602,000000,17.8063,17.9121,17.8063,17.9121,891.59638316193,0
RDVY.US,D,20140603,000000,17.9942,17.9942,17.8241,17.8844,3822.1382366613,0
RDVY.US,D,20140604,000000,17.8933,17.9675,17.8587,17.9507,6070.3359193735,0
RDVY.US,D,20140605,000000,18.0012,18.01,18.0012,18.01,798.59539988427,0
RDVY.US,D,20140606,000000,18.0832,18.1169,18.0832,18.111,1813.5191739144,0
RDVY.US,D,20140609,000000,18.104,18.104,18.104,18.104,1277.7526398148,0
RDVY.US,D,20140610,000000,18.0654,18.0744,18.0388,18.0388,2792.0512588359,0
RDVY.US,D,20140611,000000,17.9606,18.02,17.8666,18.01,6892.1815650772,0
RDVY.US,D,20140612,000000,17.9428,17.9428,17.8795,17.8795,1258.5459150075,0
RDVY.US,D,20140613,000000,17.8666,17.9863,17.8666,17.9606,1137.2402846453,0
RDVY.US,D,20140616,000000,18.02,18.02,18.01,18.01,1119.044440091,0
RDVY.US,D,20140617,000000,18.0022,18.1169,18.0022,18.111,3331.8613139475,0
RDVY.US,D,20140618,000000,18.0476,18.0922,18.0298,18.0298,5356.6544607427,0
RDVY.US,D,20140620,000000,18.3226,18.3226,18.2682,18.295,2483.7327816654,0
RDVY.US,D,20140623,000000,18.3048,18.3048,18.2484,18.2484,377.05833437574,0
RDVY.US,D,20140624,000000,18.289,18.3346,18.1604,18.1604,3797.8771105889,0
RDVY.US,D,20140625,000000,18.0754,18.0754,18.0556,18.0556,420.52618525551,0
RDVY.US,D,20140626,000000,18.111,18.111,18.111,18.111,292.14439312222,0
RDVY.US,D,20140627,000000,18.103,18.1268,18.0763,18.0763,2170.3599032298,0
RDVY.US,D,20140630,000000,18.0932,18.2702,18.0932,18.0932,468.03755714736,0
RDVY.US,D,20140702,000000,18.2366,18.2366,18.205,18.2286,1039.1849001026,0
RDVY.US,D,20140703,000000,18.3256,18.4008,18.3158,18.4008,1739.7249154441,0
RDVY.US,D,20140707,000000,18.2702,18.2792,18.2554,18.2702,28526.029859917,0
RDVY.US,D,20140710,000000,18.0022,18.1466,18.0022,18.1268,8675.374331401,0
RDVY.US,D,20140711,000000,18.1357,18.1525,18.1268,18.1357,1228.2195074169,0
RDVY.US,D,20140714,000000,18.2979,18.2979,18.2564,18.2604,7379.4258470319,0
RDVY.US,D,20140715,000000,18.3158,18.3158,18.2366,18.2564,3838.3123207096,0
RDVY.US,D,20140716,000000,18.2366,18.3158,18.2366,18.3158,646.96336193156,0
RDVY.US,D,20140717,000000,18.3078,18.3346,18.2286,18.2286,3087.2282927172,0
RDVY.US,D,20140721,000000,18.286,18.3414,18.283,18.3414,4235.5882601457,0
RDVY.US,D,20140722,000000,18.3978,18.4472,18.3978,18.4106,379.08009488177,0
RDVY.US,D,20140723,000000,18.4562,18.473,18.4562,18.473,925.96631176455,0
RDVY.US,D,20140724,000000,18.5502,18.5502,18.4868,18.4868,3241.8929714289,0
RDVY.US,D,20140725,000000,18.5234,18.5234,18.3988,18.3988,2831.4755887036,0
RDVY.US,D,20140728,000000,18.4008,18.4008,18.4008,18.4008,1446.5696420688,0
RDVY.US,D,20140729,000000,18.377,18.377,18.2979,18.3078,2103.6418065306,0
RDVY.US,D,20140730,000000,18.3494,18.3592,18.196,18.2425,10463.62149899,0
RDVY.US,D,20140801,000000,17.7825,17.7845,17.7291,17.7291,2932.5636140054,0
RDVY.US,D,20140804,000000,17.9675,17.9675,17.7796,17.9428,3348.0353979958,0
RDVY.US,D,20140806,000000,17.8379,17.8468,17.8063,17.8231,1388.9494676468,0
RDVY.US,D,20140807,000000,17.8716,17.8716,17.8231,17.8716,1943.9227265537,0
RDVY.US,D,20140808,000000,17.8112,17.8112,17.8112,17.8112,263.83974603771,0
RDVY.US,D,20140811,000000,18.02,18.02,17.9675,17.9675,2893.1392841377,0
RDVY.US,D,20140812,000000,17.9289,18.0754,17.9289,18.0754,680.32241028116,0
RDVY.US,D,20140813,000000,18.0654,18.0654,18.0654,18.0654,109.17506732595,0
RDVY.US,D,20140814,000000,18.1782,18.1782,18.1782,18.1782,230.48069768812,0
RDVY.US,D,20140818,000000,18.3365,18.3592,18.3276,18.3286,2500.9177459667,0
RDVY.US,D,20140819,000000,18.4364,18.4364,18.4364,18.4364,433.66762854475,0
RDVY.US,D,20140821,000000,18.5442,18.5442,18.5442,18.5442,235.53509895321,0
RDVY.US,D,20140825,000000,18.6788,18.6788,18.5928,18.6234,34591.311378025,0
RDVY.US,D,20140826,000000,18.7392,18.7392,18.662,18.6946,8585.4059888824,0
RDVY.US,D,20140827,000000,18.6976,18.7302,18.6976,18.7252,1796.3342096131,0
RDVY.US,D,20140828,000000,18.664,18.7302,18.657,18.7302,2193.6101490492,0
RDVY.US,D,20140829,000000,18.7648,18.7648,18.7648,18.7648,109.17506732595,0
RDVY.US,D,20140902,000000,18.7768,18.7768,18.7114,18.7392,2545.3964770995,0
RDVY.US,D,20140903,000000,18.7846,18.7846,18.7302,18.7302,2582.7990464612,0
RDVY.US,D,20140904,000000,18.7748,18.8074,18.6688,18.6698,3890.8780938665,0
RDVY.US,D,20140905,000000,18.7204,18.7204,18.7204,18.7204,245.64390148339,0
RDVY.US,D,20140908,000000,18.745,18.748,18.6798,18.6798,2280.5458508088,0
RDVY.US,D,20140909,000000,18.659,18.659,18.6124,18.6124,4353.8612497488,0
RDVY.US,D,20140911,000000,18.558,18.574,18.558,18.558,2448.3519728098,0
RDVY.US,D,20140912,000000,18.5422,18.5422,18.5274,18.5274,1465.7763668762,0
RDVY.US,D,20140915,000000,18.4562,18.5502,18.4562,18.5502,2481.7110211593,0
RDVY.US,D,20140916,000000,18.565,18.7044,18.5412,18.7026,1599.2125602746,0
RDVY.US,D,20140917,000000,18.6798,18.6798,18.653,18.653,6019.7919067226,0
RDVY.US,D,20140918,000000,18.7134,18.7648,18.7134,18.7648,6925.5406134268,0
RDVY.US,D,20140919,000000,18.8024,18.8024,18.662,18.6876,6402.9155226164,0
RDVY.US,D,20140922,000000,18.5828,18.5828,18.5166,18.5314,4331.6218841824,0
RDVY.US,D,20140923,000000,18.5532,18.5532,18.378,18.378,1263.6003162726,0
RDVY.US,D,20140924,000000,18.3562,18.5512,18.3562,18.5512,3745.3113374319,0
RDVY.US,D,20140925,000000,18.7589,18.7589,18.2069,18.2148,29063.818154523,0
RDVY.US,D,20140926,000000,18.3346,18.4562,18.284,18.4078,8868.4524597275,0
RDVY.US,D,20140929,000000,18.3444,18.3444,18.2356,18.2435,2452.3954938218,0
RDVY.US,D,20140930,000000,18.9568,18.9568,18.2782,18.9568,721.7685006549,0
RDVY.US,D,20141001,000000,17.9754,18.1426,17.9714,17.9714,1132.1858833802,0
RDVY.US,D,20141003,000000,18.1594,18.1594,18.1594,18.1594,1501.1571757318,0
RDVY.US,D,20141006,000000,18.0744,18.1248,18.0644,18.0744,1504.1898164909,0
RDVY.US,D,20141007,000000,18.0378,18.0378,17.8844,17.8844,1023.0108160543,0
RDVY.US,D,20141008,000000,17.7835,17.8804,17.7835,17.8804,1024.0216963073,0
RDVY.US,D,20141010,000000,17.8112,17.8112,17.7449,17.7449,3178.2075154888,0
RDVY.US,D,20141013,000000,17.4234,17.4254,17.37,17.3878,2181.479586013,0
RDVY.US,D,20141015,000000,17.1336,17.1821,16.8912,17.1821,7667.526719142,0
RDVY.US,D,20141016,000000,17.3878,17.3878,17.0327,17.2048,4813.811764872,0
RDVY.US,D,20141017,000000,17.4818,17.5421,17.4432,17.4719,6767.8432939559,0
RDVY.US,D,20141020,000000,17.4907,17.6302,17.4907,17.6302,2338.1660252308,0
RDVY.US,D,20141021,000000,17.8804,18.0704,17.8804,18.0644,4498.4171259304,0
RDVY.US,D,20141022,000000,18.1248,18.1248,18.1159,18.1159,819.82388519765,0
RDVY.US,D,20141023,000000,18.1772,18.2416,18.1347,18.1347,9149.4771700665,0
RDVY.US,D,20141024,000000,18.0912,18.0912,18.0912,18.0912,2327.0463424476,0
RDVY.US,D,20141027,000000,18.191,18.2494,18.191,18.2435,2267.4044075195,0
RDVY.US,D,20141028,000000,18.3256,18.4374,18.3196,18.4374,5907.5841986376,0
RDVY.US,D,20141029,000000,18.4236,18.5086,18.4236,18.5086,1456.678444599,0
RDVY.US,D,20141030,000000,18.5838,18.5838,18.4334,18.565,3607.8316230215,0
RDVY.US,D,20141031,000000,18.7054,18.8124,18.7054,18.7955,3159.0007906814,0
RDVY.US,D,20141103,000000,18.847,18.9736,18.7322,18.7322,82043.041334946,0
RDVY.US,D,20141104,000000,18.7134,18.741,18.6442,18.7134,4317.4695606402,0
RDVY.US,D,20141105,000000,18.7946,18.7955,18.7946,18.7946,1783.1927663239,0
RDVY.US,D,20141106,000000,18.7342,18.8786,18.7342,18.8786,10912.45233133,0
RDVY.US,D,20141107,000000,18.8706,18.9142,18.8518,18.8568,8453.9915559901,0
RDVY.US,D,20141110,000000,19.0022,19.0022,18.8746,18.9232,4477.188640617,0
RDVY.US,D,20141111,000000,18.9528,18.9528,18.9172,18.933,3108.4567780305,0
RDVY.US,D,20141112,000000,18.931,19.0022,18.9142,18.9834,8117.3684317351,0
RDVY.US,D,20141113,000000,18.9914,19.0072,18.8628,18.9034,6374.6108755319,0
RDVY.US,D,20141114,000000,18.8866,18.9548,18.8866,18.931,6547.471398798,0
RDVY.US,D,20141117,000000,18.931,18.9834,18.931,18.9736,3176.1857549828,0
RDVY.US,D,20141118,000000,19.0715,19.1308,19.0408,19.1308,13899.603478998,0
RDVY.US,D,20141119,000000,18.9924,19.0438,18.9232,19.028,9523.5028636832,0
RDVY.US,D,20141120,000000,19.1071,19.1418,19.1071,19.1318,6750.6583296546,0
RDVY.US,D,20141121,000000,19.2704,19.2704,19.1664,19.1744,3036.6842800663,0
RDVY.US,D,20141124,000000,19.3218,19.3218,19.213,19.2357,10095.661086892,0
RDVY.US,D,20141125,000000,19.2328,19.2526,19.208,19.2357,5000.8246116804,0
RDVY.US,D,20141126,000000,19.209,19.2357,19.1981,19.2318,7137.8254665605,0
RDVY.US,D,20141128,000000,19.0874,19.0874,19.0874,19.0874,109.17506732595,0
RDVY.US,D,20141201,000000,18.9568,18.9864,18.9142,18.9142,1790.268928095,0
RDVY.US,D,20141202,000000,19.0537,19.0874,18.9232,19.0874,2741.507246185,0
RDVY.US,D,20141203,000000,19.2179,19.2179,19.1912,19.1912,3301.534906357,0
RDVY.US,D,20141204,000000,19.2812,19.2812,19.116,19.1784,10861.908318679,0
RDVY.US,D,20141205,000000,19.216,19.2812,19.1991,19.1991,4082.94534194,0
RDVY.US,D,20141208,000000,19.1664,19.1664,19.0042,19.0042,2162.2728612056,0
RDVY.US,D,20141209,000000,18.8548,18.9924,18.8548,18.9736,52311.031333178,0
RDVY.US,D,20141210,000000,18.9142,18.9142,18.655,18.655,9041.3129829936,0
RDVY.US,D,20141211,000000,18.6016,18.8826,18.6016,18.663,9606.3950444307,0
RDVY.US,D,20141212,000000,18.4632,18.5126,18.3494,18.3494,935.06423404171,0
RDVY.US,D,20141215,000000,18.2356,18.3978,18.204,18.2356,3606.8207427685,0
RDVY.US,D,20141216,000000,18.3256,18.3414,18.1723,18.1772,2544.3855968465,0
RDVY.US,D,20141217,000000,18.294,18.4078,18.294,18.3256,4218.4032958444,0
RDVY.US,D,20141218,000000,18.8202,18.9488,18.741,18.9232,11846.505685118,0
RDVY.US,D,20141219,000000,19.0636,19.1981,19.0636,19.1942,6013.7266252045,0
RDVY.US,D,20141222,000000,19.1664,19.2268,19.1408,19.2268,17236.519194211,0
RDVY.US,D,20141223,000000,19.3178,19.3564,19.297,19.3376,5337.4477359354,0
RDVY.US,D,20141224,000000,19.2496,19.303,19.2496,19.2694,8311.4574403145,0
RDVY.US,D,20141226,000000,19.3682,19.3682,19.3376,19.3376,22886.328928329,0
RDVY.US,D,20141229,000000,19.3376,19.3742,19.3198,19.3712,12342.847889351,0
RDVY.US,D,20141230,000000,19.2506,19.306,19.2506,19.2694,2174.4034242419,0
RDVY.US,D,20141231,000000,19.2872,19.2872,19.0686,19.0686,2940.6506560295,0
RDVY.US,D,20150102,000000,19.0854,19.0854,19.0339,19.0686,1248.4371124773,0
RDVY.US,D,20150105,000000,18.8658,18.8658,18.6352,18.6678,15499.826919526,0
RDVY.US,D,20150106,000000,18.5204,18.5204,18.4829,18.5007,1806.4430121433,0
RDVY.US,D,20150107,000000,18.666,18.6848,18.5828,18.6352,8546.9925392677,0
