<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REIT.US,D,20210301,000000,23.7549,23.7549,23.3924,23.3924,99259.124154658,0
REIT.US,D,20210302,000000,23.2923,23.304,23.0358,23.2422,47222.959448648,0
REIT.US,D,20210303,000000,23.1213,23.197,23.0968,23.1272,47840.898448483,0
REIT.US,D,20210304,000000,23.1704,23.1704,22.7235,22.8384,46107.207976129,0
REIT.US,D,20210305,000000,22.9966,23.0358,22.584,23.0358,44774.61794189,0
REIT.US,D,20210308,000000,23.2265,23.6193,23.2265,23.5437,50178.275620839,0
REIT.US,D,20210309,000000,23.6243,23.6685,23.5192,23.5192,44767.491791975,0
REIT.US,D,20210310,000000,24.0712,24.0712,23.5221,23.7618,9487.9596020739,0
REIT.US,D,20210311,000000,23.8601,24.0712,23.8601,23.9121,2985.856814687,0
REIT.US,D,20210312,000000,24.0241,24.3345,23.9995,24.3345,2056.4032613937,0
REIT.US,D,20210315,000000,24.9445,24.9445,24.2431,24.6616,10834.801936145,0
REIT.US,D,20210316,000000,24.859,24.859,24.4651,24.6007,4409.0507549981,0
REIT.US,D,20210317,000000,24.5811,24.6007,24.2922,24.5005,3356.4166103045,0
REIT.US,D,20210318,000000,24.4169,24.5713,24.3394,24.4356,13415.486227052,0
REIT.US,D,20210319,000000,25.0338,25.0338,24.0977,24.0977,5634.748540502,0
REIT.US,D,20210322,000000,23.9544,24.0309,23.9347,24.0309,2224.3767951214,0
REIT.US,D,20210323,000000,23.7707,24.2,23.7707,23.9445,4694.0967516269,0
REIT.US,D,20210324,000000,24.1272,24.2716,24.1173,24.1272,2376.0619861846,0
REIT.US,D,20210325,000000,24.0977,24.1536,23.6646,24.1536,3139.5780485832,0
REIT.US,D,20210329,000000,24.3207,24.5811,24.2716,24.4533,5599.1177909234,0
REIT.US,D,20210330,000000,24.1566,24.6282,24.1566,24.5859,3579.3633005249,0
REIT.US,D,20210331,000000,24.4749,24.6194,24.4552,24.5693,3589.5435146902,0
REIT.US,D,20210401,000000,24.6665,24.6665,24.5811,24.6665,2679.432368311,0
REIT.US,D,20210405,000000,25.4288,25.4288,24.7352,24.7352,4302.1585062623,0
REIT.US,D,20210406,000000,24.8216,24.9287,24.7774,24.9287,4537.321453481,0
REIT.US,D,20210407,000000,25.0191,25.0191,24.8512,24.9082,4808.1151502784,0
REIT.US,D,20210408,000000,24.966,24.966,24.8953,24.9169,2619.3691047356,0
REIT.US,D,20210409,000000,25.0721,25.863,24.86,25.863,2946.1539794423,0
REIT.US,D,20210412,000000,25.1301,25.1301,24.7254,24.9857,3231.1999760711,0
REIT.US,D,20210413,000000,25.0437,25.1361,24.9366,25.1361,1769.3212219318,0
REIT.US,D,20210414,000000,25.2165,25.2165,24.9749,24.9749,2671.2881969787,0
REIT.US,D,20210415,000000,25.1585,25.4503,25.1585,25.4503,860.22809696914,0
REIT.US,D,20210416,000000,25.6596,25.6596,25.4681,25.4935,4614.6910811374,0
REIT.US,D,20210419,000000,25.7941,25.7941,25.3698,25.5241,2946.1539794423,0
REIT.US,D,20210420,000000,25.7087,25.7657,25.7077,25.7657,1287.7970919124,0
REIT.US,D,20210421,000000,25.9729,25.9729,25.9375,25.9375,1612.5459237859,0
REIT.US,D,20210422,000000,26.3059,26.3059,25.7402,25.7912,3287.1911539803,0
REIT.US,D,20210423,000000,25.9975,25.9975,25.7764,25.8304,6801.4010838472,0
REIT.US,D,20210426,000000,25.9778,26.1133,25.9778,25.9778,4353.0595770888,0
REIT.US,D,20210427,000000,26.0269,26.0555,25.9877,26.0269,3656.7329281813,0
REIT.US,D,20210428,000000,26.0456,26.0456,26.0319,26.0319,1481.2211610534,0
REIT.US,D,20210429,000000,26.3059,26.3059,26.1123,26.1802,3747.3368342526,0
REIT.US,D,20210430,000000,26.2381,26.2381,26.1703,26.2146,12952.286482531,0
REIT.US,D,20210503,000000,26.5564,26.5564,26.1783,26.1783,7365.3849486056,0
REIT.US,D,20210504,000000,26.2774,26.3157,26.0231,26.0231,6792.2388910984,0
REIT.US,D,20210505,000000,26.1802,26.1802,25.4778,25.5947,6060.2814926122,0
REIT.US,D,20210506,000000,25.8727,26.0839,25.689,25.8393,4773.5024221164,0
REIT.US,D,20210507,000000,26.2184,26.2184,25.9091,26.1684,4859.016221105,0
REIT.US,D,20210510,000000,26.2283,26.4602,26.2184,26.3354,4732.7815654551,0
REIT.US,D,20210511,000000,26.3354,26.3354,25.7372,25.8668,3140.5960699998,0
REIT.US,D,20210512,000000,25.8236,25.8236,25.2903,25.2903,2866.7483089528,0
REIT.US,D,20210513,000000,25.5241,25.7667,25.3512,25.6468,4261.437649601,0
REIT.US,D,20210514,000000,25.8924,25.9111,25.8776,25.8964,3823.6884404924,0
REIT.US,D,20210517,000000,25.968,26.1654,25.8727,25.9238,3623.1382214357,0
REIT.US,D,20210518,000000,26.0269,26.0319,25.8727,25.9337,5131.8459607354,0
REIT.US,D,20210519,000000,25.6498,25.9022,25.6498,25.9022,1341.7522269886,0
REIT.US,D,20210520,000000,25.8825,26.136,25.8825,26.136,2878.9645659512,0
