<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFDI.US,D,20160415,000000,42.995,43.0095,42.995,43.0095,1193.1364859844,0
RFDI.US,D,20160419,000000,43.3712,43.8227,43.3712,43.8227,2864.149531516,0
RFDI.US,D,20160420,000000,43.9588,44.0504,43.8478,44.0504,3796.0606530624,0
RFDI.US,D,20160421,000000,43.9336,43.9742,43.8227,43.8227,1335.1518626828,0
RFDI.US,D,20160422,000000,43.8227,43.8478,43.6384,43.7889,2741.8297180093,0
RFDI.US,D,20160425,000000,43.7397,43.8053,43.7224,43.8053,1056.3041522312,0
RFDI.US,D,20160426,000000,43.8999,43.9086,43.8478,43.8912,1204.5391804638,0
RFDI.US,D,20160427,000000,43.925,43.925,43.925,43.925,225.9806724106,0
RFDI.US,D,20160428,000000,43.6654,43.6654,42.4229,42.4229,19161.709768394,0
RFDI.US,D,20160429,000000,42.7336,42.7683,42.5754,42.7683,488.24264543757,0
RFDI.US,D,20160502,000000,42.94,43.1523,42.94,43.1445,20031.424374598,0
RFDI.US,D,20160503,000000,42.6062,42.6062,42.3043,42.3043,838.6163485329,0
RFDI.US,D,20160504,000000,41.9812,41.9812,41.8509,41.93,5805.0080986208,0
RFDI.US,D,20160505,000000,41.8239,41.8239,41.7467,41.7603,932.94773013549,0
RFDI.US,D,20160506,000000,41.904,42.1191,41.9001,41.9812,11083.41903401,0
RFDI.US,D,20160509,000000,42.1519,42.1519,42.1519,42.1519,332.75135708166,0
RFDI.US,D,20160510,000000,42.2782,42.2782,42.2782,42.2782,238.41997547907,0
RFDI.US,D,20160511,000000,42.5831,42.5831,42.2898,42.2898,978.55850805323,0
RFDI.US,D,20160512,000000,42.3969,42.3969,42.1615,42.1615,5662.9927219224,0
RFDI.US,D,20160513,000000,42.1113,42.1113,42.0467,42.0863,2143.7065621336,0
RFDI.US,D,20160516,000000,42.4143,42.4143,42.4143,42.4143,1193.1364859844,0
RFDI.US,D,20160517,000000,42.3477,42.3477,42.1451,42.1451,355.55674604053,0
RFDI.US,D,20160518,000000,42.1191,42.4471,42.1191,42.204,13153.526386321,0
