<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFEU.US,D,20160415,000000,42.7675,42.7675,42.7187,42.7236,1073.5689922453,0
RFEU.US,D,20160418,000000,42.9423,43.0028,42.9423,43.0028,714.00533167457,0
RFEU.US,D,20160419,000000,43.5554,43.6988,43.5554,43.6929,2184.0163086516,0
RFEU.US,D,20160420,000000,43.7418,43.859,43.7418,43.8511,10730.567932985,0
RFEU.US,D,20160421,000000,43.7164,43.7164,43.5554,43.5554,480.44261198762,0
RFEU.US,D,20160422,000000,43.6911,43.6911,43.4695,43.5046,2744.3619563216,0
RFEU.US,D,20160425,000000,43.2527,43.2527,43.2527,43.2527,116.78135984347,0
RFEU.US,D,20160426,000000,43.446,43.446,43.4041,43.4041,369.80763950433,0
RFEU.US,D,20160427,000000,43.6149,44.0005,43.6149,43.7496,1097.1301437926,0
RFEU.US,D,20160428,000000,43.3123,43.8911,43.2215,43.8911,714.00533167457,0
RFEU.US,D,20160503,000000,42.4669,42.4669,42.421,42.421,504.00376353499,0
RFEU.US,D,20160504,000000,42.0969,42.0969,42.0374,42.0784,500.9305698549,0
RFEU.US,D,20160505,000000,42.0882,42.0882,42.0882,42.0882,236.63591336704,0
RFEU.US,D,20160506,000000,41.8587,42.1301,41.8587,42.1301,7533.4221077974,0
RFEU.US,D,20160509,000000,42.1799,42.2131,42.1554,42.1554,7858.1562399937,0
RFEU.US,D,20160510,000000,42.2707,42.4405,42.2707,42.4308,9324.0696253973,0
RFEU.US,D,20160511,000000,42.2082,42.2472,42.2082,42.2131,1132.9840700604,0
RFEU.US,D,20160512,000000,42.3731,42.4074,42.3731,42.4074,236.63591336704,0
RFEU.US,D,20160513,000000,42.1301,42.1301,41.972,42.0705,480.44261198762,0
RFEU.US,D,20160516,000000,42.0882,42.3995,42.0882,42.3731,2046.7469909409,0
RFEU.US,D,20160517,000000,42.1731,42.1731,42.0628,42.0628,236.63591336704,0
RFEU.US,D,20160518,000000,42.338,42.338,42.3136,42.3136,236.63591336704,0
RFEU.US,D,20160519,000000,41.8685,41.9895,41.8685,41.9895,417.95434049243,0
RFEU.US,D,20160520,000000,42.2375,42.3049,42.2375,42.2405,480.44261198762,0
RFEU.US,D,20160523,000000,42.1135,42.1399,42.1135,42.1399,355.46606899724,0
RFEU.US,D,20160524,000000,42.5577,42.9931,42.5577,42.9336,10730.567932985,0
RFEU.US,D,20160525,000000,43.2772,43.5231,43.2772,43.5231,36609.931913036,0
RFEU.US,D,20160526,000000,43.6578,43.6578,43.6344,43.6344,1435.1814486027,0
RFEU.US,D,20160527,000000,43.6911,43.6911,43.6052,43.6734,833.85988519813,0
RFEU.US,D,20160531,000000,43.8238,43.8238,43.488,43.5046,1435.1814486027,0
RFEU.US,D,20160601,000000,43.1883,43.3708,43.1883,43.3708,3696.0275992566,0
RFEU.US,D,20160602,000000,43.2615,43.4695,43.2615,43.4695,2744.3619563216,0
RFEU.US,D,20160603,000000,43.1708,43.3034,43.0028,43.2615,5168.0873720204,0
RFEU.US,D,20160606,000000,43.3952,43.4782,43.2947,43.4782,2263.919344334,0
RFEU.US,D,20160607,000000,43.8326,43.8326,43.6734,43.8326,3931.6391147303,0
RFEU.US,D,20160608,000000,43.6647,43.7067,43.6637,43.6911,4390.5693709573,0
RFEU.US,D,20160609,000000,43.3631,43.3631,43.2372,43.2859,30821.059417637,0
RFEU.US,D,20160610,000000,42.381,42.381,41.9379,41.9379,2028.3078288603,0
RFEU.US,D,20160613,000000,41.4936,41.5864,41.4936,41.5034,480.44261198762,0
RFEU.US,D,20160614,000000,40.8758,40.8825,40.2939,40.3925,13378.636487331,0
RFEU.US,D,20160615,000000,40.7791,40.9987,40.7205,40.7205,1407.5227054819,0
RFEU.US,D,20160616,000000,40.2422,41.0417,40.2422,41.0338,2247.5289780402,0
RFEU.US,D,20160617,000000,41.1637,41.5034,41.1637,41.4526,806.20114207731,0
RFEU.US,D,20160620,000000,42.4582,42.5928,42.4151,42.5928,6311.3154210144,0
RFEU.US,D,20160621,000000,42.9687,42.9687,42.8934,42.8934,355.46606899724,0
RFEU.US,D,20160622,000000,43.2537,43.3054,43.1131,43.1131,1592.9387241807,0
RFEU.US,D,20160623,000000,43.5944,44.0873,43.5778,44.0873,1529.4260547922,0
RFEU.US,D,20160624,000000,40.3866,41.1695,39.9747,40.124,10540.029924821,0
RFEU.US,D,20160627,000000,39.5052,39.5052,38.8434,39.3178,5590.1393040863,0
RFEU.US,D,20160628,000000,40.0079,40.1768,40.0079,40.0996,11256.084052281,0
RFEU.US,D,20160629,000000,40.6678,41.1051,40.6678,41.1051,5058.4767974305,0
RFEU.US,D,20160630,000000,40.9079,41.9631,40.9079,41.8412,23634.90819569,0
RFEU.US,D,20160701,000000,41.8666,42.0481,41.8666,42.0481,1267.180194091,0
RFEU.US,D,20160705,000000,41.4185,41.4185,41.029,41.029,351.36847742378,0
RFEU.US,D,20160706,000000,40.3456,40.823,40.3456,40.823,7618.4471329466,0
RFEU.US,D,20160708,000000,40.9489,41.3248,40.9167,41.3248,8585.478744282,0
RFEU.US,D,20160711,000000,41.6294,42.0638,41.6205,42.0638,6705.7086099594,0
RFEU.US,D,20160712,000000,41.9631,42.5147,41.9631,42.5147,1005.9587312833,0
RFEU.US,D,20160713,000000,42.2423,42.4513,42.2423,42.4513,1646.2074146356,0
RFEU.US,D,20160714,000000,42.6856,42.913,42.6016,42.913,2932.8511687006,0
RFEU.US,D,20160715,000000,42.6533,42.7021,42.6533,42.7021,705.81014852766,0
RFEU.US,D,20160718,000000,42.7793,42.7793,42.7793,42.7793,115.75696195011,0
RFEU.US,D,20160719,000000,42.421,42.4738,42.421,42.4738,232.53832179358,0
RFEU.US,D,20160720,000000,42.8964,43.0155,42.8964,43.0146,896.34815669333,0
RFEU.US,D,20160722,000000,43.0604,43.0604,43.0604,43.0604,115.75696195011,0
RFEU.US,D,20160725,000000,43.2137,43.2137,43.2137,43.2137,115.75696195011,0
RFEU.US,D,20160726,000000,43.3298,43.3298,43.3142,43.3231,1294.8389372118,0
RFEU.US,D,20160727,000000,43.7408,43.7408,43.5378,43.6901,1224.1554825697,0
RFEU.US,D,20160728,000000,43.5446,43.6803,43.5446,43.6803,351.36847742378,0
RFEU.US,D,20160729,000000,43.7321,43.8931,43.7057,43.8521,8702.2601041255,0
RFEU.US,D,20160801,000000,43.815,43.815,43.4646,43.4646,257.12387123431,0
RFEU.US,D,20160802,000000,43.1541,43.1541,43.1375,43.1541,2837.5821646177,0
RFEU.US,D,20160803,000000,42.9657,43.0097,42.9657,43.0097,351.36847742378,0
RFEU.US,D,20160804,000000,43.0858,43.2869,43.0858,43.2869,2506.7016450612,0
RFEU.US,D,20160805,000000,43.3562,43.528,43.3142,43.528,7879.6685957544,0
RFEU.US,D,20160808,000000,43.5192,43.5192,43.4616,43.4616,351.36847742378,0
RFEU.US,D,20160809,000000,43.8999,44.0873,43.8999,43.9947,637.17548967228,0
RFEU.US,D,20160810,000000,44.227,44.227,44.227,44.227,115.75696195011,0
RFEU.US,D,20160811,000000,44.6409,44.6409,44.5452,44.5452,802.10355050386,0
RFEU.US,D,20160812,000000,44.6496,44.6496,44.5266,44.5403,541.90648558945,0
RFEU.US,D,20160815,000000,44.7024,44.7024,44.7024,44.7024,115.75696195011,0
RFEU.US,D,20160816,000000,44.674,44.6838,44.6409,44.6496,1057.1786259514,0
RFEU.US,D,20160817,000000,44.4047,44.4047,44.4047,44.4047,816.44512101095,0
RFEU.US,D,20160818,000000,44.4134,44.471,44.4134,44.471,457.90585833362,0
RFEU.US,D,20160819,000000,44.0434,44.0434,44.0434,44.0434,115.75696195011,0
RFEU.US,D,20160822,000000,44.0619,44.1303,44.0619,44.0873,4174.4214154575,0
RFEU.US,D,20160823,000000,44.3265,44.3499,44.3265,44.3499,584.93119711073,0
RFEU.US,D,20160824,000000,44.5316,44.5316,44.3031,44.3031,13648.053133286,0
RFEU.US,D,20160825,000000,44.1986,44.1986,44.1986,44.1986,115.75696195011,0
RFEU.US,D,20160826,000000,44.2591,44.4134,43.7731,44.0122,1648.2562104224,0
RFEU.US,D,20160829,000000,44.1478,44.1908,44.0434,44.1908,2000.6490857395,0
RFEU.US,D,20160830,000000,44.1216,44.1216,44.1216,44.1216,115.75696195011,0
RFEU.US,D,20160831,000000,44.0434,44.0434,43.7321,43.7321,13108.195443483,0
RFEU.US,D,20160901,000000,44.0698,44.0698,44.0434,44.0434,1351.1808213469,0
RFEU.US,D,20160902,000000,44.6838,44.759,44.6409,44.7502,1403.4251139084,0
RFEU.US,D,20160906,000000,44.8868,44.8868,44.8527,44.8527,705.81014852766,0
RFEU.US,D,20160907,000000,45.0245,45.0753,44.9981,44.9981,356.4904668906,0
RFEU.US,D,20160908,000000,44.9308,45.0743,44.9308,44.9445,4677.4007810991,0
RFEU.US,D,20160909,000000,44.2347,44.2904,44.2347,44.2904,940.39726610797,0
RFEU.US,D,20160912,000000,43.8599,44.2758,43.8599,44.2591,1185.2283626219,0
RFEU.US,D,20160913,000000,43.7565,43.7565,43.4821,43.4821,2000.6490857395,0
RFEU.US,D,20160914,000000,43.4909,43.5446,43.4909,43.5446,232.53832179358,0
RFEU.US,D,20160915,000000,43.6803,43.6803,43.6803,43.6803,115.75696195011,0
RFEU.US,D,20160916,000000,43.3728,43.4177,43.2224,43.2224,20996.059222384,0
RFEU.US,D,20160919,000000,43.6471,43.6901,43.6119,43.6901,15054.551440874,0
RFEU.US,D,20160920,000000,43.8062,44.0259,43.8062,43.8336,1965.8195573651,0
RFEU.US,D,20160921,000000,44.346,44.346,44.346,44.346,115.75696195011,0
RFEU.US,D,20160922,000000,44.9268,44.9268,44.8244,44.8244,1292.7901414251,0
RFEU.US,D,20160923,000000,44.6214,44.6214,44.4788,44.6214,508.10135510845,0
RFEU.US,D,20160926,000000,43.8629,43.8629,43.8629,43.8629,115.75696195011,0
RFEU.US,D,20160927,000000,43.7272,43.9995,43.7272,43.9604,14382.546422828,0
RFEU.US,D,20160928,000000,44.0913,44.5276,44.0913,44.5276,3229.9265577761,0
RFEU.US,D,20160929,000000,44.2543,44.5022,43.8541,44.1616,1526.3528611121,0
RFEU.US,D,20160930,000000,44.5608,44.5608,44.5608,44.5608,115.75696195011,0
RFEU.US,D,20161003,000000,44.7999,44.7999,44.5276,44.5784,1867.4773596022,0
RFEU.US,D,20161004,000000,44.8244,44.8332,44.5373,44.5373,1292.7901414251,0
RFEU.US,D,20161005,000000,44.7219,44.9278,44.4437,44.9278,3661.1980708822,0
RFEU.US,D,20161006,000000,44.757,44.757,44.471,44.596,3297.5368187381,0
RFEU.US,D,20161007,000000,44.6037,44.6037,44.6037,44.6037,441.5154920398,0
RFEU.US,D,20161010,000000,44.4593,44.4768,44.309,44.3734,6381.9988756565,0
RFEU.US,D,20161011,000000,44.2309,44.2309,43.8345,43.9126,4081.2012071614,0
RFEU.US,D,20161012,000000,43.939,44.0073,43.9126,44.0073,1497.6697200979,0
RFEU.US,D,20161013,000000,43.6159,43.9126,43.6159,43.8472,2040.6006035807,0
RFEU.US,D,20161014,000000,44.4271,44.4271,43.9029,43.9565,1631.8658441285,0
RFEU.US,D,20161017,000000,43.8706,43.8706,43.8375,43.8541,1142.2036511006,0
RFEU.US,D,20161018,000000,44.3119,44.3119,44.1254,44.1254,935.27527664115,0
RFEU.US,D,20161019,000000,44.2719,44.4358,44.2719,44.3031,988.54396709607,0
RFEU.US,D,20161020,000000,44.3216,44.3304,43.9741,44.3119,2787.3866678429,0
RFEU.US,D,20161021,000000,44.1683,44.1683,44.1683,44.1683,350.34407953042,0
RFEU.US,D,20161024,000000,44.6116,44.6116,44.3119,44.3168,921.95810402742,0
RFEU.US,D,20161025,000000,44.346,44.346,44.1616,44.2132,2104.1132729692,0
RFEU.US,D,20161026,000000,43.9214,43.9898,43.8189,43.8189,3296.5124208447,0
RFEU.US,D,20161027,000000,44.1176,44.1176,44.0913,44.0962,1636.9878335954,0
RFEU.US,D,20161028,000000,44.1781,44.2309,44.0571,44.0571,2201.4310728388,0
RFEU.US,D,20161031,000000,44.0659,44.0659,44.0385,44.0385,1899.2336942965,0
RFEU.US,D,20161101,000000,44.0571,44.1088,43.9468,43.9468,1040.7882596576,0
RFEU.US,D,20161102,000000,43.6842,43.6929,43.6667,43.6667,4195.9337712181,0
RFEU.US,D,20161103,000000,43.6754,43.7359,43.3249,43.3249,4021.7861293463,0
RFEU.US,D,20161104,000000,43.0956,43.2078,43.0195,43.0195,2334.6027989761,0
RFEU.US,D,20161107,000000,43.5475,43.7096,43.5475,43.6929,3337.4883365793,0
RFEU.US,D,20161108,000000,43.8706,44.0161,43.8541,43.9741,2000.6490857395,0
RFEU.US,D,20161109,000000,44.9347,44.9347,43.7193,43.8375,1034.6418722974,0
RFEU.US,D,20161110,000000,43.486,44.0288,43.1736,43.9995,4999.0617196154,0
RFEU.US,D,20161111,000000,43.6929,43.7272,43.367,43.486,13659.321510113,0
RFEU.US,D,20161114,000000,42.9765,43.0195,42.9364,42.9403,2245.4801822535,0
RFEU.US,D,20161115,000000,42.9765,43.2323,42.9765,43.2323,2373.5299189239,0
RFEU.US,D,20161116,000000,42.9149,43.0106,42.8174,42.8174,3596.6610036003,0
RFEU.US,D,20161117,000000,43.8091,43.8091,42.9579,43.2078,18790.530557973,0
RFEU.US,D,20161118,000000,43.079,43.1054,42.9921,43.0711,21277.76864306,0
RFEU.US,D,20161121,000000,43.2654,43.282,43.2078,43.282,5929.2150067897,0
RFEU.US,D,20161122,000000,43.6929,43.6929,43.2742,43.3249,6073.655109754,0
RFEU.US,D,20161123,000000,43.4362,43.4362,43.036,43.1639,5723.3110302236,0
RFEU.US,D,20161125,000000,43.6247,43.6247,43.5124,43.5124,449.71067518671,0
RFEU.US,D,20161128,000000,43.486,43.486,43.1111,43.1913,4741.937848381,0
RFEU.US,D,20161129,000000,43.2469,43.3318,43.2469,43.3172,4533.9850760282,0
RFEU.US,D,20161130,000000,43.3826,43.3826,43.036,43.1521,17540.765128068,0
RFEU.US,D,20161201,000000,43.1219,43.3493,42.9491,42.9872,4502.2287413339,0
RFEU.US,D,20161202,000000,43.0536,43.1219,42.8408,43.0087,3414.3181785816,0
RFEU.US,D,20161205,000000,43.2732,43.7428,43.2732,43.6929,2278.2609148411,0
RFEU.US,D,20161206,000000,43.9126,44.0571,43.9126,43.9302,691.46857802057,0
RFEU.US,D,20161207,000000,44.3216,44.7951,44.2787,44.7951,10248.076525211,0
RFEU.US,D,20161208,000000,44.5178,44.6701,44.4593,44.6555,6165.8509201567,0
RFEU.US,D,20161209,000000,44.7219,44.7219,44.6037,44.7219,6218.0952127183,0
RFEU.US,D,20161212,000000,44.7083,44.714,44.6555,44.6633,2223.9678264928,0
RFEU.US,D,20161213,000000,45.1338,45.1338,44.9952,45.0645,2190.1626960118,0
RFEU.US,D,20161214,000000,44.9278,45.1173,44.2943,44.2943,15090.405367143,0
RFEU.US,D,20161215,000000,44.2885,44.7297,44.2386,44.4701,36198.123959903,0
RFEU.US,D,20161216,000000,44.3383,44.6506,44.3383,44.637,4830.0360672103,0
RFEU.US,D,20161219,000000,44.8244,44.8244,44.4691,44.6116,13471.856695628,0
RFEU.US,D,20161220,000000,44.6291,44.7297,44.5355,44.5364,3566.9534646928,0
RFEU.US,D,20161221,000000,45.1689,45.1689,44.8147,44.8517,1323.522078226,0
RFEU.US,D,20161222,000000,44.9806,45.007,44.7453,44.755,4574.9609917627,0
RFEU.US,D,20161223,000000,45.0079,45.0079,44.7199,44.8683,10932.374317978,0
RFEU.US,D,20161227,000000,45.0519,45.0596,44.9796,45.0342,7434.0555121411,0
RFEU.US,D,20161228,000000,45.2051,45.2051,44.6868,44.755,2271.0901295875,0
RFEU.US,D,20161229,000000,45.1124,45.1299,45.0099,45.0099,4754.2306231014,0
RFEU.US,D,20161230,000000,45.4911,45.5702,45.3515,45.3515,6786.6360435352,0
RFEU.US,D,20170103,000000,45.4111,45.4638,45.3808,45.4199,3943.9318894506,0
RFEU.US,D,20170104,000000,45.7264,45.8015,45.5438,45.8015,2807.8746257102,0
RFEU.US,D,20170105,000000,45.9861,46.2448,45.9861,46.2204,6998.6864074615,0
RFEU.US,D,20170106,000000,46.0358,46.071,45.8953,46.0261,4587.2537664831,0
RFEU.US,D,20170109,000000,45.7937,45.8553,45.7937,45.8553,1417.7666844155,0
RFEU.US,D,20170110,000000,45.8709,45.8709,45.8006,45.8201,1390.1079412947,0
RFEU.US,D,20170111,000000,45.5858,45.9861,45.5858,45.9861,3306.7563997784,0
RFEU.US,D,20170112,000000,46.0104,46.0104,45.822,46.0017,2868.3141014186,0
RFEU.US,D,20170113,000000,46.1345,46.271,46.1345,46.271,1895.136102723,0
RFEU.US,D,20170117,000000,46.2448,46.2448,45.9773,45.9773,2447.2865672461,0
RFEU.US,D,20170118,000000,46.0905,46.1851,45.9899,46.0017,3708.320373977,0
