<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RING.US,D,20120207,000000,45.4683,45.609,45.2681,45.2681,555.9407407416,0
RING.US,D,20120208,000000,44.9985,45.1392,44.8379,44.8379,1336.88109162,0
RING.US,D,20120209,000000,45.2493,45.3226,44.9103,44.9103,1226.9037037056,0
RING.US,D,20120210,000000,44.6566,44.6566,44.0827,44.4405,1559.8627680336,0
RING.US,D,20120213,000000,44.3335,44.5129,44.2958,44.2958,2086.5434697888,0
RING.US,D,20120214,000000,43.9182,44.495,43.4524,43.49,668.9450292408,0
RING.US,D,20120215,000000,44.1709,44.1709,44.0272,44.0272,917.1508771944,0
RING.US,D,20120216,000000,44.605,44.7993,44.5129,44.5129,944.3929824576,0
RING.US,D,20120217,000000,44.4405,44.5475,44.0272,44.0272,2398.3142300232,0
RING.US,D,20120221,000000,44.3711,45.1769,44.3711,45.1769,279.4838206632,0
RING.US,D,20120222,000000,45.3404,45.4683,45.3404,45.4683,279.4838206632,0
RING.US,D,20120223,000000,46.3652,47.175,46.3652,46.6556,1836.319688112,0
RING.US,D,20120224,000000,46.2225,46.2949,45.6467,45.8241,1930.1536062408,0
RING.US,D,20120227,000000,45.8063,45.8063,45.4296,45.4296,834.4155945432,0
RING.US,D,20120228,000000,45.5902,46.508,45.5902,45.9668,497505.41598517,0
RING.US,D,20120229,000000,46.5258,46.5258,44.1898,44.1898,5563.4432748624,0
RING.US,D,20120301,000000,44.9985,45.1214,44.7993,44.7993,6119.384015604,0
RING.US,D,20120302,000000,44.6199,45.4296,43.938,44.2413,1003.922027292,0
RING.US,D,20120305,000000,44.388,44.388,43.1283,43.1283,766.814814816,0
RING.US,D,20120306,000000,41.9627,41.9627,41.4037,41.706,1234.9754385984,0
RING.US,D,20120307,000000,42.0172,42.1927,42.0172,42.1927,447.9812865504,0
RING.US,D,20120308,000000,42.7338,43.3642,42.5019,42.8428,1445.8495126728,0
RING.US,D,20120309,000000,42.8815,43.2195,42.7001,42.7001,1503.360623784,0
RING.US,D,20120312,000000,43.1114,43.1114,42.5019,42.5514,1141.1415204696,0
RING.US,D,20120313,000000,42.4484,42.5514,41.5851,41.5851,7810.4124756456,0
RING.US,D,20120314,000000,41.0816,41.6912,40.2223,40.2223,363.228070176,0
RING.US,D,20120315,000000,41.0628,41.0628,40.5415,40.5415,560.9855750496,0
RING.US,D,20120316,000000,40.6515,40.6515,40.6515,40.6515,69.6187134504,0
RING.US,D,20120319,000000,40.5226,40.707,40.2223,40.2382,1383.2935672536,0
RING.US,D,20120320,000000,39.3383,39.9488,39.0687,39.9488,935.3122807032,0
RING.US,D,20120321,000000,40.038,40.038,40.038,40.038,1168.3836257328,0
RING.US,D,20120322,000000,39.14,39.5722,39.1222,39.4086,751.680311892,0
RING.US,D,20120326,000000,40.3978,40.7952,40.3978,40.7952,584.1918128664,0
RING.US,D,20120327,000000,40.7238,40.8448,40.3809,40.3809,4063.1095516632,0
RING.US,D,20120328,000000,39.8259,39.8259,39.5355,39.6624,363.228070176,0
RING.US,D,20120329,000000,39.2491,39.2669,39.0865,39.2669,3418.3797271008,0
RING.US,D,20120330,000000,39.5523,39.5523,39.5523,39.5523,387.4432748544,0
RING.US,D,20120402,000000,40.0568,40.9716,39.9656,40.6713,2812.9996101408,0
RING.US,D,20120403,000000,39.6257,39.6257,39.14,39.14,555.9407407416,0
RING.US,D,20120404,000000,38.3303,38.3303,37.5771,37.5771,110.986354776,0
RING.US,D,20120405,000000,37.5771,37.8813,37.1836,37.5771,2710.0849902576,0
RING.US,D,20120409,000000,37.7376,37.9725,37.5572,37.6137,7273.6421052744,0
RING.US,D,20120410,000000,37.3085,37.9537,37.3085,37.9358,1776.7906432776,0
RING.US,D,20120411,000000,37.7019,37.7019,37.6137,37.6702,3012.7750487376,0
RING.US,D,20120412,000000,38.0072,38.8358,38.0072,38.8358,3395.173489284,0
RING.US,D,20120413,000000,38.4403,38.5642,38.3303,38.3303,887.890838208,0
RING.US,D,20120416,000000,38.3303,38.3303,37.7376,37.7376,1634.526315792,0
RING.US,D,20120417,000000,38.6207,38.6207,37.9874,37.9874,9686.08187136,0
RING.US,D,20120418,000000,37.8268,37.8268,37.6702,37.6702,555.9407407416,0
RING.US,D,20120419,000000,37.919,38.2411,37.6514,37.6702,976.6799220288,0
RING.US,D,20120420,000000,37.6702,37.6702,37.467,37.467,1113.8994152064,0
RING.US,D,20120423,000000,37.5771,37.5771,35.9417,36.6058,11433.612475651,0
RING.US,D,20120424,000000,36.7871,36.7871,36.1736,36.2846,4068.1543859712,0
RING.US,D,20120425,000000,37.0577,37.467,36.5532,37.467,6943.7099415312,0
RING.US,D,20120426,000000,37.4343,37.4522,37.2371,37.2718,2783.7395711544,0
RING.US,D,20120427,000000,37.7921,38.1687,37.2896,37.7753,2646.5200779768,0
RING.US,D,20120430,000000,37.7753,37.7753,37.2004,37.5572,13397.061988325,0
RING.US,D,20120501,000000,37.5572,37.6831,37.362,37.6702,3304.36647174,0
RING.US,D,20120502,000000,36.6603,37.0577,36.6603,36.9824,6799.4276803224,0
RING.US,D,20120503,000000,36.248,36.248,35.1508,35.4026,26448.048343121,0
RING.US,D,20120504,000000,35.7594,35.8149,35.3629,35.3629,1797.9789473712,0
RING.US,D,20120507,000000,35.3629,35.3629,35.2212,35.3461,983.74269006,0
RING.US,D,20120508,000000,35.3461,35.3461,33.4074,33.4966,6412.9933723296,0
RING.US,D,20120509,000000,33.6057,34.3817,33.6057,33.7851,2315.578947372,0
RING.US,D,20120510,000000,34.0893,34.0893,34.0893,34.0893,135.2015594544,0
RING.US,D,20120511,000000,34.2548,34.4144,33.7514,33.7514,9638.6604288648,0
RING.US,D,20120514,000000,33.7514,33.7514,32.7236,32.7236,3738.222222228,0
RING.US,D,20120515,000000,32.7057,32.7057,31.9346,31.9346,3617.146198836,0
RING.US,D,20120516,000000,32.0932,33.5353,31.45,31.8613,55812.010916266,0
RING.US,D,20120517,000000,32.3469,33.4778,32.3113,33.1924,213232.02962996,0
RING.US,D,20120518,000000,34.0893,34.2162,33.459,33.459,2877.5734892832,0
RING.US,D,20120521,000000,33.9654,34.3976,33.6245,34.128,17519.700584822,0
