<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNEM.US,D,20170623,000000,42.1562,42.1562,42.1562,42.1562,164.70584029322,0
RNEM.US,D,20170629,000000,42.3824,42.3824,42.3824,42.3824,6027.20434323,0
RNEM.US,D,20170707,000000,42.3572,42.3572,42.3572,42.3572,117.35291120892,0
RNEM.US,D,20170710,000000,42.6195,42.6195,42.6195,42.6195,1025.2938558253,0
RNEM.US,D,20170727,000000,44.6692,44.6692,44.3311,44.3311,344.85285311393,0
RNEM.US,D,20170728,000000,44.4137,44.4137,44.4137,44.4137,471.47046783934,0
RNEM.US,D,20170731,000000,44.4672,44.4672,44.4672,44.4672,236.7646454215,0
RNEM.US,D,20170801,000000,44.6925,44.6925,44.677,44.6857,1654.264283445,0
RNEM.US,D,20170802,000000,44.746,44.746,44.746,44.746,471.47046783934,0
RNEM.US,D,20170804,000000,44.746,44.746,44.746,44.746,355.14696813225,0
RNEM.US,D,20170807,000000,44.8373,44.8373,44.7751,44.7751,826.61743597159,0
RNEM.US,D,20170808,000000,45.0169,45.0169,45.0169,45.0169,708.23511326084,0
RNEM.US,D,20170811,000000,43.8289,43.8648,43.8289,43.8648,355.14696813225,0
RNEM.US,D,20170814,000000,44.1515,44.1515,44.1515,44.1515,471.47046783934,0
RNEM.US,D,20170815,000000,44.0592,44.0592,44.0592,44.0592,117.35291120892,0
RNEM.US,D,20170816,000000,44.5001,44.5001,44.5001,44.5001,176.02936681338,0
RNEM.US,D,20170818,000000,44.4904,44.4904,44.4904,44.4904,194.55877384637,0
RNEM.US,D,20170823,000000,44.746,44.7702,44.7363,44.7702,1520.4407882068,0
RNEM.US,D,20170830,000000,45.2695,45.3551,45.2657,45.289,2088.6759372184,0
RNEM.US,D,20170908,000000,45.7766,45.7766,45.7717,45.7717,565.14691450611,0
RNEM.US,D,20170911,000000,46.1302,46.1302,46.1244,46.1244,344.85285311393,0
RNEM.US,D,20170914,000000,45.8291,45.8291,45.8116,45.8116,577.4998525281,0
RNEM.US,D,20170918,000000,46.0458,46.0458,46.0458,46.0458,249.11758344349,0
RNEM.US,D,20170919,000000,45.9379,45.9379,45.9369,45.9369,2830.8816300397,0
RNEM.US,D,20170920,000000,45.9729,45.9729,45.9729,45.9729,737.05863531216,0
RNEM.US,D,20170921,000000,46.0622,46.0622,46.0622,46.0622,115.29408820525,0
RNEM.US,D,20170922,000000,45.5416,45.5416,45.5319,45.5319,933.67623216219,0
RNEM.US,D,20170925,000000,45.1734,45.1734,45.1734,45.1734,234.70582241784,0
RNEM.US,D,20170926,000000,44.8674,44.8674,44.8033,44.8033,436.47047677703,0
RNEM.US,D,20170927,000000,44.5672,44.5672,44.4798,44.4885,1346.4702443971,0
RNEM.US,D,20170928,000000,44.4458,44.4458,44.4458,44.4458,352.05873362676,0
RNEM.US,D,20170929,000000,44.7207,45.0471,44.7207,45.0374,1741.7642611008,0
RNEM.US,D,20171002,000000,44.9937,44.9937,44.9771,44.9771,339.70579560476,0
RNEM.US,D,20171003,000000,45.0277,45.0277,45.0277,45.0277,234.70582241784,0
RNEM.US,D,20171004,000000,45.5065,45.5065,45.5065,45.5065,174.99995531155,0
RNEM.US,D,20171005,000000,45.696,45.696,45.696,45.696,121.47055721625,0
RNEM.US,D,20171006,000000,45.3016,45.3968,45.3016,45.3968,929.55858615486,0
RNEM.US,D,20171010,000000,45.626,45.626,45.626,45.626,115.29408820525,0
RNEM.US,D,20171013,000000,46.2333,46.4216,46.2333,46.4216,649.55865765638,0
RNEM.US,D,20171016,000000,46.3654,46.3654,46.3654,46.3654,115.29408820525,0
RNEM.US,D,20171019,000000,45.866,45.866,45.8068,45.8573,797.79391392028,0
RNEM.US,D,20171024,000000,45.4813,45.4813,45.4639,45.4639,331.4705035901,0
RNEM.US,D,20171025,000000,45.0209,45.0209,45.0209,45.0209,305.73521604429,0
RNEM.US,D,20171027,000000,45.3959,45.3959,45.3959,45.3959,195.5881853482,0
RNEM.US,D,20171030,000000,45.1482,45.1482,45.1482,45.1482,352.05873362676,0
RNEM.US,D,20171102,000000,45.3852,45.3871,45.3852,45.3871,484.85281736316,0
RNEM.US,D,20171103,000000,45.1646,45.1646,45.1646,45.1646,163.67642879139,0
RNEM.US,D,20171107,000000,45.1307,45.1307,45.1307,45.1307,0,0
RNEM.US,D,20171108,000000,45.3783,45.3783,45.3783,45.3783,234.70582241784,0
RNEM.US,D,20171109,000000,45.1918,45.1918,45.1734,45.1734,2964.7051252779,0
RNEM.US,D,20171114,000000,44.5827,44.5827,44.4808,44.5255,2887.4992626405,0
RNEM.US,D,20171115,000000,44.098,44.2757,44.098,44.2757,7308.8216630116,0
RNEM.US,D,20171116,000000,44.7284,44.9771,44.7284,44.9771,2024.8524241048,0
RNEM.US,D,20171117,000000,45.2151,45.4046,45.2113,45.4046,722.6468742865,0
RNEM.US,D,20171120,000000,45.1646,45.4386,45.1646,45.3871,2253.3817775116,0
RNEM.US,D,20171121,000000,45.8495,45.8835,45.8068,45.8068,583.6763215391,0
RNEM.US,D,20171122,000000,46.0467,46.0467,46.0467,46.0467,353.08814512859,0
RNEM.US,D,20171124,000000,46.1807,46.1807,46.1807,46.1807,234.70582241784,0
RNEM.US,D,20171127,000000,45.7883,45.7883,45.7883,45.7883,235.73523391967,0
RNEM.US,D,20171128,000000,46.2148,46.2477,46.1138,46.1138,1317.6467223458,0
RNEM.US,D,20171129,000000,46.0302,46.0302,45.5834,45.7796,10374.409115469,0
RNEM.US,D,20171130,000000,45.4978,45.4978,45.2297,45.3036,929.55858615486,0
RNEM.US,D,20171204,000000,45.3696,45.4133,45.3366,45.3366,885.29389157605,0
RNEM.US,D,20171205,000000,45.5931,45.6358,45.4464,45.4464,1589.4113588296,0
RNEM.US,D,20171206,000000,45.1918,45.1918,44.9937,44.9937,583.6763215391,0
RNEM.US,D,20171207,000000,44.8576,44.8576,44.8576,44.8576,115.29408820525,0
RNEM.US,D,20171212,000000,45.1384,45.2589,45.0209,45.2589,837.94096249175,0
RNEM.US,D,20171214,000000,45.7475,45.7475,45.7388,45.7388,673.23512219853,0
RNEM.US,D,20171215,000000,45.866,45.866,45.866,45.866,176.02936681338,0
RNEM.US,D,20171218,000000,46.1807,46.1895,46.138,46.1545,1490.5878546536,0
RNEM.US,D,20171220,000000,46.1876,46.2148,46.1876,46.1895,902.79388710721,0
RNEM.US,D,20171221,000000,46.4236,46.4236,46.4236,46.4236,364.41167164875,0
RNEM.US,D,20171229,000000,47.2027,47.2027,47.2027,47.2027,117.35291120892,0
RNEM.US,D,20180104,000000,48.146,48.146,47.8613,48.0673,23621.905732553,0
RNEM.US,D,20180105,000000,48.2412,48.4141,48.1858,48.4141,9551.9093255049,0
RNEM.US,D,20180108,000000,48.3033,48.4743,48.3033,48.4228,3335.2932659377,0
RNEM.US,D,20180109,000000,48.314,48.3645,48.2528,48.2868,1691.323097511,0
RNEM.US,D,20180110,000000,48.1654,48.2771,48.1129,48.1654,2306.9111756069,0
RNEM.US,D,20180111,000000,48.2333,48.2946,48.2333,48.2946,2735.1463603693,0
RNEM.US,D,20180112,000000,48.484,48.6754,48.484,48.6754,2158.675919343,0
RNEM.US,D,20180116,000000,49.1261,49.1261,48.7463,48.8308,3355.8814959743,0
RNEM.US,D,20180117,000000,49.3943,49.3943,49.3583,49.3583,1049.9997318693,0
RNEM.US,D,20180118,000000,50.114,50.114,49.7731,49.7731,1638.8231109175,0
RNEM.US,D,20180119,000000,50.0082,50.0704,50.0082,50.0616,1336.1761293787,0
RNEM.US,D,20180122,000000,50.285,50.285,50.285,50.285,153.38231377306,0
RNEM.US,D,20180124,000000,51.1798,51.2914,51.1798,51.2914,989.26445326115,0
RNEM.US,D,20180125,000000,51.1827,51.1827,51.1827,51.1827,1066.4703158986,0
RNEM.US,D,20180129,000000,51.205,51.205,51.0321,51.0321,876.02918805956,0
RNEM.US,D,20180130,000000,50.4259,50.4259,50.4017,50.4017,1557.4996022728,0
RNEM.US,D,20180131,000000,50.7698,50.8397,50.7698,50.796,1309.4114303311,0
RNEM.US,D,20180201,000000,50.6231,50.6231,50.593,50.593,289.26463201497,0
RNEM.US,D,20180202,000000,49.9062,49.9062,49.9062,49.9062,254.26464095266,0
RNEM.US,D,20180205,000000,49.3505,49.3671,49.1699,49.1699,1521.4701997086,0
RNEM.US,D,20180206,000000,48.3218,48.8921,48.3218,48.8921,2378.9699807352,0
RNEM.US,D,20180209,000000,45.8864,46.6558,45.8864,46.6558,1688.2348630055,0
RNEM.US,D,20180212,000000,47.6,47.634,47.6,47.634,587.79396754643,0
RNEM.US,D,20180213,000000,47.7311,47.7311,47.7311,47.7311,463.23517582468,0
RNEM.US,D,20180214,000000,47.8866,47.8866,47.8866,47.8866,1907.4995128958,0
RNEM.US,D,20180215,000000,48.8483,48.8483,48.7454,48.7628,5366.3221590534,0
RNEM.US,D,20180216,000000,48.9872,48.9872,48.9872,48.9872,411.76460073305,0
RNEM.US,D,20180220,000000,48.1887,48.3218,48.1556,48.2858,986.17621875565,0
RNEM.US,D,20180221,000000,48.9619,48.9619,48.9619,48.9619,272.79404798564,0
RNEM.US,D,20180226,000000,49.2719,49.3078,49.2719,49.3078,1091.1761919426,0
RNEM.US,D,20180227,000000,49.2981,49.2981,48.5685,48.5685,576.47044102627,0
RNEM.US,D,20180301,000000,48.009,48.0964,47.7574,47.7574,1743.8230841045,0
RNEM.US,D,20180302,000000,47.3416,47.3416,47.3416,47.3416,1157.0585280599,0
RNEM.US,D,20180305,000000,47.7049,48.2159,47.7049,48.2159,5606.1750389804,0
RNEM.US,D,20180306,000000,48.1178,48.3043,48.1178,48.3043,540.44103846213,0
RNEM.US,D,20180308,000000,48.1382,48.1382,48.1382,48.1382,171.91172080605,0
RNEM.US,D,20180309,000000,48.7706,48.8483,48.6492,48.6492,1218.8232181698,0
RNEM.US,D,20180312,000000,48.8357,48.8357,48.8357,48.8357,283.08816300397,0
RNEM.US,D,20180313,000000,48.8095,48.8095,48.8095,48.8095,201.76465435919,0
RNEM.US,D,20180314,000000,48.3082,48.3082,48.3082,48.3082,152.35290227123,0
RNEM.US,D,20180321,000000,48.0867,48.0867,48.0867,48.0867,255.29405245449,0
RNEM.US,D,20180326,000000,47.7681,47.7681,47.7681,47.7681,356.17637963409,0
RNEM.US,D,20180403,000000,47.9011,47.9011,47.9011,47.9011,483.82340586133,0
RNEM.US,D,20180404,000000,47.3882,47.3882,47.3882,47.3882,166.76466329688,0
RNEM.US,D,20180410,000000,47.7642,47.8342,47.7642,47.8342,528.08810044013,0
RNEM.US,D,20180411,000000,48.0168,48.0168,48.0168,48.0168,227.49994190501,0
RNEM.US,D,20180413,000000,47.668,47.7564,47.668,47.7564,310.88227355345,0
RNEM.US,D,20180416,000000,47.7457,47.7457,47.738,47.738,293.3822780223,0
RNEM.US,D,20180417,000000,47.9779,47.9779,47.7564,47.7564,693.82335223519,0
RNEM.US,D,20180418,000000,47.8711,48.1527,47.8711,47.9915,1933.2348004417,0
RNEM.US,D,20180420,000000,47.3552,47.3552,47.3552,47.3552,138.9705527474,0
RNEM.US,D,20180423,000000,47.1084,47.1084,47.0317,47.0317,1749.9995531155,0
RNEM.US,D,20180424,000000,46.9832,47.1473,46.715,46.715,1360.8820054227,0
RNEM.US,D,20180425,000000,46.3847,46.3847,46.3255,46.3255,446.76459179536,0
RNEM.US,D,20180427,000000,46.8714,47.123,46.8714,47.123,597.05867106292,0
RNEM.US,D,20180430,000000,47.6165,47.6165,47.6165,47.6165,496.17634388332,0
RNEM.US,D,20180501,000000,46.5596,46.5596,46.5596,46.5596,134.85290674007,0
RNEM.US,D,20180504,000000,46.2692,46.2692,46.2692,46.2692,203.82347736286,0
RNEM.US,D,20180507,000000,45.9184,45.9184,45.9184,45.9184,335.58814959743,0
RNEM.US,D,20180508,000000,45.7621,45.7621,45.7621,45.7621,171.91172080605,0
RNEM.US,D,20180509,000000,45.8922,45.8922,45.8543,45.8573,915.1468251292,0
RNEM.US,D,20180514,000000,46.6373,46.6373,46.6373,46.6373,300.58815853512,0
RNEM.US,D,20180515,000000,45.9525,45.9525,45.9078,45.9078,978.97033824282,0
RNEM.US,D,20180516,000000,46.4809,46.4809,46.3944,46.3944,231.61758791234,0
RNEM.US,D,20180517,000000,46.2556,46.2556,46.2556,46.2556,219.26464989035,0
RNEM.US,D,20180522,000000,46.3012,46.3012,45.9184,45.9184,913.08800212553,0
RNEM.US,D,20180524,000000,45.425,45.6154,45.425,45.6154,652.64689216188,0
RNEM.US,D,20180525,000000,45.5794,45.866,45.5726,45.866,978.97033824282,0
RNEM.US,D,20180530,000000,45.3813,45.3813,45.3813,45.3813,312.94109655712,0
RNEM.US,D,20180531,000000,45.46,45.46,45.46,45.46,235.73523391967,0
RNEM.US,D,20180604,000000,45.9748,46.0233,45.9748,46.0233,435.4410652752,0
RNEM.US,D,20180605,000000,45.6844,45.6844,45.6154,45.6154,1893.0877518702,0
RNEM.US,D,20180607,000000,45.3988,45.3988,45.3988,45.3988,231.61758791234,0
RNEM.US,D,20180608,000000,45.5192,45.5192,45.5192,45.5192,231.61758791234,0
RNEM.US,D,20180611,000000,45.6232,45.6232,45.2521,45.3123,761.76451135614,0
RNEM.US,D,20180612,000000,45.2307,45.2307,45.2307,45.2307,393.23519370006,0
RNEM.US,D,20180613,000000,44.9063,44.9995,44.9063,44.9995,533.2351579493,0
RNEM.US,D,20180614,000000,44.9305,44.9305,44.4983,44.6624,1032.4997363381,0
RNEM.US,D,20180615,000000,44.3078,44.5837,44.0922,44.5837,1876.6171678409,0
RNEM.US,D,20180619,000000,43.9164,43.9251,43.9164,43.9251,348.97049912126,0
RNEM.US,D,20180620,000000,44.0485,44.098,43.9999,44.098,1401.0290539942,0
RNEM.US,D,20180621,000000,43.8969,43.8969,43.5317,43.5317,636.17630813256,0
RNEM.US,D,20180622,000000,43.861,44.0359,43.6638,44.0359,17454.701425073,0
RNEM.US,D,20180627,000000,43.2529,43.2529,42.6963,42.6963,397.35283970739,0
RNEM.US,D,20180628,000000,42.6428,43.008,42.6428,43.008,31884.991857764,0
RNEM.US,D,20180629,000000,43.2956,43.2956,42.9644,42.9644,48492.487616829,0
RNEM.US,D,20180702,000000,42.6671,42.9041,42.6671,42.703,54407.48610636,0
RNEM.US,D,20180703,000000,42.9303,42.9576,42.9303,42.9556,7211.0275703375,0
RNEM.US,D,20180705,000000,43.0256,43.149,42.9915,43.1315,1588.3819473277,0
RNEM.US,D,20180706,000000,43.1577,43.4006,43.1577,43.4006,931.61740915852,0
RNEM.US,D,20180709,000000,43.7153,44.2729,43.7153,44.2729,7895.5862190562,0
RNEM.US,D,20180710,000000,44.5691,44.5691,44.1408,44.1495,1344.4114213934,0
RNEM.US,D,20180711,000000,43.5317,43.5317,43.5317,43.5317,386.02931318723,0
RNEM.US,D,20180712,000000,43.892,43.892,43.892,43.892,850.29390051374,0
RNEM.US,D,20180713,000000,44.0533,44.0533,44.0533,44.0533,354.11755663042,0
RNEM.US,D,20180716,000000,43.9669,43.9834,43.8007,43.8007,1408.234934507,0
RNEM.US,D,20180717,000000,43.9222,44.3399,43.9222,44.3399,1446.3231600748,0
RNEM.US,D,20180718,000000,44.3583,44.3583,44.3078,44.3078,786.47038740012,0
RNEM.US,D,20180719,000000,43.5491,43.5491,43.4792,43.4792,499.26457838882,0
RNEM.US,D,20180720,000000,43.9056,44.2729,43.9056,44.0883,1412.3525805144,0
RNEM.US,D,20180723,000000,44.2359,44.2359,44.0883,44.0883,968.6762232245,0
RNEM.US,D,20180724,000000,44.7333,44.7333,41.1614,44.6566,1601.7642968516,0
RNEM.US,D,20180725,000000,45.049,45.049,44.9335,44.9335,481.76458285767,0
RNEM.US,D,20180726,000000,44.8373,44.8373,44.8373,44.8373,263.52934446915,0
RNEM.US,D,20180727,000000,45.4221,45.4745,45.0636,45.0636,1093.2350149462,0
