<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNRG.US,D,20150529,000000,11.9389,11.9458,11.8713,11.9299,17674.542657453,0
RNRG.US,D,20150601,000000,11.9299,11.9548,11.8464,11.9299,13544.713286798,0
RNRG.US,D,20150602,000000,11.9389,11.9756,11.8633,11.9548,28852.453147034,0
RNRG.US,D,20150603,000000,11.9548,11.9548,11.8633,11.8713,12645.086713366,0
RNRG.US,D,20150604,000000,11.8633,11.8633,11.6517,11.6517,11350.993007064,0
RNRG.US,D,20150605,000000,11.5811,11.6517,11.5652,11.6099,6058.8944056323,0
RNRG.US,D,20150608,000000,11.5881,11.595,11.4807,11.5573,6058.8944056323,0
RNRG.US,D,20150609,000000,11.5384,11.5384,11.4579,11.4728,10246.082517547,0
RNRG.US,D,20150610,000000,11.5732,11.6606,11.5732,11.6099,1990.4489510614,0
RNRG.US,D,20150611,000000,11.6189,11.6348,11.5503,11.6288,5954.2398601771,0
RNRG.US,D,20150612,000000,11.5573,11.5573,11.5036,11.5125,6319.524475564,0
RNRG.US,D,20150615,000000,11.4877,11.5652,11.4877,11.5652,4385.4279720554,0
RNRG.US,D,20150616,000000,11.5811,11.6358,11.5811,11.6358,4000.0174825425,0
RNRG.US,D,20150617,000000,11.6666,11.6815,11.6189,11.6517,3351.9643356853,0
RNRG.US,D,20150618,000000,11.8365,11.8633,11.7918,11.8136,7226.1951049403,0
RNRG.US,D,20150619,000000,11.758,11.758,11.7043,11.7341,898.6202797259,0
RNRG.US,D,20150622,000000,11.7212,11.7341,11.7212,11.7341,386.4167832192,0
RNRG.US,D,20150623,000000,11.6815,11.6815,11.6735,11.6815,2048.8139860268,0
RNRG.US,D,20150624,000000,11.7133,11.7212,11.6735,11.7212,4643.0391608682,0
RNRG.US,D,20150625,000000,11.7491,11.7669,11.6954,11.7133,7999.0286713787,0
RNRG.US,D,20150626,000000,11.7341,11.7341,11.6288,11.6288,13156.283916166,0
RNRG.US,D,20150629,000000,11.5732,11.5732,11.3595,11.3804,20510.278321807,0
RNRG.US,D,20150630,000000,11.3158,11.3158,11.3158,11.3158,605.7888111926,0
RNRG.US,D,20150701,000000,11.2621,11.287,11.1618,11.1618,9161.2979021552,0
RNRG.US,D,20150702,000000,11.1538,11.1538,11.1011,11.1538,4514.2335664618,0
RNRG.US,D,20150706,000000,11.0932,11.1449,11.0773,11.1081,8776.8937063486,0
RNRG.US,D,20150707,000000,11.0932,11.2949,11.0773,11.2949,4000.0174825425,0
RNRG.US,D,20150708,000000,11.2273,11.2273,11.1538,11.1538,1417.8678321767,0
RNRG.US,D,20150709,000000,11.2104,11.2104,11.0773,11.0773,4643.0391608682,0
RNRG.US,D,20150710,000000,11.1697,11.1767,11.1449,11.1449,1417.8678321767,0
RNRG.US,D,20150713,000000,11.2104,11.2104,11.1319,11.1836,3098.3783216977,0
RNRG.US,D,20150714,000000,11.1618,11.1926,11.1618,11.1926,6211.8510489899,0
RNRG.US,D,20150715,000000,11.1926,11.1926,11.0524,11.0773,5180.4000000324,0
RNRG.US,D,20150716,000000,11.0614,11.0614,11.0614,11.0614,124.7804195812,0
RNRG.US,D,20150717,000000,11.0167,11.0167,10.9382,10.9382,1547.6797202894,0
RNRG.US,D,20150720,000000,11.0296,11.0296,10.7722,10.7722,4000.0174825425,0
RNRG.US,D,20150721,000000,10.7146,10.7146,10.6112,10.6112,4899.6440559747,0
RNRG.US,D,20150722,000000,10.6043,10.6043,10.487,10.4969,4385.4279720554,0
RNRG.US,D,20150723,000000,10.4333,10.4333,10.333,10.3409,9289.0972028553,0
RNRG.US,D,20150724,000000,10.2962,10.2962,10.2246,10.2246,6580.1545454957,0
RNRG.US,D,20150727,000000,10.3409,10.3409,10.3409,10.3409,772.8335664384,0
RNRG.US,D,20150728,000000,10.333,10.3409,10.2773,10.3041,2190.7013986151,0
RNRG.US,D,20150729,000000,10.333,10.3409,10.2962,10.326,1547.6797202894,0
RNRG.US,D,20150730,000000,10.3101,10.3171,10.3101,10.3171,516.2286713319,0
RNRG.US,D,20150731,000000,10.4005,10.4005,10.3817,10.3817,1032.4573426638,0
RNRG.US,D,20150803,000000,10.2873,10.2873,10.0001,10.0001,8716.5160839706,0
RNRG.US,D,20150804,000000,9.97522,9.97522,9.97522,9.97522,1547.6797202894,0
RNRG.US,D,20150805,000000,10.008,10.0239,10.008,10.008,4000.0174825425,0
RNRG.US,D,20150806,000000,9.99112,9.99112,9.58766,9.5966,2337.6202797349,0
