<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNSC.US,D,20170622,000000,18.0135,18.0135,18.0135,18.0135,139.46672357119,0
RNSC.US,D,20170623,000000,18.0224,18.0224,18.0224,18.0224,192.0194020183,0
RNSC.US,D,20170626,000000,18.0977,18.2055,18.0977,18.2055,218.29574124186,0
RNSC.US,D,20170627,000000,18.2135,18.2135,18.2135,18.2135,165.74306279475,0
RNSC.US,D,20170629,000000,18.3054,18.3054,18.3054,18.3054,622.54711391197,0
RNSC.US,D,20170705,000000,18.3233,18.3421,18.3233,18.3233,298.13538734421,0
RNSC.US,D,20170710,000000,18.1986,18.1986,18.1986,18.1986,110.15849905261,0
RNSC.US,D,20170711,000000,18.161,18.161,18.161,18.161,110.15849905261,0
RNSC.US,D,20170801,000000,18.3886,18.3886,18.3886,18.3886,1367.3802680567,0
RNSC.US,D,20170807,000000,18.1343,18.1343,18.1115,18.1115,295.10350204918,0
RNSC.US,D,20170808,000000,18.2055,18.2055,18.2055,18.2055,1033.8728856038,0
RNSC.US,D,20170811,000000,17.6405,17.6405,17.6187,17.6187,691.26984726589,0
RNSC.US,D,20170816,000000,17.8126,17.8126,17.8126,17.8126,383.02817560493,0
RNSC.US,D,20170818,000000,17.3823,17.3823,17.3823,17.3823,347.6561804963,0
RNSC.US,D,20170823,000000,17.4218,17.4308,17.4139,17.4268,5191.5982535159,0
RNSC.US,D,20170824,000000,17.4852,17.5386,17.4782,17.5386,3722.1445138601,0
RNSC.US,D,20170825,000000,17.5614,17.5614,17.5614,17.5614,260.74213537222,0
RNSC.US,D,20170830,000000,17.5762,17.6692,17.5762,17.6692,7895.0293082473,0
RNSC.US,D,20170831,000000,17.8305,17.8305,17.8107,17.8107,238.50830987537,0
RNSC.US,D,20170905,000000,17.7385,17.7385,17.7217,17.7217,661.96162274731,0
RNSC.US,D,20170906,000000,17.8591,17.8681,17.8553,17.8661,583.13260507664,0
RNSC.US,D,20170908,000000,17.7751,17.7751,17.7246,17.7425,2648.8571194209,0
RNSC.US,D,20170911,000000,17.9859,17.9888,17.969,17.9859,2072.798913366,0
RNSC.US,D,20170913,000000,18.2055,18.2055,18.2055,18.2055,163.7218059314,0
RNSC.US,D,20170914,000000,18.1887,18.1887,18.1837,18.1837,999.51151892685,0
RNSC.US,D,20170915,000000,18.1986,18.2808,18.1986,18.2808,1415.8904327771,0
RNSC.US,D,20170918,000000,18.3609,18.3896,18.3461,18.3619,5286.5973260934,0
RNSC.US,D,20170919,000000,18.3886,18.3935,18.3698,18.3698,9518.0985695178,0
RNSC.US,D,20170920,000000,18.4262,18.4361,18.4074,18.4361,2562.9537027285,0
RNSC.US,D,20170921,000000,18.4667,18.4667,18.4667,18.4667,133.40295298114,0
RNSC.US,D,20170925,000000,18.532,18.6538,18.532,18.6518,3002.5770705073,0
RNSC.US,D,20170926,000000,18.7359,18.7913,18.7359,18.7913,4093.0451482849,0
RNSC.US,D,20170927,000000,18.9535,19.0663,18.9516,19.0663,3265.3404627428,0
RNSC.US,D,20170928,000000,19.0634,19.0634,19.0634,19.0634,544.72872467298,0
RNSC.US,D,20170929,000000,19.1841,19.2128,19.1643,19.2029,6494.2983019454,0
RNSC.US,D,20171002,000000,19.2949,19.2949,19.2831,19.2831,500.26107367926,0
RNSC.US,D,20171003,000000,19.3939,19.3939,19.3939,19.3939,1527.0595602614,0
RNSC.US,D,20171004,000000,19.477,19.5067,19.3761,19.4216,1299.6681631344,0
RNSC.US,D,20171006,000000,19.3761,19.384,19.3761,19.384,1094.5105915043,0
RNSC.US,D,20171009,000000,19.3029,19.3029,19.2851,19.2851,363.8262354031,0
RNSC.US,D,20171011,000000,19.4018,19.4018,19.4018,19.4018,363.8262354031,0
RNSC.US,D,20171013,000000,19.4117,19.4117,19.3414,19.3592,3792.8885040773,0
RNSC.US,D,20171016,000000,19.3019,19.3019,19.3019,19.3019,193.03003044998,0
RNSC.US,D,20171017,000000,19.3761,19.3761,19.2573,19.2573,273.880304984,0
RNSC.US,D,20171018,000000,19.3998,19.3998,19.3998,19.3998,137.44546670784,0
RNSC.US,D,20171019,000000,19.3117,19.3404,19.3009,19.3316,2897.471713613,0
RNSC.US,D,20171020,000000,19.4493,19.4493,19.4354,19.4354,496.21855995256,0
RNSC.US,D,20171023,000000,19.3592,19.3592,19.3592,19.3592,341.59240990625,0
RNSC.US,D,20171024,000000,19.3504,19.3592,19.3404,19.3404,1977.7998407885,0
RNSC.US,D,20171025,000000,19.1564,19.3098,19.1564,19.3098,1326.9551307896,0
RNSC.US,D,20171026,000000,19.3672,19.3672,19.3404,19.3404,382.01754717326,0
RNSC.US,D,20171030,000000,19.2484,19.2484,19.0407,19.1098,1845.4075162391,0
RNSC.US,D,20171031,000000,19.2573,19.2672,19.2573,19.2672,964.13952381822,0
RNSC.US,D,20171101,000000,19.4117,19.4117,19.101,19.101,937.86318459466,0
RNSC.US,D,20171102,000000,19.2366,19.2395,19.2366,19.2395,2774.1750449486,0
RNSC.US,D,20171103,000000,19.2029,19.2029,19.193,19.2029,1460.3580837708,0
RNSC.US,D,20171106,000000,19.1396,19.2029,19.1396,19.2029,1194.5628062402,0
RNSC.US,D,20171107,000000,18.9912,18.9912,18.9912,18.9912,281.9653324374,0
RNSC.US,D,20171109,000000,18.9447,18.9447,18.8982,18.8982,9384.6956165367,0
RNSC.US,D,20171110,000000,18.9347,18.9347,18.9317,18.9347,780.20514925332,0
RNSC.US,D,20171114,000000,18.8368,18.8378,18.8189,18.8189,3618.0497853975,0
RNSC.US,D,20171115,000000,18.8189,18.8189,18.7329,18.7556,4510.4346905668,0
RNSC.US,D,20171116,000000,19.0387,19.1386,19.0377,19.1297,2505.347882123,0
RNSC.US,D,20171117,000000,19.0733,19.1841,19.0733,19.1841,2692.314141983,0
RNSC.US,D,20171120,000000,19.1841,19.2672,19.1841,19.2652,4951.0686867772,0
RNSC.US,D,20171121,000000,19.4404,19.4404,19.4404,19.4404,332.49675402117,0
RNSC.US,D,20171122,000000,19.5017,19.5017,19.467,19.477,1176.37149447,0
RNSC.US,D,20171127,000000,19.4167,19.4167,19.4167,19.4167,133.40295298114,0
RNSC.US,D,20171128,000000,19.5235,19.5235,19.4968,19.5146,1253.1792552773,0
RNSC.US,D,20171129,000000,19.941,19.9618,19.9252,19.9618,11881.958471206,0
RNSC.US,D,20171130,000000,19.9925,19.9985,19.9114,19.9272,3210.7665274324,0
RNSC.US,D,20171201,000000,19.6343,19.6343,19.6343,19.6343,1813.0674064255,0
RNSC.US,D,20171204,000000,19.9618,19.9618,19.9064,19.9272,4764.1024269173,0
RNSC.US,D,20171205,000000,19.853,19.853,19.7174,19.7174,1441.156143569,0
RNSC.US,D,20171206,000000,19.6699,19.6699,19.6175,19.6175,534.62244035622,0
RNSC.US,D,20171207,000000,19.6126,19.6413,19.6126,19.6215,1633.1755455873,0
RNSC.US,D,20171208,000000,19.6175,19.6175,19.6175,19.6175,335.52863931619,0
RNSC.US,D,20171211,000000,19.5799,19.5799,19.5799,19.5799,1309.7744474512,0
RNSC.US,D,20171212,000000,19.6413,19.6413,19.5799,19.5799,834.77908456378,0
RNSC.US,D,20171214,000000,19.6511,19.6511,19.4869,19.4869,4466.9776680047,0
RNSC.US,D,20171215,000000,19.5512,19.7144,19.5512,19.7144,1146.0526415198,0
RNSC.US,D,20171218,000000,19.939,19.939,19.8579,19.8985,3858.5793521362,0
RNSC.US,D,20171219,000000,19.9094,19.9094,19.8817,19.8817,2363.8599016885,0
RNSC.US,D,20171220,000000,19.8629,19.8817,19.8164,19.853,6315.4170695388,0
RNSC.US,D,20171221,000000,19.9717,19.9717,19.9668,19.9668,1051.0535689423,0
RNSC.US,D,20171222,000000,19.8718,19.8896,19.8698,19.8718,888.34239144257,0
RNSC.US,D,20171226,000000,19.85,19.85,19.85,19.85,342.60303833792,0
RNSC.US,D,20171227,000000,19.9183,19.9183,19.8877,19.8877,1212.7541180103,0
RNSC.US,D,20171229,000000,19.8896,19.8896,19.8867,19.8867,1025.7878581504,0
RNSC.US,D,20180103,000000,19.9717,19.9717,19.8619,19.9084,1226.9029160538,0
RNSC.US,D,20180104,000000,19.9618,19.9618,19.9183,19.9272,18067.004473059,0
RNSC.US,D,20180105,000000,19.954,20.0668,19.954,19.9717,35734.810715607,0
RNSC.US,D,20180108,000000,20.0033,20.0033,20.0033,20.0033,148.56237945627,0
RNSC.US,D,20180109,000000,20.1854,20.1854,20.1459,20.1459,2060.6713721859,0
RNSC.US,D,20180110,000000,20.037,20.1301,20.037,20.1033,17436.372331693,0
RNSC.US,D,20180111,000000,20.2132,20.421,20.2112,20.421,4193.0973630207,0
RNSC.US,D,20180112,000000,20.507,20.6011,20.4725,20.4725,3715.0701148383,0
RNSC.US,D,20180116,000000,20.7019,20.7119,20.3695,20.422,3085.4486019046,0
RNSC.US,D,20180117,000000,20.3982,20.5258,20.3982,20.425,1625.0905181339,0
RNSC.US,D,20180118,000000,20.2982,20.326,20.2972,20.3072,3281.5105176496,0
RNSC.US,D,20180119,000000,20.4061,20.4635,20.4061,20.4536,1163.2333248582,0
RNSC.US,D,20180122,000000,20.4902,20.4902,20.4536,20.4725,797.3858325918,0
RNSC.US,D,20180123,000000,20.5258,20.5783,20.516,20.5783,5546.3288330339,0
RNSC.US,D,20180124,000000,20.7307,20.7307,20.4437,20.4635,9349.323621428,0
RNSC.US,D,20180125,000000,20.5258,20.5258,20.3794,20.4437,2959.1200479452,0
RNSC.US,D,20180129,000000,20.5436,20.5436,20.4991,20.4991,2119.2878212231,0
RNSC.US,D,20180130,000000,20.3457,20.3457,20.1756,20.2132,6221.428625393,0
RNSC.US,D,20180131,000000,20.2884,20.2884,20.1806,20.1806,1050.0429405106,0
RNSC.US,D,20180201,000000,20.0321,20.037,20.0321,20.037,649.83408156721,0
RNSC.US,D,20180202,000000,19.7609,19.7609,19.667,19.667,1304.7213052928,0
RNSC.US,D,20180205,000000,19.4265,19.4265,19.2236,19.2236,288.02910302746,0
RNSC.US,D,20180206,000000,18.634,19.1544,18.5587,19.1544,1876.736997621,0
RNSC.US,D,20180207,000000,19.1593,19.2059,19.1118,19.2059,492.17604622586,0
RNSC.US,D,20180208,000000,18.8368,18.8368,18.8368,18.8368,571.00506389653,0
RNSC.US,D,20180209,000000,18.4855,18.4855,18.4855,18.4855,6539.7765813707,0
RNSC.US,D,20180214,000000,18.9634,19.0407,18.9634,18.9922,3928.3127139218,0
RNSC.US,D,20180215,000000,19.4008,19.4008,19.4008,19.4008,173.82809024815,0
RNSC.US,D,20180216,000000,21.1542,21.1542,19.6363,19.6363,846.90662574389,0
RNSC.US,D,20180220,000000,19.6046,19.6046,19.3721,19.3721,9976.9238774984,0
RNSC.US,D,20180221,000000,19.5205,19.5948,19.5116,19.5205,1438.1242582739,0
RNSC.US,D,20180222,000000,19.4167,19.4167,19.3444,19.3444,9351.3448782914,0
RNSC.US,D,20180223,000000,19.5373,19.5373,19.5373,19.5373,107.12661375758,0
RNSC.US,D,20180226,000000,19.5205,19.6234,19.5205,19.6195,3398.743415724,0
RNSC.US,D,20180227,000000,19.667,19.6699,19.4453,19.4453,2089.9795967045,0
RNSC.US,D,20180301,000000,19.2425,19.2524,18.9179,18.9793,3872.7281501797,0
RNSC.US,D,20180306,000000,19.4344,19.5492,19.4344,19.5492,1317.8594749046,0
RNSC.US,D,20180307,000000,19.6927,19.7471,19.6393,19.7471,1362.3271258983,0
RNSC.US,D,20180308,000000,19.576,19.6046,19.5571,19.6046,23321.261689338,0
RNSC.US,D,20180312,000000,20.0796,20.0796,20.0796,20.0796,265.7952775306,0
RNSC.US,D,20180314,000000,19.8252,19.8252,19.8055,19.8055,672.06790706406,0
RNSC.US,D,20180315,000000,19.852,19.852,19.7609,19.7857,1015.6815738337,0
RNSC.US,D,20180320,000000,19.7531,19.7531,19.7531,19.7531,721.58870021615,0
RNSC.US,D,20180321,000000,19.8441,19.9035,19.8441,19.9035,450.74028052718,0
RNSC.US,D,20180322,000000,19.8322,19.8322,19.8084,19.8084,561.90940801146,0
RNSC.US,D,20180323,000000,19.4592,19.4592,19.4592,19.4592,279.94407557405,0
RNSC.US,D,20180326,000000,19.1583,19.3068,19.1583,19.3068,1109.6700179795,0
RNSC.US,D,20180327,000000,19.4196,19.4196,19.4196,19.4196,1710.9939348263,0
RNSC.US,D,20180403,000000,19.095,19.095,19.0723,19.0881,1533.1233308514,0
RNSC.US,D,20180404,000000,19.2494,19.2494,19.2494,19.2494,550.79249526303,0
RNSC.US,D,20180409,000000,19.475,19.475,19.4522,19.4522,471.96347759236,0
RNSC.US,D,20180410,000000,19.6293,19.6927,19.6293,19.6927,426.48519816697,0
RNSC.US,D,20180411,000000,19.662,19.662,19.6393,19.662,1145.0420130881,0
RNSC.US,D,20180417,000000,20.0558,20.0558,20.0123,20.0123,954.03323950147,0
RNSC.US,D,20180418,000000,20.0756,20.1844,20.0756,20.1429,4877.2928112649,0
RNSC.US,D,20180419,000000,20.0538,20.0538,20.0015,20.0015,1422.9648317988,0
RNSC.US,D,20180420,000000,19.9608,19.9707,19.8609,19.8609,2297.1584251979,0
RNSC.US,D,20180424,000000,19.9074,19.9352,19.7105,19.7105,1449.2411710224,0
RNSC.US,D,20180425,000000,19.7996,19.8302,19.7996,19.8302,2547.7942762534,0
RNSC.US,D,20180426,000000,20.0073,20.0073,20.0073,20.0073,193.03003044998,0
RNSC.US,D,20180427,000000,19.9213,19.9213,19.9213,19.9213,447.70839523215,0
RNSC.US,D,20180430,000000,19.851,19.8985,19.851,19.8659,1132.914471908,0
RNSC.US,D,20180501,000000,19.7669,19.7669,19.7096,19.7096,933.82067086796,0
RNSC.US,D,20180502,000000,19.7729,19.7729,19.7729,19.7729,322.39046970441,0
RNSC.US,D,20180503,000000,19.6116,19.6116,19.573,19.573,453.7721658222,0
RNSC.US,D,20180507,000000,20.0033,20.0033,20.0033,20.0033,249.62522262379,0
RNSC.US,D,20180508,000000,20.0558,20.0658,20.0558,20.0658,1217.8072601687,0
RNSC.US,D,20180509,000000,20.0845,20.1854,20.0845,20.1796,3511.9338000716,0
RNSC.US,D,20180510,000000,20.228,20.228,20.2132,20.2132,1315.8382180412,0
RNSC.US,D,20180511,000000,20.2092,20.2092,20.1726,20.1844,1266.3174248891,0
RNSC.US,D,20180514,000000,20.2241,20.2241,20.1291,20.1389,1841.3650025124,0
RNSC.US,D,20180515,000000,20.1113,20.1113,20.1113,20.1113,618.50460018527,0
RNSC.US,D,20180516,000000,20.3161,20.325,20.3161,20.324,1365.3590111933,0
RNSC.US,D,20180517,000000,20.4725,20.4725,20.4725,20.4725,193.03003044998,0
RNSC.US,D,20180518,000000,20.5436,20.5436,20.4833,20.4833,584.14323350831,0
RNSC.US,D,20180521,000000,20.6664,20.6664,20.6594,20.6594,846.90662574389,0
RNSC.US,D,20180522,000000,20.6564,20.6564,20.6564,20.6564,1015.6815738337,0
RNSC.US,D,20180524,000000,20.5644,20.5833,20.5644,20.5644,702.38676001432,0
RNSC.US,D,20180525,000000,20.5436,20.5723,20.4833,20.4981,3752.4633668103,0
