<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROBT.US,D,20180223,000000,29.6796,29.8453,29.6596,29.8054,6099.161075608,0
ROBT.US,D,20180226,000000,29.983,30.1427,29.8842,30.1228,40826.710274832,0
ROBT.US,D,20180227,000000,30.1926,30.2026,29.8952,29.8952,25267.237432311,0
ROBT.US,D,20180228,000000,29.9042,29.9441,29.5908,29.6197,127450.22578115,0
ROBT.US,D,20180301,000000,29.6397,29.6397,28.9968,29.1466,34348.856215226,0
ROBT.US,D,20180302,000000,28.918,29.5508,28.8291,29.5508,19434.564012109,0
ROBT.US,D,20180305,000000,29.5408,29.8553,29.3442,29.7754,53643.163566595,0
ROBT.US,D,20180306,000000,30.1427,30.2126,29.9731,30.1507,24115.129147661,0
ROBT.US,D,20180307,000000,30.003,30.1328,29.8952,30.1128,19982.566822286,0
ROBT.US,D,20180308,000000,30.1427,30.3204,30.1028,30.2915,25218.147601052,0
ROBT.US,D,20180309,000000,30.4582,30.7087,30.3983,30.6847,17902.76091017,0
ROBT.US,D,20180312,000000,30.9023,30.9023,30.7137,30.8624,29138.321268735,0
ROBT.US,D,20180313,000000,31.1579,31.1579,30.5131,30.5131,34913.89019135,0
ROBT.US,D,20180314,000000,30.7047,30.7636,30.5181,30.5969,24362.581970538,0
ROBT.US,D,20180315,000000,30.8524,30.8524,30.524,30.5959,14530.590052664,0
ROBT.US,D,20180316,000000,30.5769,30.5919,30.4342,30.4981,18511.875551098,0
ROBT.US,D,20180319,000000,30.5181,30.5181,29.8852,29.9631,20722.921624335,0
ROBT.US,D,20180320,000000,30.023,30.1727,30.023,30.1727,10590.379719161,0
ROBT.US,D,20180321,000000,30.0928,30.3913,30.0928,30.1328,11098.309197698,0
ROBT.US,D,20180322,000000,29.8403,29.9691,29.4101,29.4101,18452.767386929,0
ROBT.US,D,20180323,000000,29.3482,29.4121,28.8681,28.8681,17381.80759885,0
ROBT.US,D,20180326,000000,29.1805,29.5858,28.9569,29.5858,7843.352835239,0
ROBT.US,D,20180327,000000,29.8802,29.8802,28.8122,28.933,23141.347188809,0
ROBT.US,D,20180328,000000,29.1206,29.1206,28.6145,28.7034,37288.23509102,0
ROBT.US,D,20180329,000000,28.8721,29.2883,28.8321,29.1605,7171.122696978,0
ROBT.US,D,20180402,000000,29.3083,29.3083,28.2772,28.5447,46626.323196431,0
