<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RTH.US,D,20050225,000000,26.386,26.591,26.341,26.591,3510564,0
RTH.US,D,20050228,000000,26.581,26.717,26.453,26.562,8273158,0
RTH.US,D,20050301,000000,26.66,26.838,26.66,26.838,5974561,0
RTH.US,D,20050302,000000,26.693,26.934,26.609,26.751,5420802,0
RTH.US,D,20050303,000000,26.888,27.097,26.888,26.971,10342638,0
RTH.US,D,20050304,000000,27.043,27.144,27.002,27.1,8155356,0
RTH.US,D,20050307,000000,27.06,27.204,26.944,27.014,6800920,0
RTH.US,D,20050308,000000,26.971,27.043,26.881,26.905,4154387,0
RTH.US,D,20050309,000000,26.844,26.893,26.733,26.811,9141639,0
RTH.US,D,20050310,000000,26.841,26.934,26.751,26.847,4293086,0
RTH.US,D,20050311,000000,26.874,26.928,26.751,26.83,2930094,0
RTH.US,D,20050314,000000,26.885,26.928,26.736,26.89,8977601,0
RTH.US,D,20050315,000000,27.028,27.028,26.736,26.742,5950585,0
RTH.US,D,20050316,000000,26.622,26.653,26.401,26.49,8782049,0
RTH.US,D,20050317,000000,26.482,26.684,26.406,26.646,8801218,0
RTH.US,D,20050318,000000,26.648,26.681,26.41,26.493,9002588,0
RTH.US,D,20050321,000000,26.45,26.456,26.152,26.295,9992652,0
RTH.US,D,20050322,000000,26.35,26.499,26.19,26.222,14572370,0
RTH.US,D,20050323,000000,26.152,26.325,25.976,26.134,21400003,0
RTH.US,D,20050324,000000,26.178,26.282,26.056,26.193,6598174,0
RTH.US,D,20050328,000000,26.235,26.487,26.232,26.377,9324505,0
RTH.US,D,20050329,000000,26.261,26.412,26.07,26.111,6755022,0
RTH.US,D,20050330,000000,26.178,26.479,26.178,26.403,9724505,0
RTH.US,D,20050331,000000,26.316,26.412,26.219,26.232,8805331,0
RTH.US,D,20050401,000000,26.105,26.301,25.606,25.778,26521158,0
RTH.US,D,20050404,000000,26.122,26.137,25.576,26.026,10901203,0
RTH.US,D,20050405,000000,26.033,26.278,26.009,26.222,13318628,0
RTH.US,D,20050406,000000,26.306,26.328,26.094,26.096,11053246,0
RTH.US,D,20050407,000000,26.026,26.137,25.763,26.111,15404888,0
RTH.US,D,20050408,000000,26.023,26.118,25.669,25.669,5396843,0
RTH.US,D,20050411,000000,25.91,25.971,25.758,25.861,4095141,0
RTH.US,D,20050412,000000,25.763,26.158,25.653,26.059,12701508,0
RTH.US,D,20050413,000000,26,26.132,25.819,25.858,9470750,0
RTH.US,D,20050414,000000,25.839,25.874,25.553,25.571,8104664,0
RTH.US,D,20050415,000000,25.019,25.488,25.019,25.118,18575732,0
RTH.US,D,20050418,000000,25.161,25.315,25.089,25.235,10252237,0
RTH.US,D,20050419,000000,25.12,25.399,24.99,25.194,14671004,0
RTH.US,D,20050420,000000,24.955,25.154,24.64,24.803,19376060,0
RTH.US,D,20050421,000000,25.035,25.229,24.946,25.175,10077581,0
RTH.US,D,20050422,000000,24.984,25.001,24.62,24.721,16511036,0
RTH.US,D,20050425,000000,24.876,25.11,24.841,24.968,7372137,0
RTH.US,D,20050426,000000,24.684,25.205,24.63,24.92,8120079,0
RTH.US,D,20050427,000000,24.684,25.154,24.61,25.001,11305640,0
RTH.US,D,20050428,000000,24.696,25.118,24.692,24.733,9487519,0
RTH.US,D,20050429,000000,24.825,24.859,24.316,24.704,31082375,0
RTH.US,D,20050502,000000,24.846,25.11,24.844,25.11,13860737,0
RTH.US,D,20050503,000000,25.104,25.372,24.952,25.255,20669871,0
RTH.US,D,20050504,000000,25.241,25.473,25.229,25.399,16210703,0
RTH.US,D,20050505,000000,25.448,25.74,25.377,25.461,9070413,0
RTH.US,D,20050506,000000,25.574,25.712,25.455,25.539,8051249,0
RTH.US,D,20050509,000000,25.518,25.729,25.446,25.709,3395494,0
RTH.US,D,20050510,000000,25.626,25.626,25.334,25.399,7101607,0
RTH.US,D,20050511,000000,25.536,25.549,25.078,25.479,14630243,0
RTH.US,D,20050512,000000,25.148,25.541,25.148,25.255,10693668,0
RTH.US,D,20050513,000000,25.232,25.311,24.963,25.107,12421374,0
RTH.US,D,20050516,000000,25.219,25.672,25.219,25.672,10905298,0
RTH.US,D,20050517,000000,25.791,26.086,25.787,26.061,20011677,0
RTH.US,D,20050518,000000,26.166,26.578,26.163,26.578,10170723,0
RTH.US,D,20050519,000000,26.568,26.693,26.49,26.678,12126514,0
RTH.US,D,20050520,000000,26.562,26.574,26.321,26.446,11454954,0
RTH.US,D,20050523,000000,26.578,26.723,26.562,26.653,4247881,0
RTH.US,D,20050524,000000,26.369,26.591,26.366,26.532,5815316,0
RTH.US,D,20050525,000000,26.44,26.484,26.301,26.431,9161837,0
RTH.US,D,20050526,000000,26.484,26.616,26.422,26.591,6120110,0
RTH.US,D,20050527,000000,26.565,26.606,26.482,26.496,2966397,0
RTH.US,D,20050531,000000,26.505,26.532,26.377,26.377,3194807,0
RTH.US,D,20050601,000000,26.462,26.792,26.462,26.693,8803273,0
RTH.US,D,20050602,000000,26.723,27.043,26.723,27.014,5541003,0
RTH.US,D,20050603,000000,26.984,27.014,26.594,26.637,5456079,0
RTH.US,D,20050606,000000,26.687,26.888,26.656,26.847,3620833,0
RTH.US,D,20050607,000000,26.968,27.227,26.937,26.968,6588254,0
RTH.US,D,20050608,000000,26.871,27.011,26.756,26.771,6365315,0
RTH.US,D,20050609,000000,26.66,27.067,26.66,26.931,4272541,0
RTH.US,D,20050610,000000,26.984,27.02,26.767,26.921,4316368,0
RTH.US,D,20050613,000000,26.928,27.141,26.868,26.984,5629007,0
RTH.US,D,20050614,000000,27.043,27.632,27.043,27.538,7356034,0
RTH.US,D,20050615,000000,27.685,27.709,27.252,27.657,12421717,0
RTH.US,D,20050616,000000,27.565,27.763,27.493,27.591,7173173,0
RTH.US,D,20050617,000000,27.719,27.761,27.443,27.522,6815973,0
RTH.US,D,20050620,000000,26.971,27.481,26.968,27.429,5608128,0
RTH.US,D,20050621,000000,27.579,27.591,27.349,27.429,3204413,0
RTH.US,D,20050622,000000,27.579,27.579,27.324,27.496,4489317,0
RTH.US,D,20050623,000000,27.488,27.601,27.094,27.106,7349536,0
RTH.US,D,20050624,000000,27.028,27.028,26.739,26.765,11795019,0
RTH.US,D,20050627,000000,26.83,27.051,26.83,26.914,7961516,0
RTH.US,D,20050628,000000,27.07,27.41,26.959,27.349,8089258,0
RTH.US,D,20050629,000000,27.366,27.538,27.221,27.264,6429004,0
RTH.US,D,20050630,000000,27.433,27.484,27.07,27.083,5167728,0
RTH.US,D,20050701,000000,27.192,27.257,27.074,27.192,5107793,0
RTH.US,D,20050705,000000,27.239,27.811,27.239,27.746,8433427,0
RTH.US,D,20050706,000000,27.665,27.746,27.435,27.562,8689245,0
RTH.US,D,20050707,000000,27.44,27.726,27.383,27.657,6411196,0
RTH.US,D,20050708,000000,27.632,28.063,27.619,28.032,12176865,0
RTH.US,D,20050711,000000,28.05,28.211,27.975,28.135,2831460,0
RTH.US,D,20050712,000000,28.173,28.576,28.173,28.493,7809459,0
RTH.US,D,20050713,000000,28.464,28.52,28.258,28.307,5940316,0
RTH.US,D,20050714,000000,28.523,28.712,28.312,28.447,6093056,0
RTH.US,D,20050715,000000,28.424,28.589,28.316,28.527,4029049,0
RTH.US,D,20050718,000000,28.484,28.73,28.477,28.696,4737943,0
RTH.US,D,20050719,000000,28.792,28.953,28.656,28.917,6025239,0
RTH.US,D,20050720,000000,28.847,29.108,28.653,29.09,7958096,0
RTH.US,D,20050721,000000,28.856,28.897,28.553,28.626,12997048,0
RTH.US,D,20050722,000000,28.586,28.853,28.542,28.83,4153354,0
RTH.US,D,20050725,000000,29.022,29.022,28.594,28.594,11953224,0
RTH.US,D,20050726,000000,28.57,28.922,28.041,28.858,4856773,0
RTH.US,D,20050727,000000,28.914,29.059,28.765,29.046,5996821,0
RTH.US,D,20050728,000000,29.121,29.353,29.083,29.314,4934836,0
RTH.US,D,20050729,000000,29.239,29.365,29.055,29.074,4922869,0
RTH.US,D,20050801,000000,29.105,29.406,28.899,29.046,5118756,0
RTH.US,D,20050802,000000,28.94,29.088,28.903,29.022,5231763,0
RTH.US,D,20050803,000000,28.914,28.947,28.813,28.934,11733714,0
RTH.US,D,20050804,000000,28.639,28.696,28.211,28.404,20264401,0
RTH.US,D,20050805,000000,28.371,28.404,28.133,28.202,10359071,0
RTH.US,D,20050808,000000,28.316,28.356,28.075,28.113,10011827,0
RTH.US,D,20050809,000000,28.278,28.509,28.248,28.421,11436111,0
RTH.US,D,20050810,000000,28.57,28.853,28.327,28.401,16749380,0
RTH.US,D,20050811,000000,28.567,28.626,28.198,28.371,12514869,0
RTH.US,D,20050812,000000,28.359,28.474,28.133,28.387,12775482,0
RTH.US,D,20050815,000000,28.57,28.668,28.19,28.586,11855973,0
RTH.US,D,20050816,000000,28.387,28.387,27.9,27.907,17506908,0
RTH.US,D,20050817,000000,27.827,28.179,27.749,27.942,13965198,0
RTH.US,D,20050818,000000,27.638,27.993,27.638,27.949,9457373,0
RTH.US,D,20050819,000000,28.018,28.018,27.648,27.651,17981563,0
RTH.US,D,20050822,000000,27.651,27.887,27.449,27.676,15833986,0
RTH.US,D,20050823,000000,27.719,27.755,27.501,27.597,5536209,0
RTH.US,D,20050824,000000,27.545,27.668,27.217,27.249,13398072,0
RTH.US,D,20050825,000000,27.368,27.507,27.291,27.398,7429675,0
RTH.US,D,20050826,000000,27.39,27.41,27.147,27.195,12759384,0
RTH.US,D,20050829,000000,27.151,27.504,27.083,27.457,12989165,0
