<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCZ.US,D,20071212,000000,38.9746,38.9746,38.9746,38.9746,131.4108126171,0
SCZ.US,D,20071213,000000,38.5643,39.0296,38.5643,39.0296,15231.430001945,0
SCZ.US,D,20071214,000000,38.8529,38.9678,38.7626,38.7626,6826.2314367999,0
SCZ.US,D,20071217,000000,37.0869,37.1949,36.975,37.0732,9719.3066913159,0
SCZ.US,D,20071218,000000,37.4383,37.4383,36.9357,36.9357,5251.3390623345,0
SCZ.US,D,20071219,000000,40.3637,40.3637,36.7453,37.1262,23244.433506178,0
SCZ.US,D,20071220,000000,37.8192,37.8192,36.5234,36.8974,25604.734690937,0
SCZ.US,D,20071221,000000,37.6455,37.7642,37.0427,37.5463,61454.419323657,0
SCZ.US,D,20071224,000000,38.3424,38.3424,37.4835,37.7436,45041.310696629,0
SCZ.US,D,20071226,000000,38.259,38.259,37.3166,37.4383,29674.395128187,0
SCZ.US,D,20071227,000000,38.0028,38.0322,37.5316,37.779,48192.114134029,0
SCZ.US,D,20071228,000000,38.0921,38.153,37.6965,38.1157,47270.20106877,0
SCZ.US,D,20071231,000000,38.153,38.8254,37.8496,38.8254,83644.510263489,0
SCZ.US,D,20080102,000000,38.1618,38.3071,37.347,38.2835,32565.433005763,0
SCZ.US,D,20080103,000000,38.0754,38.2531,37.9272,38.2531,10766.518438373,0
SCZ.US,D,20080104,000000,39.3329,39.3329,36.9357,36.9357,13919.359252714,0
SCZ.US,D,20080107,000000,36.3467,36.3546,36.0061,36.3124,22190.090939832,0
SCZ.US,D,20080108,000000,37.0349,37.0349,36.2358,36.2731,4597.3410646587,0
SCZ.US,D,20080109,000000,36.601,36.601,35.3877,35.9825,13525.126814862,0
SCZ.US,D,20080110,000000,35.5339,35.5339,35.3346,35.474,9719.3066913159,0
SCZ.US,D,20080111,000000,35.2208,35.2208,34.8193,35.2139,3151.8221258706,0
SCZ.US,D,20080114,000000,36.9573,36.9573,35.3935,35.5791,13131.913065481,0
SCZ.US,D,20080115,000000,35.5791,35.5791,34.6485,34.6897,17462.357751026,0
SCZ.US,D,20080116,000000,34.0801,34.0801,33.4548,33.4862,5909.4118138899,0
SCZ.US,D,20080117,000000,34.5513,34.5513,33.3331,33.5863,21009.431003218,0
SCZ.US,D,20080118,000000,33.7512,33.7512,33.5304,33.5304,4859.144001423,0
SCZ.US,D,20080122,000000,35.0303,67.0617,31.3226,34.5572,18647.09244152,0
SCZ.US,D,20080123,000000,32.1276,35.7244,32.0599,35.7244,77339.847323278,0
SCZ.US,D,20080124,000000,34.7584,34.7584,33.8357,33.8749,38078.575004862,0
SCZ.US,D,20080125,000000,34.5375,34.5375,33.9201,33.9358,17989.019689964,0
SCZ.US,D,20080128,000000,34.2607,34.2607,33.4862,33.7846,12476.896379335,0
SCZ.US,D,20080129,000000,34.193,34.3932,33.9427,34.248,15359.784749152,0
SCZ.US,D,20080130,000000,36.0601,36.0601,32.747,34.4777,8142.3769399107,0
SCZ.US,D,20080131,000000,32.266,34.7751,32.266,34.7751,19960.181879221,0
SCZ.US,D,20080201,000000,35.3877,35.3877,34.7192,34.7663,17597.843317523,0
SCZ.US,D,20080204,000000,35.0706,35.6242,35.0706,35.4809,3803.7827466066,0
SCZ.US,D,20080205,000000,34.6485,34.6485,33.7444,33.7444,9584.8398132891,0
SCZ.US,D,20080206,000000,34.2676,34.2676,33.7591,33.8681,6041.8413149769,0
SCZ.US,D,20080207,000000,33.4175,33.4175,32.4329,32.4329,20746.609377983,0
SCZ.US,D,20080208,000000,32.1757,34.6485,32.1757,32.8452,33749.149007787,0
SCZ.US,D,20080211,000000,34.0055,34.0055,32.8687,33.2948,16280.679125942,0
SCZ.US,D,20080212,000000,32.9581,33.5559,32.9581,33.5225,7614.6963125025,0
SCZ.US,D,20080213,000000,33.6766,33.6914,33.4548,33.4548,34142.362757168,0
SCZ.US,D,20080214,000000,34.087,34.0948,33.9584,33.9584,6434.0363758884,0
SCZ.US,D,20080215,000000,34.0408,34.3932,33.8602,34.2411,53179.61288266,0
SCZ.US,D,20080219,000000,35.261,35.261,34.7054,34.8026,38996.413316242,0
SCZ.US,D,20080220,000000,35.9295,36.0522,34.2087,34.5042,28626.16469266,0
SCZ.US,D,20080221,000000,35.8481,35.8481,34.5513,34.7417,26920.880194047,0
SCZ.US,D,20080222,000000,35.4937,35.4937,34.2175,34.8635,17724.16068779,0
SCZ.US,D,20080225,000000,35.207,35.207,34.3167,34.8507,13919.359252714,0
SCZ.US,D,20080226,000000,35.3346,36.334,34.8792,35.5938,114764.42433046,0
SCZ.US,D,20080227,000000,35.4868,35.5644,35.3877,35.5339,12476.896379335,0
