<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDG.US,D,20160425,000000,43.2263,43.2441,43.2263,43.2441,1291.45206144,0
SDG.US,D,20160426,000000,43.3422,43.3422,43.3323,43.3323,226.004110752,0
SDG.US,D,20160427,000000,43.5474,43.5474,43.5474,43.5474,109.975214607,0
SDG.US,D,20160429,000000,43.5206,43.5206,42.7634,42.7634,226.004110752,0
SDG.US,D,20160502,000000,42.9319,43.6287,42.9041,43.6287,1919.017047546,0
SDG.US,D,20160503,000000,42.8318,42.8318,42.7188,42.8169,4266.836537367,0
SDG.US,D,20160504,000000,42.2004,42.2004,42.2004,42.2004,231.048845367,0
SDG.US,D,20160510,000000,42.5672,42.5672,42.5672,42.5672,1345.935195282,0
SDG.US,D,20160511,000000,42.587,42.587,42.587,42.587,250.218836904,0
SDG.US,D,20160512,000000,42.6375,42.6375,42.6375,42.6375,236.093579982,0
SDG.US,D,20160513,000000,42.3164,42.3164,42.3035,42.3035,351.113529204,0
SDG.US,D,20160516,000000,42.1568,42.1568,42.0944,42.0944,470.169266118,0
SDG.US,D,20160518,000000,42.0835,42.0944,42.0835,42.0944,447.972433812,0
SDG.US,D,20160519,000000,41.6672,41.6672,41.3847,41.5592,1125.984766068,0
SDG.US,D,20160520,000000,41.8555,41.8555,41.8555,41.8555,199.771490754,0
SDG.US,D,20160523,000000,41.8882,41.8882,41.8882,41.8882,179.592552294,0
SDG.US,D,20160524,000000,42.3967,42.3967,42.3897,42.3897,477.231894579,0
SDG.US,D,20160526,000000,42.9319,42.9884,42.8952,42.9884,784.960706094,0
SDG.US,D,20160527,000000,42.8704,42.9041,42.8318,42.9041,2399.275782894,0
SDG.US,D,20160531,000000,42.8804,43.1648,42.8417,42.8417,3254.862773598,0
SDG.US,D,20160602,000000,43.0835,43.2084,43.0835,43.2084,251.227783827,0
SDG.US,D,20160606,000000,43.6891,43.9032,43.6891,43.9032,226.004110752,0
SDG.US,D,20160608,000000,44.0618,44.0618,44.0618,44.0618,179.592552294,0
SDG.US,D,20160610,000000,43.0379,43.0379,43.0379,43.0379,226.004110752,0
SDG.US,D,20160613,000000,42.5226,42.5226,42.3897,42.3897,839.443839936,0
SDG.US,D,20160614,000000,42.1122,42.1122,41.8268,41.8357,1969.464393696,0
SDG.US,D,20160615,000000,42.5582,42.7277,42.1023,42.1023,2018.902792923,0
SDG.US,D,20160616,000000,42.1747,42.1747,42.1747,42.1747,109.975214607,0
SDG.US,D,20160621,000000,43.138,43.138,43.138,43.138,114.011002299,0
SDG.US,D,20160622,000000,43.2808,43.2976,43.259,43.2976,666.913916103,0
SDG.US,D,20160623,000000,43.6485,43.7744,43.6485,43.7744,1355.015717589,0
SDG.US,D,20160624,000000,41.9001,41.9001,41.5522,41.5522,670.949703795,0
SDG.US,D,20160627,000000,40.6117,40.6117,40.6117,40.6117,109.975214607,0
SDG.US,D,20160628,000000,41.2668,41.5978,41.2668,41.5939,1239.995768367,0
