<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDVY.US,D,20171103,000000,18.4087,18.4087,18.3811,18.3811,432.22470756934,0
SDVY.US,D,20171106,000000,18.3851,18.3851,18.3851,18.3851,1085.1168302443,0
SDVY.US,D,20171108,000000,18.2793,18.2892,18.2793,18.2892,706.54062267774,0
SDVY.US,D,20171109,000000,18.223,18.223,18.1154,18.223,1448.5095000743,0
SDVY.US,D,20171110,000000,18.2527,18.2527,18.2132,18.227,1407.0078302608,0
SDVY.US,D,20171115,000000,18.223,18.2329,18.1974,18.1974,1516.3293019646,0
SDVY.US,D,20171117,000000,18.3712,18.4562,18.3712,18.4562,700.46720758309,0
SDVY.US,D,20171120,000000,18.5382,18.556,18.5204,18.556,14458.776868666,0
SDVY.US,D,20171122,000000,18.6221,18.6221,18.6221,18.6221,3899.132490766,0
SDVY.US,D,20171128,000000,18.8266,18.8266,18.8207,18.8207,1085.1168302443,0
SDVY.US,D,20171129,000000,19.3058,19.3058,19.3048,19.3048,431.21247172023,0
SDVY.US,D,20171130,000000,19.3512,19.3512,19.3512,19.3512,107.2970000055,0
SDVY.US,D,20171201,000000,19.0282,19.0282,19.0282,19.0282,973.77088684239,0
SDVY.US,D,20171205,000000,19.1793,19.203,19.1793,19.203,12239.95588742,0
SDVY.US,D,20171208,000000,19.1221,19.1585,19.1121,19.1537,1290.6007076134,0
SDVY.US,D,20171211,000000,19.0736,19.0736,19.0687,19.0687,716.66298116883,0
SDVY.US,D,20171212,000000,19.1389,19.1665,19.1369,19.1655,3575.2170190513,0
SDVY.US,D,20171214,000000,18.8365,18.8365,18.8365,18.8365,649.85541512767,0
SDVY.US,D,20171218,000000,19.3334,19.3334,19.2494,19.2494,1867.5751416052,0
SDVY.US,D,20171219,000000,19.286,19.286,19.2584,19.2584,865.46165098778,0
SDVY.US,D,20171228,000000,19.3907,19.3907,19.3907,19.3907,389.71080190678,0
SDVY.US,D,20171229,000000,19.4184,19.4441,19.4184,19.4441,216.61847170922,0
SDVY.US,D,20180102,000000,19.3907,19.4006,19.3838,19.4006,1209.6218396847,0
SDVY.US,D,20180104,000000,19.5567,19.5656,19.5469,19.5469,14539.755736595,0
SDVY.US,D,20180105,000000,19.5191,19.6199,19.5191,19.6199,3104.5273492158,0
SDVY.US,D,20180109,000000,19.6476,19.6862,19.6476,19.6862,818.89880192879,0
SDVY.US,D,20180111,000000,19.8531,19.8619,19.8531,19.8619,406.91881134162,0
SDVY.US,D,20180112,000000,20.0616,20.0952,20.0616,20.0655,2948.6430284531,0
SDVY.US,D,20180116,000000,20.1949,20.1949,19.9093,19.9093,1317.9310755393,0
SDVY.US,D,20180118,000000,19.9271,19.9281,19.9271,19.9281,1082.080122697,0
SDVY.US,D,20180119,000000,20.0171,20.0526,19.9904,20.0526,6479.3216701436,0
SDVY.US,D,20180123,000000,20.4083,20.4083,20.2137,20.3165,5463.0368776387,0
SDVY.US,D,20180125,000000,20.2699,20.2699,20.2463,20.2463,1579.0879246093,0
SDVY.US,D,20180126,000000,20.2699,20.3125,20.269,20.3125,10164.872396748,0
