<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHV.US,D,20070111,000000,102.455,102.455,102.455,102.455,952.19974082496,0
SHV.US,D,20070112,000000,102.515,102.515,102.515,102.515,1162.9077972773,0
SHV.US,D,20070116,000000,102.515,102.515,102.495,102.495,525.76676943338,0
SHV.US,D,20070117,000000,102.555,102.555,102.555,102.555,8695.2191295987,0
SHV.US,D,20070118,000000,102.555,102.555,102.515,102.545,24493.306505035,0
SHV.US,D,20070119,000000,102.545,102.565,102.525,102.525,14209.749978465,0
SHV.US,D,20070122,000000,102.574,102.584,102.555,102.565,3176.6747939429,0
SHV.US,D,20070123,000000,102.565,102.584,102.565,102.574,2439.1965963598,0
SHV.US,D,20070124,000000,102.624,102.643,102.624,102.634,4556.3108778569,0
SHV.US,D,20070125,000000,102.643,102.653,102.614,102.634,33186.518891239,0
SHV.US,D,20070126,000000,102.683,102.683,102.624,102.624,100512.75978624,0
SHV.US,D,20070129,000000,102.723,102.723,102.703,102.703,21096.893309364,0
SHV.US,D,20070130,000000,102.693,102.723,102.683,102.703,5830.5929335446,0
SHV.US,D,20070131,000000,102.723,102.753,102.713,102.753,2646.89453772,0
SHV.US,D,20070201,000000,102.485,102.485,102.435,102.445,12081.598608297,0
SHV.US,D,20070202,000000,102.475,102.505,102.465,102.475,37538.141942828,0
SHV.US,D,20070205,000000,102.525,102.525,102.475,102.505,9223.9960141242,0
SHV.US,D,20070206,000000,102.515,102.515,102.485,102.495,11027.054954338,0
SHV.US,D,20070207,000000,102.574,102.574,102.505,102.555,9012.2845859745,0
SHV.US,D,20070208,000000,102.565,102.565,102.545,102.545,4763.0054475196,0
SHV.US,D,20070209,000000,102.584,102.594,102.495,102.574,26926.482871211,0
SHV.US,D,20070212,000000,102.574,102.574,102.565,102.574,9012.2845859745,0
SHV.US,D,20070213,000000,102.555,102.584,102.555,102.574,1585.3272818793,0
SHV.US,D,20070214,000000,102.634,102.653,102.634,102.643,26083.650645402,0
SHV.US,D,20070215,000000,102.653,102.693,102.614,102.653,34149.755720735,0
SHV.US,D,20070216,000000,102.683,102.693,102.643,102.673,26715.774814759,0
SHV.US,D,20070220,000000,102.663,102.693,102.663,102.683,15900.43128857,0
SHV.US,D,20070221,000000,102.683,102.743,102.624,102.723,78779.728820729,0
SHV.US,D,20070222,000000,102.713,102.723,102.713,102.723,3390.3929654874,0
