<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHY.US,D,20050225,000000,73.9309,73.9309,73.876,73.895,648346.94301238,0
SHY.US,D,20050228,000000,73.886,73.9049,73.7804,73.848,547893.31398414,0
SHY.US,D,20050301,000000,73.7345,73.7435,73.6588,73.6776,288819.60922797,0
SHY.US,D,20050302,000000,73.7156,73.7604,73.6776,73.7246,425001.8339168,0
SHY.US,D,20050303,000000,73.7604,73.7804,73.7066,73.7525,1461102.0123091,0
SHY.US,D,20050304,000000,73.8083,73.8083,73.7435,73.7525,477193.61584552,0
SHY.US,D,20050307,000000,73.7345,73.7804,73.7156,73.7246,467716.42299471,0
SHY.US,D,20050308,000000,73.7156,73.7246,73.6588,73.7246,264088.20929442,0
SHY.US,D,20050309,000000,73.6588,73.7345,73.6588,73.6966,410071.69345387,0
SHY.US,D,20050310,000000,73.7066,73.7066,73.6299,73.6389,258094.48178112,0
SHY.US,D,20050311,000000,73.6677,73.6677,73.582,73.6209,826584.58721498,0
SHY.US,D,20050314,000000,73.6209,73.6209,73.5631,73.592,234125.59154126,0
SHY.US,D,20050315,000000,73.602,73.6299,73.5631,73.5631,282065.37862543,0
SHY.US,D,20050316,000000,73.6588,73.7156,73.6209,73.6588,409745.6202296,0
SHY.US,D,20050317,000000,73.7156,73.7345,73.6588,73.6876,244473.65072644,0
SHY.US,D,20050318,000000,73.6876,73.6876,73.6389,73.6488,121146.73749191,0
SHY.US,D,20050321,000000,73.6488,73.6966,73.6299,73.6966,1767569.7077372,0
SHY.US,D,20050322,000000,73.7066,73.7525,73.5272,73.5631,1769200.0738585,0
SHY.US,D,20050323,000000,73.5092,73.5631,73.4724,73.5551,235329.55421551,0
SHY.US,D,20050324,000000,73.5551,73.602,73.5182,73.572,294703.97679836,0
SHY.US,D,20050328,000000,73.5372,73.5551,73.5012,73.5372,943162.28635811,0
SHY.US,D,20050329,000000,73.5272,73.592,73.5272,73.592,287185.22989768,0
SHY.US,D,20050330,000000,73.5551,73.6209,73.5551,73.602,183362.51198599,0
SHY.US,D,20050331,000000,73.6389,73.7066,73.6299,73.7066,206134.46266719,0
SHY.US,D,20050401,000000,73.572,73.611,73.5012,73.572,848922.10803123,0
SHY.US,D,20050404,000000,73.5631,73.6209,73.5452,73.572,592348.63242857,0
SHY.US,D,20050405,000000,73.611,73.6209,73.5551,73.592,146537.3069896,0
SHY.US,D,20050406,000000,73.6209,73.6677,73.611,73.6488,190874.23577107,0
SHY.US,D,20050407,000000,73.6776,73.6966,73.611,73.6209,320525.96625433,0
SHY.US,D,20050408,000000,73.572,73.6209,73.5631,73.611,149150.90929495,0
SHY.US,D,20050411,000000,73.592,73.6389,73.5631,73.611,226614.8710584,0
SHY.US,D,20050412,000000,73.592,73.7156,73.572,73.6588,152854.09782049,0
SHY.US,D,20050413,000000,73.7066,73.7704,73.6876,73.7704,286314.36356329,0
SHY.US,D,20050414,000000,73.7804,73.866,73.7704,73.8383,178892.80055784,0
SHY.US,D,20050415,000000,73.9049,73.9558,73.8383,73.9558,318890.5836218,0
SHY.US,D,20050418,000000,73.9558,73.9927,73.9049,73.9229,790527.91172566,0
SHY.US,D,20050419,000000,73.9049,74.0295,73.9049,74.0107,1594557.2615408,0
SHY.US,D,20050420,000000,73.9229,74.0107,73.895,73.9847,541033.73664761,0
SHY.US,D,20050421,000000,73.9309,73.9558,73.8383,73.857,218874.3943652,0
SHY.US,D,20050422,000000,73.9398,73.9398,73.857,73.876,153942.68073846,0
SHY.US,D,20050425,000000,73.895,73.895,73.857,73.895,343296.9136333,0
SHY.US,D,20050426,000000,73.9049,73.9139,73.8183,73.876,209609.90158685,0
SHY.US,D,20050427,000000,73.9478,73.9647,73.886,73.9309,522839.85403524,0
SHY.US,D,20050428,000000,73.9927,74.0206,73.9558,73.9927,298189.44874031,0
SHY.US,D,20050429,000000,73.9647,73.9927,73.9049,73.9229,466728.1702996,0
SHY.US,D,20050502,000000,73.7345,73.7804,73.7066,73.7525,268661.26085211,0
SHY.US,D,20050503,000000,73.7525,73.8083,73.7156,73.7993,330328.22902718,0
SHY.US,D,20050504,000000,73.8083,73.8383,73.7704,73.8283,676897.91452998,0
SHY.US,D,20050505,000000,73.895,73.9478,73.8283,73.9049,233801.52492144,0
SHY.US,D,20050506,000000,73.7604,73.7704,73.6776,73.7345,232709.93209679,0
SHY.US,D,20050509,000000,73.6966,73.7066,73.6588,73.6966,129326.6605612,0
SHY.US,D,20050510,000000,73.7066,73.7903,73.6966,73.7525,249707.87845273,0
