<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKOR.US,D,20141117,000000,42.7008,42.7008,42.683,42.683,474.12413883383,0
SKOR.US,D,20141120,000000,42.7088,42.7088,42.7088,42.7088,699.13220472107,0
SKOR.US,D,20141121,000000,42.7008,42.7277,42.7008,42.7277,1943.7080691599,0
SKOR.US,D,20141125,000000,42.7695,42.7695,42.7695,42.7695,214.96306294585,0
SKOR.US,D,20141201,000000,43.0473,43.0473,43.0095,43.0095,215.96756323999,0
SKOR.US,D,20141203,000000,42.6421,42.652,42.6421,42.652,1405.2959115011,0
SKOR.US,D,20141209,000000,42.8969,42.8969,42.883,42.883,495.21864501076,0
SKOR.US,D,20141216,000000,42.9397,42.9397,42.9397,42.9397,101.45452970809,0
SKOR.US,D,20141222,000000,42.7158,42.7576,42.7158,42.7576,1284.7558762044,0
SKOR.US,D,20141223,000000,42.67,42.67,42.67,42.67,3183.261432128,0
SKOR.US,D,20141224,000000,42.6062,42.6062,42.6062,42.6062,215.96756323999,0
SKOR.US,D,20141226,000000,42.7576,42.7576,42.6421,42.6421,581.60567030675,0
SKOR.US,D,20141229,000000,42.6869,42.6869,42.6869,42.6869,474.12413883383,0
SKOR.US,D,20141230,000000,42.7894,42.7954,42.7815,42.7815,789.53723119362,0
SKOR.US,D,20141231,000000,42.8183,42.8541,42.8183,42.8541,2376.647695934,0
SKOR.US,D,20150102,000000,42.881,42.9667,42.881,42.9577,1991.9240832786,0
SKOR.US,D,20150106,000000,43.2126,43.2304,43.1777,43.1777,1402.2824106187,0
SKOR.US,D,20150107,000000,43.0373,43.1,43.0373,43.1,879.94225766617,0
SKOR.US,D,20150108,000000,43.0881,43.2126,43.0881,43.1329,1402.2824106187,0
SKOR.US,D,20150109,000000,43.2126,43.2384,43.2126,43.2126,1287.7693770868,0
SKOR.US,D,20150116,000000,43.3061,43.3061,43.2982,43.2982,371.6651088316,0
SKOR.US,D,20150120,000000,43.4275,43.4275,43.4017,43.4017,816.65873913539,0
SKOR.US,D,20150121,000000,43.3151,43.3151,43.3061,43.3061,580.60117001261,0
SKOR.US,D,20150122,000000,43.2653,43.3061,43.2653,43.3061,697.12320413279,0
SKOR.US,D,20150126,000000,43.2922,43.2922,43.2922,43.2922,141.63454147366,0
SKOR.US,D,20150130,000000,43.77,43.77,43.77,43.77,101.45452970809,0
SKOR.US,D,20150202,000000,43.6804,43.6974,43.6804,43.6974,626.80818354303,0
SKOR.US,D,20150204,000000,43.4933,43.4933,43.4933,43.4933,101.45452970809,0
