<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKYY.US,D,20110708,000000,19.5304,19.6353,19.3936,19.6353,810385.34059137,0
SKYY.US,D,20110711,000000,19.4824,19.5404,19.0777,19.1447,329938.04955938,0
SKYY.US,D,20110712,000000,19.2127,19.2127,18.8919,18.9318,243211.37359845,0
SKYY.US,D,20110713,000000,19.1347,19.2806,18.9898,19.0777,346161.14784932,0
SKYY.US,D,20110714,000000,19.1947,19.1947,18.6331,18.7021,179974.21482099,0
SKYY.US,D,20110715,000000,19.0198,19.0198,18.7021,18.8649,162320.04932022,0
SKYY.US,D,20110718,000000,18.8739,18.8739,18.5212,18.6631,220447.39748338,0
SKYY.US,D,20110719,000000,18.8829,19.2706,18.8829,19.2706,285987.27350007,0
SKYY.US,D,20110720,000000,19.3656,19.3656,18.826,18.8549,250390.72756378,0
SKYY.US,D,20110721,000000,18.8829,18.9019,18.6131,18.6531,192835.80628495,0
SKYY.US,D,20110722,000000,18.759,19.0478,18.7221,18.9898,160158.43730947,0
SKYY.US,D,20110725,000000,18.9218,18.9698,18.749,18.826,100340.82864346,0
SKYY.US,D,20110726,000000,18.9019,18.9598,18.7121,18.9318,123195.87267194,0
SKYY.US,D,20110727,000000,18.768,18.768,18.2015,18.2503,225692.30884836,0
SKYY.US,D,20110728,000000,18.1815,18.4532,18.1335,18.2503,165209.203892,0
SKYY.US,D,20110729,000000,18.0276,18.3373,17.8806,18.1335,169596.47567678,0
SKYY.US,D,20110801,000000,18.4712,18.5112,17.7947,18.0276,127000.71010939,0
SKYY.US,D,20110802,000000,17.9786,18.0565,17.502,17.511,151095.67880514,0
SKYY.US,D,20110803,000000,17.6728,17.8127,17.2321,17.8047,229051.81418172,0
SKYY.US,D,20110804,000000,17.6458,17.6458,16.9144,16.9144,186667.2060839,0
SKYY.US,D,20110805,000000,17.2321,17.2891,16.161,16.7125,207629.83885667,0
SKYY.US,D,20110808,000000,16.007,16.2479,15.4984,15.5274,143928.33379542,0
SKYY.US,D,20110809,000000,15.8541,16.3458,15.3655,16.2969,241240.90413124,0
SKYY.US,D,20110810,000000,15.9121,16.2479,15.7403,15.7503,63107.061758293,0
SKYY.US,D,20110811,000000,15.7503,16.6146,15.7503,16.4407,114441.34402841,0
SKYY.US,D,20110812,000000,16.6726,16.7495,16.4507,16.6726,50305.515072405,0
SKYY.US,D,20110815,000000,16.6925,16.9414,16.6546,16.9234,73720.977029597,0
SKYY.US,D,20110816,000000,16.8085,16.8574,16.4317,16.5766,77945.127167271,0
SKYY.US,D,20110817,000000,16.7225,16.7225,16.056,16.2389,68140.815653697,0
SKYY.US,D,20110818,000000,15.5664,15.5664,14.8269,14.9599,132721.97671377,0
SKYY.US,D,20110819,000000,14.8069,15.1626,14.4343,14.5761,97675.841243176,0
SKYY.US,D,20110822,000000,14.691,14.9998,14.6141,14.691,32018.877909238,0
SKYY.US,D,20110823,000000,14.8759,15.4305,14.711,15.4115,47138.153028875,0
SKYY.US,D,20110824,000000,15.5274,15.5664,15.1826,15.4894,55982.748839528,0
SKYY.US,D,20110825,000000,15.6244,15.6244,15.0838,15.1138,43722.605902629,0
SKYY.US,D,20110826,000000,15.0838,15.6823,14.9898,15.6344,49407.845640163,0
SKYY.US,D,20110829,000000,15.8541,16.2199,15.8262,16.2099,83697.41690699,0
SKYY.US,D,20110830,000000,16.1699,16.4227,16.017,16.3458,38674.841559007,0
SKYY.US,D,20110831,000000,16.4507,16.7225,16.3269,16.4137,63551.393116058,0
SKYY.US,D,20110901,000000,16.4047,16.5956,16.161,16.1699,72757.258341471,0
SKYY.US,D,20110902,000000,15.7602,15.8931,15.5664,15.7313,31159.236836444,0
SKYY.US,D,20110906,000000,15.3565,15.6144,15.1826,15.6144,41204.728208626,0
SKYY.US,D,20110907,000000,15.9031,16.133,15.8361,16.133,21381.945473005,0
SKYY.US,D,20110908,000000,16.036,16.1999,15.9321,15.9771,18363.694628365,0
SKYY.US,D,20110909,000000,15.8841,15.9031,15.4215,15.5464,39921.771450393,0
SKYY.US,D,20110912,000000,15.2706,15.8072,15.2706,15.8072,37326.836291192,0
SKYY.US,D,20110913,000000,15.8541,16.075,15.7692,16.056,18868.070764206,0
SKYY.US,D,20110914,000000,16.2389,16.5396,15.9591,16.3359,77758.988355234,0
SKYY.US,D,20110915,000000,16.4897,16.5296,16.2869,16.5196,48489.160535594,0
SKYY.US,D,20110916,000000,16.6546,16.6546,16.4137,16.5196,104059.601899,0
SKYY.US,D,20110919,000000,16.2479,16.4797,16.075,16.4047,24521.286620099,0
SKYY.US,D,20110920,000000,16.4997,16.5097,16.075,16.075,68287.925359984,0
SKYY.US,D,20110921,000000,16.1999,16.3458,15.8931,15.8931,24629.367220636,0
SKYY.US,D,20110922,000000,15.3845,15.5754,15.0938,15.3375,160988.05599323,0
SKYY.US,D,20110923,000000,15.1916,15.5854,15.1916,15.5664,29162.747965404,0
SKYY.US,D,20110926,000000,15.6344,15.8641,15.3845,15.8641,122522.37041118,0
SKYY.US,D,20110927,000000,16.2199,16.3947,16.017,16.084,69225.624644278,0
SKYY.US,D,20110928,000000,16.066,16.1999,15.7602,15.7982,30057.415158743,0
SKYY.US,D,20110929,000000,16.114,16.114,15.3465,15.6633,41205.728954927,0
SKYY.US,D,20110930,000000,15.5184,15.6344,15.3275,15.3275,25326.887392624,0
SKYY.US,D,20111003,000000,15.1526,15.3275,14.8269,14.8269,102704.59140707,0
SKYY.US,D,20111004,000000,14.6041,15.3086,14.6041,15.3086,83313.130327301,0
SKYY.US,D,20111005,000000,15.2796,15.8441,15.2116,15.7982,18630.893890804,0
SKYY.US,D,20111006,000000,15.8262,16.1899,15.7213,16.1899,24011.906752751,0
SKYY.US,D,20111007,000000,16.2679,16.3458,15.9771,16.075,11873.854864607,0
SKYY.US,D,20111010,000000,16.3558,16.6446,16.3359,16.5097,42734.869303273,0
SKYY.US,D,20111011,000000,16.3648,16.7025,16.3648,16.6446,57613.965310603,0
SKYY.US,D,20111012,000000,16.7695,16.8954,16.7025,16.7025,140342.65979796,0
SKYY.US,D,20111013,000000,16.6346,17.0083,16.6046,16.9604,14861.082573908,0
SKYY.US,D,20111014,000000,17.2981,17.376,17.1642,17.376,36302.072078688,0
SKYY.US,D,20111017,000000,17.2421,17.3081,16.9414,17.0282,104275.76310007,0
SKYY.US,D,20111018,000000,16.9054,17.396,16.7315,17.3561,80703.183973581,0
SKYY.US,D,20111019,000000,17.3171,17.3171,16.7895,16.7895,30883.030857293,0
