<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLQD.US,D,20131023,000000,43.5325,43.5325,43.4677,43.4677,1844.525345043,0
SLQD.US,D,20131024,000000,43.5245,43.5245,43.4517,43.4517,6369.5333868268,0
SLQD.US,D,20131025,000000,43.5155,43.5245,43.5155,43.5245,942.33367736417,0
SLQD.US,D,20131028,000000,43.5325,43.5325,43.5325,43.5325,2608.2270793072,0
SLQD.US,D,20131101,000000,43.5245,43.5245,43.5155,43.5155,556.97038438457,0
SLQD.US,D,20131105,000000,43.5155,43.5155,43.5155,43.5155,100.35502421344,0
SLQD.US,D,20131106,000000,43.5155,43.5803,43.5155,43.5803,583.06269068007,0
SLQD.US,D,20131107,000000,43.5972,43.5972,43.5873,43.5873,227.8059049645,0
SLQD.US,D,20131108,000000,43.5075,43.5075,43.4747,43.4906,1195.228338382,0
SLQD.US,D,20131111,000000,43.5245,43.5245,43.4995,43.5155,1694.9963589649,0
SLQD.US,D,20131112,000000,43.4995,43.4995,43.4906,43.4906,1157.0934291809,0
SLQD.US,D,20131113,000000,43.5524,43.5524,43.5524,43.5524,708.50647094686,0
SLQD.US,D,20131114,000000,43.5703,43.5703,43.5703,43.5703,195.6922972162,0
SLQD.US,D,20131115,000000,43.6122,43.6122,43.6122,43.6122,183.64969431059,0
SLQD.US,D,20131118,000000,43.6122,43.6291,43.6122,43.6291,1112.937218527,0
SLQD.US,D,20131119,000000,43.5424,43.5873,43.5424,43.5873,849.00350484568,0
SLQD.US,D,20131122,000000,43.6202,43.6202,43.6202,43.6202,1157.0934291809,0
SLQD.US,D,20131125,000000,43.6122,43.6291,43.6122,43.6291,1844.525345043,0
SLQD.US,D,20131126,000000,43.656,43.656,43.656,43.656,570.01653753232,0
SLQD.US,D,20131127,000000,43.673,43.673,43.656,43.663,3799.4412167207,0
SLQD.US,D,20131129,000000,43.7118,43.7118,43.7118,43.7118,15991.573108411,0
SLQD.US,D,20131202,000000,43.6361,43.6361,43.6361,43.6361,1982.0117282154,0
SLQD.US,D,20131204,000000,43.6192,43.6261,43.6192,43.6261,3270.5702391159,0
SLQD.US,D,20131205,000000,43.5942,43.6022,43.5942,43.6022,1729.1170671975,0
SLQD.US,D,20131206,000000,43.5942,43.5942,43.5853,43.5942,1613.7087893521,0
SLQD.US,D,20131209,000000,43.6102,43.6102,43.6102,43.6102,1842.5182445587,0
SLQD.US,D,20131210,000000,43.6192,43.6192,43.6192,43.6192,1027.6354479456,0
SLQD.US,D,20131211,000000,43.644,43.644,43.6361,43.6361,1006.5608928608,0
SLQD.US,D,20131212,000000,43.6022,43.6022,43.6022,43.6022,1121.9691707062,0
SLQD.US,D,20131213,000000,43.5942,43.5942,43.5942,43.5942,452.6011592026,0
SLQD.US,D,20131216,000000,43.6361,43.6361,43.6261,43.6261,700.47806900979,0
SLQD.US,D,20131217,000000,43.6192,43.6192,43.6192,43.6192,200.71004842687,0
SLQD.US,D,20131218,000000,43.6102,43.66,43.6102,43.66,8511.1096035416,0
SLQD.US,D,20131219,000000,43.6361,43.6361,43.6261,43.6361,1027.6354479456,0
SLQD.US,D,20131220,000000,43.5773,43.5942,43.5773,43.5853,2597.1880266437,0
SLQD.US,D,20131224,000000,43.5305,43.5305,43.5305,43.5305,462.63666162394,0
SLQD.US,D,20131227,000000,43.4069,43.5365,43.398,43.5185,2032.1892403221,0
SLQD.US,D,20131230,000000,43.5464,43.5553,43.5464,43.5464,1954.9158716777,0
SLQD.US,D,20131231,000000,43.5743,44.1393,43.5365,43.5743,44300.72188878,0
SLQD.US,D,20140103,000000,43.6072,43.6072,43.6072,43.6072,3712.132345655,0
SLQD.US,D,20140106,000000,43.6231,43.6231,43.4856,43.6012,5543.6115375502,0
SLQD.US,D,20140107,000000,43.6331,43.642,43.6331,43.642,3030.7217312458,0
SLQD.US,D,20140108,000000,43.6012,43.6012,43.5553,43.5553,1963.947823857,0
SLQD.US,D,20140110,000000,43.6849,43.6938,43.5553,43.6938,8668.6669915567,0
SLQD.US,D,20140113,000000,43.5833,43.5912,43.5743,43.5912,6559.2043825902,0
SLQD.US,D,20140114,000000,43.7078,43.7078,43.7078,43.7078,2066.3099485547,0
SLQD.US,D,20140115,000000,43.667,43.667,43.5464,43.5743,3464.2554358478,0
SLQD.US,D,20140116,000000,43.6072,43.676,43.6072,43.676,840.9751029086,0
SLQD.US,D,20140117,000000,43.6849,43.6938,43.6849,43.6938,32637.460974694,0
SLQD.US,D,20140121,000000,43.676,43.6938,43.642,43.676,119927.26458578,0
SLQD.US,D,20140122,000000,43.676,43.6849,43.6072,43.6072,25235.27438871,0
SLQD.US,D,20140123,000000,43.6849,43.6938,43.6162,43.676,86818.134997286,0
SLQD.US,D,20140124,000000,43.7168,43.7168,43.6162,43.667,44293.697037085,0
SLQD.US,D,20140127,000000,43.6998,43.7078,43.6012,43.6072,116966.79137148,0
SLQD.US,D,20140128,000000,43.642,43.7078,43.6072,43.7078,159392.88140796,0
SLQD.US,D,20140129,000000,43.7308,43.7308,43.659,43.6998,2612.2412802758,0
SLQD.US,D,20140130,000000,43.6938,43.7078,43.659,43.6938,2529.9501604207,0
SLQD.US,D,20140131,000000,43.7397,43.7397,43.7008,43.7228,2459.7016434713,0
SLQD.US,D,20140203,000000,43.7517,43.7517,43.7248,43.7327,917.24492131081,0
SLQD.US,D,20140204,000000,43.7805,43.7985,43.7706,43.7985,3879.7252360915,0
SLQD.US,D,20140205,000000,43.7617,43.7905,43.7018,43.7706,7982.2386259368,0
SLQD.US,D,20140206,000000,43.7617,43.7706,43.7417,43.7617,3149.1406598176,0
SLQD.US,D,20140207,000000,43.7517,43.8254,43.7517,43.8254,23130.829530955,0
SLQD.US,D,20140210,000000,43.7985,43.8075,43.7905,43.8075,2224.8708868119,0
SLQD.US,D,20140211,000000,43.7098,43.7706,43.7018,43.7706,2613.2448305179,0
SLQD.US,D,20140212,000000,43.6859,43.7805,43.678,43.6859,100052.95559055,0
SLQD.US,D,20140213,000000,43.7905,43.8075,43.7327,43.7985,19357.48062053,0
SLQD.US,D,20140214,000000,43.8075,43.8175,43.7706,43.8175,12618.640744598,0
SLQD.US,D,20140218,000000,43.7985,43.8254,43.7706,43.7905,8763.0007143173,0
SLQD.US,D,20140219,000000,43.8713,43.8713,43.7417,43.7905,11038.049113236,0
SLQD.US,D,20140220,000000,43.7098,43.8175,43.7098,43.8075,17665.494912291,0
SLQD.US,D,20140221,000000,43.7805,43.7805,43.7178,43.7517,2991.5832718026,0
SLQD.US,D,20140224,000000,43.7248,43.8075,43.7248,43.8075,1152.0756779703,0
SLQD.US,D,20140225,000000,43.7985,43.8543,43.7985,43.8443,2641.3442372977,0
SLQD.US,D,20140226,000000,43.8713,43.8942,43.8713,43.8942,1087.8484624737,0
SLQD.US,D,20140227,000000,43.8792,43.8942,43.8713,43.8942,5907.900275445,0
SLQD.US,D,20140228,000000,43.8792,43.8792,43.7905,43.7905,806.85439467603,0
SLQD.US,D,20140303,000000,43.8912,43.8992,43.8683,43.8762,4256.0565768919,0
SLQD.US,D,20140304,000000,43.8992,43.8992,43.8992,43.8992,464.64376210821,0
SLQD.US,D,20140305,000000,43.8413,43.8762,43.8145,43.8683,2889.2211471048,0
SLQD.US,D,20140306,000000,43.8413,43.8413,43.7218,43.8413,2981.5477693812,0
SLQD.US,D,20140307,000000,43.7875,43.7875,43.7218,43.7308,29124.031576981,0
SLQD.US,D,20140310,000000,43.665,43.7776,43.665,43.7676,3593.7134170832,0
SLQD.US,D,20140311,000000,43.7218,43.7218,43.7218,43.7218,101.35857445557,0
SLQD.US,D,20140312,000000,43.8513,43.8593,43.8513,43.8593,366.29583837904,0
SLQD.US,D,20140313,000000,43.8683,43.8762,43.8413,43.8413,3136.0945066699,0
SLQD.US,D,20140317,000000,43.8992,43.8992,43.8992,43.8992,501.77512106718,0
SLQD.US,D,20140318,000000,43.8842,43.8992,43.8235,43.8235,2550.0211652634,0
SLQD.US,D,20140319,000000,43.8912,43.8912,43.6311,43.649,25093.77380457,0
SLQD.US,D,20140320,000000,43.7776,43.8683,43.7776,43.8413,11125.357984301,0
SLQD.US,D,20140321,000000,43.6839,43.6839,43.6839,43.6839,1072.7952088416,0
SLQD.US,D,20140324,000000,43.7068,43.7158,43.7068,43.7158,1230.3525968567,0
SLQD.US,D,20140325,000000,43.7487,43.7487,43.7487,43.7487,175.62129237351,0
SLQD.US,D,20140326,000000,43.7875,43.8045,43.7875,43.7875,2184.7288771265,0
SLQD.US,D,20140328,000000,43.7676,43.7676,43.7676,43.7676,1371.8531809977,0
SLQD.US,D,20140401,000000,43.7686,43.8055,43.7686,43.8055,1001.5431416501,0
SLQD.US,D,20140402,000000,43.7308,43.7785,43.7078,43.7785,2700.5537015836,0
SLQD.US,D,20140403,000000,43.7885,43.7885,43.7885,43.7885,230.8165556909,0
SLQD.US,D,20140404,000000,43.8523,43.8523,43.8323,43.8523,4824.0660139399,0
SLQD.US,D,20140407,000000,43.8922,43.8922,43.8922,43.8922,126.44733050893,0
SLQD.US,D,20140408,000000,43.9161,43.926,43.9161,43.926,4176.7761077632,0
SLQD.US,D,20140409,000000,43.9081,43.9081,43.9081,43.9081,970.43308414393,0
SLQD.US,D,20140410,000000,43.8852,43.8852,43.8852,43.8852,462.63666162394,0
SLQD.US,D,20140411,000000,43.964,44.0018,43.964,44.0018,7483.474155596,0
SLQD.US,D,20140414,000000,43.9828,43.9828,43.9828,43.9828,393.39169491667,0
SLQD.US,D,20140415,000000,44.0018,44.0018,44.0018,44.0018,696.46386804125,0
SLQD.US,D,20140416,000000,43.9728,43.9728,43.8772,43.8772,8536.1983595949,0
SLQD.US,D,20140417,000000,43.935,43.935,43.8423,43.8423,340.20353208355,0
SLQD.US,D,20140421,000000,43.926,43.935,43.8523,43.9081,1023.6212469771,0
SLQD.US,D,20140422,000000,43.8323,43.9081,43.8323,43.9081,12638.711749441,0
SLQD.US,D,20140423,000000,43.935,43.955,43.935,43.945,10391.762757301,0
SLQD.US,D,20140425,000000,43.9081,43.9081,43.9081,43.9081,349.23548426276,0
SLQD.US,D,20140428,000000,43.935,43.935,43.935,43.935,3364.9039618765,0
SLQD.US,D,20140429,000000,43.9161,43.9161,43.9002,43.9161,2965.4909655071,0
SLQD.US,D,20140501,000000,43.9689,43.9689,43.8972,43.8972,725.56682506315,0
SLQD.US,D,20140502,000000,43.9868,43.9868,43.96,43.9868,1119.962070222,0
SLQD.US,D,20140505,000000,43.9968,43.9968,43.9968,43.9968,1780.2981295464,0
SLQD.US,D,20140506,000000,43.9689,43.9689,43.9121,43.9689,4873.2399758045,0
SLQD.US,D,20140507,000000,44.0147,44.0147,43.9778,44.0147,5540.6008868238,0
SLQD.US,D,20140508,000000,44.0337,44.0337,44.0337,44.0337,542.92068099469,0
SLQD.US,D,20140509,000000,44.0337,44.0426,44.0337,44.0426,5300.7523789537,0
SLQD.US,D,20140512,000000,44.0237,44.0337,43.9689,43.9968,8502.0776513624,0
SLQD.US,D,20140513,000000,44.0337,44.0426,43.9968,44.0426,5185.3441011083,0
SLQD.US,D,20140514,000000,44.0985,44.0985,44.0985,44.0985,446.57985774979,0
