<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLVO.US,D,20130419,000000,143.285,144.907,141.588,143.196,347.32980388482,0
SLVO.US,D,20130422,000000,145.427,145.427,144.033,144.663,138.26773039763,0
SLVO.US,D,20130423,000000,141.677,141.677,140.785,141.426,383.7548903144,0
SLVO.US,D,20130424,000000,143.411,143.411,141.677,142.881,400.6232371414,0
SLVO.US,D,20130425,000000,147.647,150.004,146.187,150.004,414.43419610601,0
SLVO.US,D,20130426,000000,150.004,150.004,146.732,147.266,3071.2515349433,0
SLVO.US,D,20130429,000000,149.188,149.814,149.02,149.688,209.85277724472,0
SLVO.US,D,20130430,000000,149.188,149.278,148.891,149.278,48.33835637614,0
SLVO.US,D,20130501,000000,144.907,145.805,143.743,145.805,1147.2584385717,0
SLVO.US,D,20130502,000000,148.183,148.183,146.951,146.951,386.75956459295,0
SLVO.US,D,20130503,000000,159.17,159.17,147.647,147.783,378.64167268245,0
SLVO.US,D,20130506,000000,151.203,151.203,147.647,150.147,538.94368112287,0
SLVO.US,D,20130507,000000,149.447,155.602,144.815,147.725,2111.2844597352,0
SLVO.US,D,20130508,000000,147.48,148.183,147.266,147.266,235.20801106907,0
SLVO.US,D,20130509,000000,147.71,147.725,146.248,146.248,511.32176319364,0
SLVO.US,D,20130510,000000,144.786,146.429,143.806,146.294,484.38512185426,0
SLVO.US,D,20130513,000000,146.887,146.887,145.974,146.003,207.58609313985,0
SLVO.US,D,20130514,000000,144.304,145.427,144.304,144.726,808.57366243579,0
SLVO.US,D,20130515,000000,142.065,142.065,139.205,139.205,4934.8875778244,0
SLVO.US,D,20130516,000000,140.323,140.323,140.323,140.323,13.916386132279,0
SLVO.US,D,20130517,000000,139.92,140.078,137.763,137.861,1160.7531160333,0
SLVO.US,D,20130520,000000,134.343,142.561,134.13,140.702,854.06548528486,0
SLVO.US,D,20130521,000000,138.326,139.264,137.861,139.029,492.92472243542,0
SLVO.US,D,20130522,000000,140.702,143.257,137.932,138.641,1611.6123985689,0
SLVO.US,D,20130523,000000,138.999,140.426,138.061,140.426,68.316804649373,0
SLVO.US,D,20130524,000000,145.777,145.777,139.131,139.205,414.2760553545,0
SLVO.US,D,20130528,000000,138.769,139.7,138.486,138.486,616.11636785639,0
SLVO.US,D,20130529,000000,139.264,139.92,139.264,139.805,903.668967673,0
SLVO.US,D,20130530,000000,142.484,142.928,141.119,141.368,581.53625686104,0
SLVO.US,D,20130531,000000,157.356,157.356,138.033,138.033,2886.2795692684,0
SLVO.US,D,20130603,000000,139.131,141.978,139.131,141.218,834.6668864338,0
SLVO.US,D,20130604,000000,149.034,149.034,138.999,139.805,868.03458500095,0
SLVO.US,D,20130605,000000,139.45,140.444,139.45,140.133,143.48637519723,0
SLVO.US,D,20130606,000000,139.92,141.246,139.92,141.068,233.36303563486,0
SLVO.US,D,20130607,000000,137.052,137.384,134.781,134.781,1320.3171343002,0
SLVO.US,D,20130610,000000,135.741,137.052,135.741,137.052,560.7671048303,0
SLVO.US,D,20130611,000000,135.159,135.159,135.102,135.102,410.58610448609,0
SLVO.US,D,20130612,000000,134.965,136.394,134.965,135.954,951.00576595632,0
SLVO.US,D,20130613,000000,135.87,135.87,134.781,135.159,547.90499037467,0
SLVO.US,D,20130614,000000,136.859,137.213,136.859,137.213,82.285904365487,0
SLVO.US,D,20130617,000000,139.45,139.45,136.105,136.332,1180.0462877168,0
SLVO.US,D,20130618,000000,141.814,141.814,134.904,135.624,15861.780943688,0
SLVO.US,D,20130619,000000,135.99,136.035,133.705,133.705,632.77386034808,0
SLVO.US,D,20130620,000000,130.03,130.03,123.729,123.778,2435.5784274843,0
SLVO.US,D,20130621,000000,125.379,126.883,125.379,126.288,798.45265433954,0
SLVO.US,D,20130624,000000,124.841,124.905,123.598,124.079,1006.3023153986,0
SLVO.US,D,20130625,000000,124.587,124.587,123.649,123.7,385.70529291626,0
SLVO.US,D,20130626,000000,119.719,120.011,117.579,117.579,1860.842222938,0
SLVO.US,D,20130627,000000,118.361,119.078,116.995,117.128,1389.2665019555,0
SLVO.US,D,20130628,000000,118.713,122.052,118.713,121.998,717.48458956995,0
