<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMCP.US,D,20150422,000000,25.015,25.015,24.652,24.868,482165,0
SMCP.US,D,20150424,000000,25.035,25.134,24.995,25.025,14984,0
SMCP.US,D,20150427,000000,25.085,25.144,24.555,24.604,7237,0
SMCP.US,D,20150428,000000,25.104,25.124,24.574,24.868,15290,0
SMCP.US,D,20150429,000000,24.986,24.986,24.986,24.986,103,0
SMCP.US,D,20150501,000000,24.231,24.318,24.231,24.318,3772,0
SMCP.US,D,20150504,000000,24.477,24.477,24.447,24.447,407,0
SMCP.US,D,20150505,000000,24.328,24.328,24.231,24.251,612,0
SMCP.US,D,20150506,000000,24.241,24.271,24.172,24.172,4077,0
SMCP.US,D,20150507,000000,24.231,24.338,24.231,24.338,1462,0
SMCP.US,D,20150508,000000,24.408,24.408,24.408,24.408,306,0
SMCP.US,D,20150511,000000,24.594,24.594,24.535,24.535,306,0
SMCP.US,D,20150512,000000,24.134,24.134,23.986,24.12,4551,0
SMCP.US,D,20150513,000000,24.398,24.398,24.181,24.181,510,0
SMCP.US,D,20150514,000000,24.418,24.427,24.398,24.398,3262,0
SMCP.US,D,20150515,000000,24.389,24.408,24.389,24.408,612,0
SMCP.US,D,20150518,000000,24.476,24.476,24.398,24.398,7523,0
SMCP.US,D,20150519,000000,24.525,24.574,24.525,24.545,3262,0
SMCP.US,D,20150520,000000,24.545,24.624,24.545,24.624,816,0
SMCP.US,D,20150521,000000,24.781,24.781,24.771,24.771,816,0
SMCP.US,D,20150522,000000,24.771,24.771,24.741,24.741,204,0
SMCP.US,D,20150526,000000,24.538,24.538,24.318,24.338,917,0
SMCP.US,D,20150527,000000,24.644,24.644,24.644,24.644,306,0
SMCP.US,D,20150528,000000,24.644,24.644,24.524,24.525,569,0
SMCP.US,D,20150529,000000,24.564,24.574,24.564,24.574,917,0
SMCP.US,D,20150601,000000,24.662,24.662,24.662,24.662,103,0
SMCP.US,D,20150602,000000,24.799,24.799,24.799,24.799,126,0
SMCP.US,D,20150603,000000,24.958,25.114,24.958,25.045,85626,0
SMCP.US,D,20150604,000000,24.958,24.958,24.858,24.868,30173,0
SMCP.US,D,20150605,000000,24.838,24.858,24.791,24.82,5097,0
SMCP.US,D,20150609,000000,24.711,24.801,24.711,24.771,20966,0
SMCP.US,D,20150610,000000,25.095,25.095,25.085,25.085,25989,0
SMCP.US,D,20150611,000000,25.005,25.104,24.958,25.104,26259,0
SMCP.US,D,20150612,000000,24.986,25.104,24.986,25.104,713,0
SMCP.US,D,20150615,000000,24.711,25.104,24.711,25.085,33333,0
SMCP.US,D,20150616,000000,24.986,24.986,24.986,24.986,29256,0
SMCP.US,D,20150617,000000,25.271,25.271,25.005,25.005,9174,0
SMCP.US,D,20150618,000000,25.261,25.261,25.261,25.261,1020,0
SMCP.US,D,20150619,000000,25.163,25.163,25.114,25.114,407,0
SMCP.US,D,20150623,000000,25.212,25.251,25.212,25.251,518,0
SMCP.US,D,20150624,000000,25.605,25.968,25.281,25.301,9480,0
SMCP.US,D,20150625,000000,24.986,24.986,24.781,24.828,2039,0
SMCP.US,D,20150626,000000,24.604,24.604,24.604,24.604,816,0
SMCP.US,D,20150630,000000,24.318,24.318,24.318,24.318,1295,0
SMCP.US,D,20150707,000000,23.652,24.134,23.614,24.134,3466,0
SMCP.US,D,20150710,000000,24.211,24.427,24.211,24.427,2344,0
SMCP.US,D,20150713,000000,24.594,24.594,24.505,24.584,1121,0
SMCP.US,D,20150714,000000,24.624,24.721,24.624,24.721,30754,0
SMCP.US,D,20150715,000000,24.624,24.665,24.472,24.472,32974,0
SMCP.US,D,20150716,000000,24.594,24.634,24.564,24.634,1121,0
SMCP.US,D,20150717,000000,24.564,24.564,24.545,24.545,407,0
SMCP.US,D,20150720,000000,24.525,24.525,24.525,24.525,510,0
SMCP.US,D,20150721,000000,24.564,24.634,24.564,24.634,1733,0
SMCP.US,D,20150723,000000,25.005,25.005,24.594,24.594,1427,0
SMCP.US,D,20150727,000000,23.848,23.858,23.828,23.858,1835,0
SMCP.US,D,20150728,000000,23.691,24.015,23.614,24.015,2854,0
SMCP.US,D,20150729,000000,24.064,24.064,24.064,24.064,103,0
SMCP.US,D,20150730,000000,23.976,24.134,23.976,24.094,4384,0
SMCP.US,D,20150731,000000,24.005,24.005,24.005,24.005,103,0
SMCP.US,D,20150803,000000,23.838,24.044,23.721,23.79,1601,0
SMCP.US,D,20150804,000000,23.878,23.878,23.878,23.878,306,0
SMCP.US,D,20150810,000000,24.309,24.495,24.3,24.495,1326,0
SMCP.US,D,20150811,000000,24.408,24.408,24.3,24.3,1807,0
SMCP.US,D,20150814,000000,23.957,23.957,23.957,23.957,103,0
SMCP.US,D,20150818,000000,23.632,23.632,23.632,23.632,407,0
SMCP.US,D,20150819,000000,23.377,23.377,23.377,23.377,204,0
SMCP.US,D,20150820,000000,22.965,22.965,22.965,22.965,917,0
SMCP.US,D,20150821,000000,22.298,22.298,22.132,22.132,1631,0
SMCP.US,D,20150824,000000,21.385,21.385,21.338,21.347,1733,0
SMCP.US,D,20150825,000000,21.21,22.279,21.21,21.808,3567,0
SMCP.US,D,20150826,000000,21.925,21.925,21.877,21.905,1733,0
SMCP.US,D,20150901,000000,23.142,23.142,22.435,22.445,4384,0
SMCP.US,D,20150902,000000,22.407,22.407,22.407,22.407,407,0
SMCP.US,D,20150903,000000,22.917,22.917,22.857,22.857,3567,0
SMCP.US,D,20150908,000000,23.211,23.211,22.73,22.946,816,0
SMCP.US,D,20150909,000000,23.201,23.201,23.064,23.064,1020,0
SMCP.US,D,20150910,000000,22.72,22.72,22.72,22.72,1253,0
SMCP.US,D,20150911,000000,22.583,22.583,22.563,22.563,917,0
SMCP.US,D,20150916,000000,22.75,22.76,22.72,22.73,2039,0
SMCP.US,D,20150917,000000,22.769,23.319,22.769,23.319,3058,0
SMCP.US,D,20150921,000000,22.592,22.632,22.583,22.632,3466,0
SMCP.US,D,20150923,000000,21.995,22.043,21.995,22.043,204,0
SMCP.US,D,20150928,000000,21.111,21.111,21.111,21.111,697,0
SMCP.US,D,20150929,000000,22.043,22.043,20.788,20.788,7136,0
SMCP.US,D,20150930,000000,20.69,21.014,20.68,21.014,7951,0
SMCP.US,D,20151001,000000,20.925,20.925,20.718,20.768,510,0
SMCP.US,D,20151005,000000,21.828,22.073,21.778,22.073,1349,0
SMCP.US,D,20151006,000000,22.142,22.142,22.005,22.073,6626,0
SMCP.US,D,20151007,000000,22.652,22.652,22.22,22.495,1427,0
SMCP.US,D,20151009,000000,22.779,22.779,22.73,22.73,1631,0
SMCP.US,D,20151012,000000,22.791,22.791,22.791,22.791,713,0
SMCP.US,D,20151013,000000,22.819,22.819,22.377,22.377,204,0
SMCP.US,D,20151016,000000,22.367,22.367,22.367,22.367,204,0
SMCP.US,D,20151019,000000,22.328,22.328,22.23,22.23,816,0
SMCP.US,D,20151020,000000,22.383,22.383,22.043,22.249,18854,0
SMCP.US,D,20151021,000000,22.298,22.298,21.965,21.965,713,0
SMCP.US,D,20151023,000000,22.563,22.563,22.132,22.23,1121,0
SMCP.US,D,20151026,000000,22.053,22.053,22.053,22.053,407,0
SMCP.US,D,20151028,000000,22.033,22.033,22.033,22.033,306,0
SMCP.US,D,20151103,000000,22.7,22.7,22.7,22.7,103,0
SMCP.US,D,20151104,000000,22.445,22.445,22.445,22.445,306,0
SMCP.US,D,20151105,000000,22.652,22.652,22.652,22.652,510,0
SMCP.US,D,20151110,000000,22.298,22.298,22.161,22.161,306,0
SMCP.US,D,20151111,000000,22.417,22.417,21.857,21.867,1223,0
SMCP.US,D,20151112,000000,21.749,21.788,21.69,21.788,1427,0
SMCP.US,D,20151117,000000,21.621,21.758,21.602,21.758,3466,0
SMCP.US,D,20151124,000000,21.828,22.005,21.828,21.945,1326,0
SMCP.US,D,20151125,000000,22.259,22.288,22.259,22.288,816,0
SMCP.US,D,20151130,000000,22.269,22.417,22.269,22.417,1936,0
SMCP.US,D,20151201,000000,22.28,22.472,22.28,22.472,2547,0
SMCP.US,D,20151203,000000,21.347,22.387,21.347,22.387,2682,0
