<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMH.US,D,20050225,000000,13.0195,13.3503,13.0195,13.334,70132280.976673,0
SMH.US,D,20050228,000000,13.3463,13.5322,13.0922,13.1609,87379249.291275,0
SMH.US,D,20050301,000000,13.2984,13.4951,13.2771,13.467,79827506.297611,0
SMH.US,D,20050302,000000,13.3018,13.4951,13.201,13.2771,103565643.9314,0
SMH.US,D,20050303,000000,13.3463,13.3582,13.0195,13.1372,87088239.208757,0
SMH.US,D,20050304,000000,13.2702,13.3419,13.0724,13.1649,95424196.423611,0
SMH.US,D,20050307,000000,13.197,13.5154,13.1565,13.4061,65256145.808569,0
SMH.US,D,20050308,000000,13.2939,13.4754,13.1441,13.1565,64044492.450536,0
SMH.US,D,20050309,000000,13.201,13.3582,13.1481,13.1847,64403969.901395,0
SMH.US,D,20050310,000000,13.2331,13.3582,13.0512,13.3379,92396055.177311,0
SMH.US,D,20050311,000000,13.3903,13.419,12.935,12.9874,119275964.92837,0
SMH.US,D,20050314,000000,13.0314,13.064,12.9266,13.0195,43799897.785755,0
SMH.US,D,20050315,000000,13.0274,13.0878,12.7699,12.802,66097409.090489,0
SMH.US,D,20050316,000000,12.7175,12.9226,12.6176,12.6562,75864809.442805,0
SMH.US,D,20050317,000000,12.6448,12.7654,12.6092,12.6695,60506779.13905,0
SMH.US,D,20050318,000000,12.6853,12.7417,12.5237,12.5598,71069053.496631,0
SMH.US,D,20050321,000000,12.6003,12.6888,12.4357,12.5756,79803933.40888,0
SMH.US,D,20050322,000000,12.6448,12.7204,12.3951,12.403,68128741.184738,0
SMH.US,D,20050323,000000,12.4194,12.674,12.411,12.585,88834022.589937,0
SMH.US,D,20050324,000000,12.7175,12.7382,12.6003,12.6403,56856687.026115,0
SMH.US,D,20050328,000000,12.674,12.8144,12.5968,12.6048,45913846.240679,0
SMH.US,D,20050329,000000,12.5598,12.6695,12.411,12.4554,71603436.360956,0
SMH.US,D,20050330,000000,12.5163,12.7382,12.4757,12.7338,64282656.70407,0
SMH.US,D,20050331,000000,12.7175,12.7175,12.5598,12.5924,68153046.301521,0
SMH.US,D,20050401,000000,12.674,12.7175,12.3749,12.4194,76226772.828129,0
SMH.US,D,20050404,000000,12.4757,12.4831,12.2864,12.411,60001428.510176,0
SMH.US,D,20050405,000000,12.411,12.5519,12.3709,12.4233,75704803.454291,0
SMH.US,D,20050406,000000,12.5039,12.5924,12.407,12.4312,60895288.825361,0
SMH.US,D,20050407,000000,12.3783,12.6606,12.3749,12.6492,55294478.476721,0
SMH.US,D,20050408,000000,12.6206,12.7204,12.5677,12.5756,49652254.765812,0
SMH.US,D,20050411,000000,12.5519,12.6245,12.4554,12.4718,36885975.993803,0
SMH.US,D,20050412,000000,12.4401,12.451,12.1,12.4194,94581199.662572,0
SMH.US,D,20050413,000000,12.3264,12.3581,12.0847,12.1578,68227476.676209,0
SMH.US,D,20050414,000000,12.1252,12.1534,11.9477,11.964,69180123.576702,0
SMH.US,D,20050415,000000,11.8226,11.8385,11.5685,11.5809,83012928.915888,0
SMH.US,D,20050418,000000,11.5848,11.8345,11.5809,11.7257,97210416.188746,0
SMH.US,D,20050419,000000,11.964,12.0357,11.8553,11.9838,68759118.742163,0
SMH.US,D,20050420,000000,12.1934,12.1934,11.7584,11.7781,97229516.822716,0
SMH.US,D,20050421,000000,11.9433,12.1321,11.8909,12.1128,66583157.448496,0
SMH.US,D,20050422,000000,12.0926,12.0926,11.6526,11.8671,58668955.500798,0
SMH.US,D,20050425,000000,11.9433,12.0154,11.8745,11.9354,41513778.647548,0
SMH.US,D,20050426,000000,11.9032,12.2181,11.8464,11.9111,74517712.099678,0
SMH.US,D,20050427,000000,11.7905,12.0402,11.7707,11.9794,67338333.366046,0
SMH.US,D,20050428,000000,11.9309,12.0847,11.8627,11.9151,88447011.746131,0
SMH.US,D,20050429,000000,11.9685,12.0243,11.7089,11.9309,75000230.158791,0
SMH.US,D,20050502,000000,11.9685,12.053,11.9309,11.9838,35796139.492721,0
SMH.US,D,20050503,000000,11.924,12.1039,11.924,12.012,49889676.677648,0
SMH.US,D,20050504,000000,12.0639,12.3061,12.0402,12.2503,58273750.580088,0
SMH.US,D,20050505,000000,12.2256,12.411,12.2256,12.3106,68257738.731152,0
SMH.US,D,20050506,000000,12.3749,12.4401,12.2864,12.3951,43642120.845068,0
SMH.US,D,20050509,000000,12.3877,12.491,12.3017,12.4831,41511302.826731,0
SMH.US,D,20050510,000000,12.4312,12.4554,12.2938,12.3467,46591369.575565,0
SMH.US,D,20050511,000000,12.403,12.4233,12.1727,12.3833,59026691.381622,0
SMH.US,D,20050512,000000,12.3877,12.5519,12.3304,12.403,72395573.613308,0
SMH.US,D,20050513,000000,12.54,12.802,12.4831,12.7096,90878255.652465,0
SMH.US,D,20050516,000000,12.6967,12.8144,12.6245,12.7615,49192302.276175,0
SMH.US,D,20050517,000000,12.6967,12.8905,12.6853,12.8707,62896093.887112,0
SMH.US,D,20050518,000000,12.8707,13.0116,12.7536,12.9681,58581630.226019,0
SMH.US,D,20050519,000000,12.9721,13.1243,12.8747,12.9681,71820752.342298,0
SMH.US,D,20050520,000000,12.9681,13.1159,12.8905,13.1006,48382057.550003,0
SMH.US,D,20050523,000000,13.1481,13.1772,12.9721,13.0724,61157754.15022,0
SMH.US,D,20050524,000000,13.0274,13.2855,13.0116,13.2771,71503206.072439,0
SMH.US,D,20050525,000000,13.2613,13.2613,13.0838,13.2128,61028756.603806,0
SMH.US,D,20050526,000000,13.29,13.467,13.2771,13.4472,54653926.590283,0
SMH.US,D,20050527,000000,13.3859,13.4111,13.2257,13.3666,52467788.944874,0
SMH.US,D,20050531,000000,13.3982,13.4343,13.2811,13.3176,59142061.799893,0
SMH.US,D,20050601,000000,13.2657,13.4991,13.2331,13.3982,88777958.598437,0
SMH.US,D,20050602,000000,13.3503,13.6049,13.3419,13.5925,64668182.864478,0
SMH.US,D,20050603,000000,13.597,13.641,13.463,13.4788,61267420.471509,0
SMH.US,D,20050606,000000,13.4343,13.459,13.2984,13.4269,40330659.933528,0
SMH.US,D,20050607,000000,13.4472,13.6009,13.2168,13.2539,69338903.791184,0
SMH.US,D,20050608,000000,13.3626,13.463,13.29,13.3814,67885857.903452,0
SMH.US,D,20050609,000000,13.3666,13.6687,13.2771,13.6642,85335762.615906,0
