<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNSR.US,D,20160916,000000,14.7174,14.7174,14.6356,14.6615,3564.1249049084,0
SNSR.US,D,20160919,000000,14.8042,14.8421,14.6695,14.6984,18983.274943466,0
SNSR.US,D,20160920,000000,14.8521,15.7021,14.6206,15.7021,4592.4691547498,0
SNSR.US,D,20160921,000000,14.8421,14.8421,14.6984,14.7882,9981.7547604001,0
SNSR.US,D,20160922,000000,15.0446,15.0935,14.9688,15.0935,36880.073116144,0
SNSR.US,D,20160923,000000,15.0935,15.0935,14.886,14.9239,9333.2764663968,0
SNSR.US,D,20160926,000000,14.89,14.89,14.7244,14.7553,10913.879665227,0
SNSR.US,D,20160927,000000,14.8042,14.9,14.7653,14.873,7360.7798936016,0
SNSR.US,D,20160928,000000,14.9688,14.9858,14.8471,14.9588,10653.285605813,0
SNSR.US,D,20160929,000000,14.9049,14.9049,14.6884,14.6884,3006.8545317,0
SNSR.US,D,20160930,000000,14.9957,15.1514,14.9189,15.1224,6039.7684693414,0
SNSR.US,D,20161003,000000,15.1913,15.1913,14.9688,14.9688,9156.8743338704,0
SNSR.US,D,20161004,000000,15.1125,15.1125,14.9089,14.9119,14184.335110873,0
SNSR.US,D,20161005,000000,15.0247,15.1175,15.0057,15.0636,17115.015994436,0
SNSR.US,D,20161006,000000,15.0835,15.1025,14.9818,15.1025,2721.2033511885,0
SNSR.US,D,20161007,000000,15.1324,15.1324,14.866,14.9957,7141.2795127875,0
SNSR.US,D,20161010,000000,15.1125,15.1125,14.9588,14.9588,8315.9573498383,0
SNSR.US,D,20161011,000000,14.9089,14.9089,14.5228,14.6106,14980.149276929,0
SNSR.US,D,20161012,000000,14.6106,14.6106,14.4759,14.5248,16360.29550698,0
SNSR.US,D,20161013,000000,14.4859,14.4859,14.3123,14.456,10811.646611149,0
SNSR.US,D,20161014,000000,14.5338,14.5338,14.3582,14.3582,16163.847677575,0
SNSR.US,D,20161017,000000,14.4859,14.4859,14.3981,14.4091,10421.757806872,0
SNSR.US,D,20161018,000000,14.5907,14.5907,14.46,14.4859,4367.9573497162,0
SNSR.US,D,20161019,000000,14.5338,14.5438,14.446,14.5338,6009.6999240244,0
