<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOCL.US,D,20111117,000000,14.2707,14.2806,13.8531,13.9209,9036.7636687845,0
SOCL.US,D,20111118,000000,14.2029,14.2029,13.9209,13.9887,3668.8959437064,0
SOCL.US,D,20111121,000000,13.6977,13.7067,13.1536,13.2602,8527.9753089762,0
SOCL.US,D,20111122,000000,13.2901,13.3081,12.9404,13.0848,37271.005292466,0
SOCL.US,D,20111123,000000,12.6095,12.8238,12.4919,12.5318,13192.370370887,0
SOCL.US,D,20111125,000000,12.5806,12.5806,12.3385,12.3385,6489.8112877323,0
SOCL.US,D,20111128,000000,12.6285,12.7062,12.4351,12.4441,5427.0758379552,0
SOCL.US,D,20111129,000000,12.3863,12.5906,12.3863,12.5707,2839.982363427,0
SOCL.US,D,20111130,000000,12.9683,12.9683,12.764,12.9683,44150.185186915,0
SOCL.US,D,20111201,000000,13.0848,13.1038,12.9882,13.1038,16521.070547385,0
SOCL.US,D,20111202,000000,13.4645,13.5512,13.3967,13.4446,6968.4938274336,0
SOCL.US,D,20111205,000000,13.6877,13.6877,13.4844,13.4844,3867.5943564126,0
SOCL.US,D,20111206,000000,13.2602,13.338,13.2602,13.338,5892.7125222768,0
SOCL.US,D,20111207,000000,13.3768,13.3967,13.1137,13.3967,9285.6384483357,0
SOCL.US,D,20111208,000000,13.1636,13.1636,13.0649,13.0649,2572.0405644747,0
SOCL.US,D,20111209,000000,13.3479,13.3479,13.0848,13.2403,5053.7636686284,0
SOCL.US,D,20111212,000000,12.8138,13.0948,12.8138,13.0071,7875.6825399912,0
SOCL.US,D,20111213,000000,13.2014,13.2014,12.9972,12.9972,4055.2539684129,0
SOCL.US,D,20111214,000000,12.6872,12.6872,12.5318,12.5318,1831.4373898425,0
SOCL.US,D,20111215,000000,12.6872,12.6872,12.6872,12.6872,205.7231040645,0
SOCL.US,D,20111216,000000,12.5806,12.5806,12.5019,12.5806,617.1693121935,0
SOCL.US,D,20111219,000000,12.5318,12.5318,12.4351,12.4351,2161.5978836826,0
SOCL.US,D,20111220,000000,12.745,12.8327,12.6384,12.8238,1549.4462081736,0
SOCL.US,D,20111221,000000,12.8417,12.8417,12.464,12.5119,1859.5361552757,0
SOCL.US,D,20111222,000000,12.5019,12.7251,12.5019,12.7251,3962.9294534181,0
SOCL.US,D,20111223,000000,12.8038,12.8238,12.7351,12.7351,1191.1869489003,0
SOCL.US,D,20111227,000000,12.745,12.745,12.745,12.745,1029.6190476594,0
SOCL.US,D,20111228,000000,12.6384,12.6384,12.6384,12.6384,3087.8536156413,0
SOCL.US,D,20111229,000000,12.5318,12.6285,12.5019,12.5806,1866.560846634,0
SOCL.US,D,20111230,000000,12.7062,12.8517,12.7062,12.7251,309.0864197652,0
SOCL.US,D,20120103,000000,12.9593,13.046,12.9005,12.9105,6792.8765434761,0
SOCL.US,D,20120104,000000,12.8327,12.8517,12.7739,12.8517,719.5291005573,0
SOCL.US,D,20120105,000000,12.7161,12.7939,12.6962,12.7939,3093.8747796627,0
SOCL.US,D,20120106,000000,12.5019,12.6285,12.3863,12.3863,2171.6331570516,0
SOCL.US,D,20120109,000000,12.3863,12.3863,12.1442,12.2119,3808.3862435355,0
SOCL.US,D,20120112,000000,12.6773,12.6872,12.6773,12.6872,513.8059964928,0
SOCL.US,D,20120113,000000,12.6384,12.7839,12.6384,12.7062,1529.3756614356,0
SOCL.US,D,20120117,000000,12.8616,12.9005,12.8616,12.9005,205.7231040645,0
SOCL.US,D,20120118,000000,12.9683,12.9683,12.9593,12.9593,1749.1481482167,0
SOCL.US,D,20120123,000000,13.3479,13.3479,13.2403,13.2403,309.0864197652,0
SOCL.US,D,20120124,000000,13.1337,13.1636,13.1237,13.1636,617.1693121935,0
SOCL.US,D,20120125,000000,13.1237,13.2014,13.1237,13.2014,1299.5679012855,0
SOCL.US,D,20120126,000000,13.1137,13.1725,13.1137,13.1137,411.446208129,0
SOCL.US,D,20120127,000000,13.3579,13.8721,13.1137,13.7943,16670.596120583,0
SOCL.US,D,20120130,000000,13.8432,14.0474,13.6977,13.8721,34325.652558665,0
SOCL.US,D,20120131,000000,14.164,14.2806,13.8432,13.8432,59994.87830923,0
SOCL.US,D,20120201,000000,14.2707,14.2707,14.0385,14.174,128912.11817084,0
SOCL.US,D,20120202,000000,14.3783,14.6503,14.0873,14.465,181542.10935456,0
SOCL.US,D,20120203,000000,15.0579,15.0579,14.7171,14.7858,217185.39330657,0
SOCL.US,D,20120206,000000,14.8137,14.8137,14.4171,14.5238,146120.604944,0
SOCL.US,D,20120207,000000,14.4371,14.5238,14.2318,14.4749,56247.707233245,0
SOCL.US,D,20120208,000000,14.6683,14.6872,14.4371,14.6204,20771.008819156,0
SOCL.US,D,20120209,000000,14.8626,14.8626,14.4371,14.5148,35908.215168956,0
SOCL.US,D,20120210,000000,14.3783,14.6503,14.3295,14.5337,84935.543213205,0
SOCL.US,D,20120213,000000,14.7759,15.5432,14.5826,15.5432,106722.1216973,0
SOCL.US,D,20120214,000000,14.7659,14.8626,14.6304,14.7659,41918.34038965,0
SOCL.US,D,20120215,000000,14.6972,14.736,14.4371,14.5437,55433.846563019,0
SOCL.US,D,20120216,000000,14.5437,14.7071,14.3484,14.6503,28142.920636024,0
SOCL.US,D,20120217,000000,14.5915,14.5915,14.3972,14.4849,24546.278660574,0
SOCL.US,D,20120221,000000,14.4371,14.6204,14.3105,14.4749,20425.795415263,0
SOCL.US,D,20120222,000000,14.4271,14.4271,14.2218,14.2607,15764.410935362,0
SOCL.US,D,20120223,000000,14.3584,14.446,14.183,14.446,19721.319224759,0
SOCL.US,D,20120224,000000,14.5626,14.5726,14.4849,14.5437,25296.917108575,0
SOCL.US,D,20120227,000000,14.4749,14.6105,14.4072,14.6105,3776.2733687547,0
SOCL.US,D,20120228,000000,14.6872,15.1356,14.6872,15.0479,37962.43562759,0
SOCL.US,D,20120229,000000,15.019,15.028,14.7261,14.8038,11547.589065708,0
SOCL.US,D,20120301,000000,14.8038,14.9114,14.6404,14.9114,15163.298060559,0
SOCL.US,D,20120302,000000,14.8825,15.1745,14.8825,15.0669,44711.156968243,0
SOCL.US,D,20120305,000000,15.0768,15.0768,14.6972,14.7171,23931.116403054,0
SOCL.US,D,20120306,000000,14.5726,14.5826,14.3783,14.4271,19687.199295304,0
SOCL.US,D,20120307,000000,14.5537,14.6105,14.4271,14.5626,17397.149912498,0
SOCL.US,D,20120308,000000,14.6872,14.8137,14.5826,14.7938,17606.88712591,0
SOCL.US,D,20120309,000000,14.6583,14.7759,14.6583,14.746,4235.8888890549,0
SOCL.US,D,20120312,000000,14.8137,14.9403,14.6204,14.6972,9383.9841273519,0
SOCL.US,D,20120313,000000,14.7261,14.8237,14.6503,14.8237,18948.603175346,0
SOCL.US,D,20120314,000000,14.6204,14.6204,14.3105,14.4171,20203.012346471,0
SOCL.US,D,20120315,000000,14.446,14.446,14.3195,14.3873,36584.592594026,0
SOCL.US,D,20120316,000000,14.4072,14.7261,14.4072,14.7261,30935.737214616,0
SOCL.US,D,20120319,000000,14.4271,14.6772,14.4271,14.6304,67598.604940921,0
SOCL.US,D,20120320,000000,14.5048,14.5048,14.2806,14.4949,29477.611994101,0
SOCL.US,D,20120321,000000,14.7938,14.8436,14.6105,14.7071,37094.384481172,0
SOCL.US,D,20120322,000000,14.8038,14.9214,14.7858,14.8825,48418.186950751,0
SOCL.US,D,20120323,000000,14.9503,14.9503,14.7858,14.8725,18602.386244115,0
SOCL.US,D,20120326,000000,14.8436,14.9602,14.7171,14.8137,59699.841272181,0
SOCL.US,D,20120327,000000,14.9303,15.028,14.7261,14.9114,44945.982365077,0
SOCL.US,D,20120328,000000,14.8825,14.9024,14.6683,14.756,23845.816579418,0
SOCL.US,D,20120329,000000,14.8436,14.8725,14.6772,14.8725,22986.797179031,0
SOCL.US,D,20120330,000000,14.9602,15.0459,14.8626,14.9503,17414.209877226,0
SOCL.US,D,20120402,000000,14.8337,15.0579,14.8337,14.9991,50854.751324744,0
SOCL.US,D,20120403,000000,15.0091,15.0479,14.7659,14.8038,35631.241623971,0
SOCL.US,D,20120404,000000,14.7858,14.7858,14.5537,14.5726,36880.633158412,0
SOCL.US,D,20120405,000000,14.5826,14.6872,14.5726,14.5726,11285.668430777,0
SOCL.US,D,20120409,000000,14.5726,14.7261,14.455,14.6683,18397.666667388,0
SOCL.US,D,20120410,000000,14.6772,14.6972,14.3295,14.3584,36912.746033193,0
SOCL.US,D,20120411,000000,14.6503,14.7759,14.6503,14.6872,32566.469137079,0
SOCL.US,D,20120412,000000,14.7759,15.2512,14.746,15.1944,63836.380954883,0
SOCL.US,D,20120413,000000,15.1446,15.1446,14.9024,15.0579,52231.590830971,0
SOCL.US,D,20120416,000000,15.2901,15.2901,14.7659,14.7659,45162.744269848,0
SOCL.US,D,20120417,000000,15.1356,15.2223,15.0479,15.1266,23945.165785771,0
