<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQLV.US,D,20170714,000000,23.7901,23.9062,23.7901,23.8695,7291.6542433605,0
SQLV.US,D,20170717,000000,23.9815,23.9815,23.9547,23.9646,1378.0853519527,0
SQLV.US,D,20170718,000000,23.8396,23.8396,23.7673,23.7841,5465.9683820684,0
SQLV.US,D,20170719,000000,24.0014,24.0014,23.9984,23.9984,529.25735901621,0
SQLV.US,D,20170720,000000,24.0857,24.0857,24.0757,24.0757,2163.4024618072,0
SQLV.US,D,20170721,000000,24.0957,24.0957,23.7881,23.8009,7367.2624375056,0
SQLV.US,D,20170724,000000,23.7961,23.7971,23.7841,23.7841,1587.7720770487,0
SQLV.US,D,20170725,000000,24.0887,24.0957,24.056,24.056,2680.5625097602,0
SQLV.US,D,20170726,000000,23.9914,23.9914,23.8873,23.8873,4237.0831998955,0
SQLV.US,D,20170727,000000,23.6888,23.6888,23.6601,23.6601,4978.0435025181,0
SQLV.US,D,20170728,000000,23.68,23.68,23.5342,23.5758,16525.935021624,0
SQLV.US,D,20170731,000000,23.5659,23.6135,23.5183,23.6135,3196.7144484579,0
SQLV.US,D,20170801,000000,23.5659,23.68,23.5083,23.6601,8077.9794624702,0
SQLV.US,D,20170802,000000,23.5103,23.5103,23.3218,23.3218,4303.6184107433,0
SQLV.US,D,20170803,000000,23.2812,23.2812,23.2693,23.2693,633.09261230891,0
SQLV.US,D,20170804,000000,23.188,23.2256,23.1583,23.2256,3282.4037351558,0
SQLV.US,D,20170807,000000,23.2167,23.2623,23.2038,23.2623,2118.0375453201,0
SQLV.US,D,20170808,000000,23.2256,23.5013,23.2138,23.2455,6671.66705137,0
SQLV.US,D,20170809,000000,22.9162,22.933,22.7723,22.8397,5157.486949956,0
SQLV.US,D,20170810,000000,22.6096,22.6096,22.4678,22.4678,3360.0281478115,0
SQLV.US,D,20170811,000000,22.1107,22.5382,22.1107,22.4619,6883.3699949765,0
SQLV.US,D,20170814,000000,22.6225,22.7455,22.6225,22.7455,3496.1228972728,0
SQLV.US,D,20170815,000000,22.5572,22.5659,22.4906,22.5194,3071.7089008046,0
SQLV.US,D,20170816,000000,22.5849,22.5849,22.5472,22.5472,2118.0375453201,0
SQLV.US,D,20170817,000000,22.2734,22.2734,22.2356,22.2356,5105.065268682,0
SQLV.US,D,20170818,000000,22.0383,22.0383,22.0244,22.0244,2118.0375453201,0
SQLV.US,D,20170821,000000,22.0631,22.0631,22.0631,22.0631,529.25735901621,0
SQLV.US,D,20170823,000000,22.1573,22.1573,22.1464,22.1464,1800.4831299103,0
SQLV.US,D,20170825,000000,22.2912,22.2912,22.2744,22.2744,633.09261230891,0
SQLV.US,D,20170829,000000,22.5749,22.5749,22.5629,22.5629,1058.5147180324,0
SQLV.US,D,20170831,000000,23.1583,23.1583,23.1583,23.1583,1712.777624702,0
SQLV.US,D,20170901,000000,22.8577,22.8577,22.8388,22.8388,2118.0375453201,0
SQLV.US,D,20170905,000000,22.8477,22.8477,22.6136,22.6136,2649.3111228468,0
SQLV.US,D,20170906,000000,22.8577,22.8577,22.7367,22.7367,2482.9730957275,0
