<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQQQ.US,D,20100211,000000,494372.75,499164.5,468816.5,472930.75,9,0
SQQQ.US,D,20100212,000000,486998,487368.5,466603.75,468997.75,9,0
SQQQ.US,D,20100216,000000,458801.75,466479.25,450936.25,452349.5,8,0
SQQQ.US,D,20100217,000000,446329,453026.5,444117.25,445407.75,8,0
SQQQ.US,D,20100218,000000,444853.25,446943.25,433427,434717.25,7,0
SQQQ.US,D,20100219,000000,438649.75,442212.5,430050.25,435886.25,7,0
SQQQ.US,D,20100222,000000,431154.5,443441.25,430847.75,438588.75,5,0
SQQQ.US,D,20100223,000000,439509.75,461012.5,439449,456219.75,9,0
SQQQ.US,D,20100224,000000,448356.5,450384.75,436561.75,441968.5,11,0
SQQQ.US,D,20100225,000000,455913.25,464453.25,438894.5,438894.5,9,0
SQQQ.US,D,20100226,000000,442335.75,446575.75,435024,436500.75,7,0
SQQQ.US,D,20100301,000000,431400.25,431707.75,415920,417269.5,9,0
SQQQ.US,D,20100302,000000,413460.75,416594.25,406581.5,414075,4,0
SQQQ.US,D,20100303,000000,412602.25,417209.75,407010,414075,5,0
SQQQ.US,D,20100304,000000,411802.75,417516.5,407440.5,408915,7,0
SQQQ.US,D,20100305,000000,398717.5,401420.75,388765.5,390790.75,10,0
SQQQ.US,D,20100308,000000,388210,388948.75,385201.5,387596.5,5,0
SQQQ.US,D,20100309,000000,390976.25,390976.25,374756.25,380900,13,0
SQQQ.US,D,20100310,000000,377522.5,378195.25,369288.5,371746,9,0
SQQQ.US,D,20100311,000000,374019.5,375986,367876.25,368122.5,11,0
SQQQ.US,D,20100312,000000,363452.5,371010,363452.5,367567.5,9,0
SQQQ.US,D,20100315,000000,370087,377152.75,367261,369781.5,9,0
SQQQ.US,D,20100316,000000,366526.25,369534.5,361364,362653.25,8,0
SQQQ.US,D,20100317,000000,361424.75,362469.5,354914.5,360934,12,0
SQQQ.US,D,20100318,000000,358844.5,361240.75,355158.25,356632.5,9,0
SQQQ.US,D,20100319,000000,352517.75,366218.5,352517.75,363083.75,14,0
SQQQ.US,D,20100322,000000,366463.75,367998,348401.25,352886.25,24,0
SQQQ.US,D,20100323,000000,351043,355282,344654.25,345883,18,0
SQQQ.US,D,20100324,000000,347602.75,352579.25,347173.25,349568,20,0
