<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRET.US,D,20150317,000000,28.3794,28.3794,28.294,28.3588,15464.027171392534,0
SRET.US,D,20150318,000000,28.4677,28.9595,28.3382,28.9595,3531.9472673894616,0
SRET.US,D,20150319,000000,28.6945,28.9595,28.6945,28.7769,4443.034135806668,0
SRET.US,D,20150320,000000,29.0096,29.2717,29.0096,29.2304,4708.244290198602,0
SRET.US,D,20150323,000000,29.4101,29.4572,29.3394,29.4101,5350.046072273934,0
SRET.US,D,20150324,000000,29.3659,29.3659,29.2805,29.2805,3103.4002573476837,0
SRET.US,D,20150325,000000,29.4101,29.4101,29.0508,29.0508,10325.19840517742,0
SRET.US,D,20150326,000000,28.9359,28.9359,28.8771,28.8771,2299.6199302723,0
SRET.US,D,20150327,000000,28.9595,28.9595,28.7769,28.7769,1391.2496831549754,0
SRET.US,D,20150330,000000,28.8564,28.9595,28.7769,28.9359,2675.5324026307844,0
SRET.US,D,20150331,000000,28.8564,28.9595,28.8564,28.8564,430.2448983542249,0
SRET.US,D,20150401,000000,28.9772,29.0243,28.8771,28.9595,963.042250775587,0
SRET.US,D,20150402,000000,29.0714,29.0832,29.0096,29.0832,1657.478570534412,0
SRET.US,D,20150406,000000,29.3659,29.3659,29.2805,29.3247,588.8276667294828,0
SRET.US,D,20150407,000000,29.3394,29.3394,29.0714,29.1156,3415.472129160825,0
SRET.US,D,20150408,000000,29.1244,29.2098,29.1244,29.1862,909.3889801047258,0
SRET.US,D,20150409,000000,29.2098,29.2098,28.9359,28.9359,2761.1059735741514,0
SRET.US,D,20150410,000000,28.9978,29.1244,28.9978,29.1244,430.2448983542249,0
SRET.US,D,20150413,000000,29.1156,29.148,29.0832,29.0979,5083.817184894764,0
SRET.US,D,20150414,000000,29.0508,29.1156,29.0508,29.0714,3265.378802347669,0
SRET.US,D,20150415,000000,29.0832,29.1244,29.0272,29.1244,2435.7905729242893,0
SRET.US,D,20150416,000000,29.1597,29.1862,29.1597,29.1862,1891.7871576413097,0
SRET.US,D,20150417,000000,29.0979,29.0979,29.0979,29.0979,159.26192370019334,0
SRET.US,D,20150420,000000,29.1922,29.1922,29.1597,29.1597,970.1733816875316,0
SRET.US,D,20150421,000000,29.1862,29.1862,29.148,29.148,899.5412278929995,0
SRET.US,D,20150422,000000,29.1156,29.1156,29.0243,29.0714,3186.5967846537574,0
SRET.US,D,20150423,000000,29.0714,29.1244,29.0714,29.1244,641.4622044129424,0
SRET.US,D,20150424,000000,29.148,29.3247,29.148,29.2805,2140.0184289096405,0
SRET.US,D,20150427,000000,29.2481,29.2717,29.1597,29.1862,1873.789541530204,0
SRET.US,D,20150428,000000,29.2717,29.2717,29.1862,29.1862,1337.5964124841475,0
SRET.US,D,20150429,000000,29.0508,29.1156,28.9359,28.9359,3103.4002573476837,0
SRET.US,D,20150430,000000,28.7975,28.7975,28.5237,28.5443,2621.87913195989,0
SRET.US,D,20150501,000000,28.5502,28.5885,28.5089,28.5885,850.3024668343006,0
SRET.US,D,20150504,000000,28.6444,28.7092,28.5296,28.6444,2284.338935460976,0
SRET.US,D,20150505,000000,28.721,28.721,28.3175,28.3646,4357.460564863268,0
SRET.US,D,20150506,000000,28.347,28.347,28.1173,28.1173,2411.680558888641,0
SRET.US,D,20150507,000000,28.0142,28.0996,27.8425,28.0554,1534.5514567189095,0
SRET.US,D,20150508,000000,28.3175,28.3263,28.3175,28.3175,1647.2912406601959,0
SRET.US,D,20150511,000000,28.2321,28.2704,28.1173,28.1173,902.9370045177269,0
SRET.US,D,20150512,000000,27.9391,28.2086,27.9244,28.2086,1654.761949234663,0
SRET.US,D,20150513,000000,28.2851,28.347,28.188,28.2321,1700.265356006145,0
SRET.US,D,20150514,000000,28.347,28.4147,28.3028,28.4147,1754.9373596643745,0
SRET.US,D,20150515,000000,28.5502,28.5502,28.5502,28.5502,486.6147903248681,0
SRET.US,D,20150518,000000,28.453,28.4913,28.453,28.4913,1000.7353713101458,0
SRET.US,D,20150519,000000,28.3882,28.3882,28.2851,28.3263,744.3542361425024,0
SRET.US,D,20150520,000000,28.347,28.4147,28.2851,28.347,2762.4642842240087,0
SRET.US,D,20150521,000000,28.3646,28.3646,28.3028,28.3028,850.3024668343006,0
SRET.US,D,20150522,000000,28.2704,28.3028,28.188,28.188,1540.3242769809628,0
SRET.US,D,20150526,000000,27.9362,27.9362,27.8864,27.8864,1065.934282505114,0
SRET.US,D,20150527,000000,27.9362,28.0554,27.9244,28.0554,637.3872724632361,0
SRET.US,D,20150529,000000,28.0142,28.0142,27.9362,27.9362,1540.3242769809628,0
SRET.US,D,20150601,000000,28.0643,28.0643,28.0201,28.0643,1794.3283685113468,0
SRET.US,D,20150602,000000,27.9273,27.9273,27.9156,27.9156,986.4731094862902,0
SRET.US,D,20150603,000000,27.7463,27.7463,27.619,27.6682,1160.6764503352945,0
SRET.US,D,20150604,000000,27.5257,27.5463,27.5257,27.5257,1794.3283685113468,0
SRET.US,D,20150605,000000,27.2892,27.2892,27.2892,27.2892,155.8661470754558,0
SRET.US,D,20150608,000000,27.1337,27.1337,27.1337,27.1337,104.92949770439323,0
SRET.US,D,20150609,000000,27.1022,27.111,27.0333,27.0333,681.1927909223708,0
SRET.US,D,20150610,000000,27.1337,27.1767,27.1337,27.1337,1277.1515885638314,0
SRET.US,D,20150611,000000,27.3145,27.326,27.225,27.225,1601.7878338887142,0
